school,cluster
Alaska,Low
Arizona,Low
Auburn,Mid
Clemson,Mid
ColoradoState,Mid
Connecticut,Low
Cornell,Low
Delaware,Low
Florida,High
Georgia,High
Hawaii,Low
Idaho,Low
Illinois,High
IowaState,High
KState,High
Kentucky,Low
LouisianaState,Mid
MU,High
Maine,Mid
Maryland,Low
Massachusetts,Low
Michigan,High
Minnesota,High
Mississippi,Mid
MontanaState,Mid
Nebraska,High
Nevada,Mid
NewHampshire,Low
NewMexico,High
NorthCarolina,Mid
NorthDakota,High
OKState,Mid
OhioState,Low
Oregon,Low
PennState,Low
Purdue,Mid
RhodeIsland,Low
Rutgers,Mid
SouthDakota,Mid
TexasA&M,High
UArk,High
UCDavis,High
UCRiver,Low
UTenn,High
UtahState,Low
Vermont,Low
VirginiaTech,Mid
WashState,High
WestVirginia,Low
Wisconsin,Mid
Wyoming,Low
