school,EdgesPerNode,clique_integration,global_efficiency,local_efficiency,pagerank,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,clustering
Alaska,0.2222222222222222,0.0,0.06944444444444445,0.0,0.0033936651583710412,0.0,5.812385956039157e-14,0.0,0.0,0.0
Arizona,1.0384615384615385,0.19230769230769232,0.13005997270703104,0.24468101343101345,0.013283523015920437,0.08,0.058777181169017235,0.3493069306930693,0.003403263403263404,0.6666666666666666
Auburn,1.7,0.42,0.27825850340136216,0.3231619195619196,0.014061950045588035,0.1,0.06338103052808831,0.3328301886792453,0.0008711016874282181,0.6
Clemson,1.7234042553191489,0.3191489361702128,0.31938020351526614,0.4388165813697728,0.018656134525954046,0.14,0.10333747251569014,0.3563636363636364,0.007447359896339488,0.47619047619047616
ColoradoState,2.028985507246377,0.4492753623188406,0.3019942759712583,0.43165749977344176,0.024976837616876458,0.16,0.10857464886128342,0.392,0.07237256978610362,0.32142857142857145
Connecticut,0.8571428571428571,0.17142857142857143,0.08263305322128847,0.31857142857142856,0.01143983471315953,0.02,0.00011641661973305927,0.18279792746113988,0.0,0.0
Cornell,1.1685393258426966,0.14606741573033707,0.11121132565143049,0.26171397174956235,0.009080136104154063,0.04,0.020680490539968597,0.32072727272727275,0.0013605442176870747,0.0
Delaware,0.8571428571428571,0.14285714285714285,0.1922222222222222,0.13650793650793652,0.013204291750324882,0.04,0.0192222561257249,0.2915702479338843,0.03346938775510204,0.0
Florida,4.517985611510792,0.7949640287769785,0.3287471724527847,0.49166041499417096,0.03725503265728684,0.32,0.25814509807234837,0.4465822784810126,0.026176209993610637,0.5583333333333333
Georgia,3.221476510067114,0.6845637583892618,0.27689238855344006,0.4527354802256478,0.03598054104632397,0.3,0.23006844238964289,0.4302439024390244,0.028938469693571736,0.49523809523809526
Hawaii,1.0857142857142856,0.2571428571428571,0.1913445378151263,0.28955782312925166,0.018941998903164548,0.04,0.0014922180185664472,0.23210526315789476,0.03346938775510204,0.0
Idaho,0.75,0.14285714285714285,0.10185185185185185,0.2726190476190476,0.0033936651583710412,0.0,5.812385956039157e-14,0.0,0.0,0.0
Illinois,3.3125,0.65625,0.31029970760234576,0.42515256507537286,0.033148380014278014,0.28,0.24454709565640934,0.43555555555555553,0.017351239463484366,0.6703296703296703
IowaState,3.440677966101695,0.6864406779661016,0.35591737201905826,0.5661244739909295,0.034896081757320965,0.3,0.2629930753668734,0.441,0.015404616507731438,0.6571428571428571
KState,3.8282828282828283,0.7676767676767676,0.3369717584003446,0.5965148088230582,0.03944820892814629,0.3,0.2421792479429849,0.4642105263157895,0.11632921077013454,0.5619047619047619
Kentucky,1.2075471698113207,0.1320754716981132,0.18850991775519924,0.3229859239293202,0.014020138624726747,0.1,0.08383290918031618,0.32666666666666666,0.0008537414965986396,0.8
LouisianaState,1.1379310344827587,0.1724137931034483,0.22298850574712664,0.3949096880131363,0.006871812852297982,0.02,0.002715328975523799,0.2538129496402878,0.0,0.0
MU,3.4545454545454546,0.7954545454545454,0.35094914663880855,0.547528413418511,0.0380465691979949,0.3,0.24488534025162242,0.4302439024390244,0.07343733209146744,0.5714285714285714
Maine,0.9,0.3,0.38333333333333336,0.14333333333333334,0.0033936651583710412,0.0,5.812385956039157e-14,0.0,0.0,0.0
Maryland,0.8974358974358975,0.23076923076923078,0.08297345928924871,0.31782661782661786,0.00900543171218955,0.02,0.0014996639786178719,0.21777777777777776,0.0,0.0
Massachusetts,1.0625,0.1875,0.13595808004052648,0.30098655202821867,0.007002431325738011,0.02,0.002123874971407395,0.245,0.0,0.0
Michigan,2.8520710059171597,0.5621301775147929,0.3095318600812819,0.4021816687806063,0.03828559181393846,0.32,0.26582440459639595,0.45818181818181813,0.032430658075663456,0.6
Minnesota,2.6713286713286712,0.5874125874125874,0.28530307720446274,0.41443062855360696,0.03889465675968218,0.32,0.2595433667510315,0.47040000000000004,0.045713769104746546,0.5666666666666667
Mississippi,2.1346153846153846,0.5769230769230769,0.28064353946707193,0.38141768843691914,0.020479253528852066,0.16,0.108692589644328,0.3563636363636364,0.0038091998704243594,0.5
MontanaState,1.7619047619047619,0.30952380952380953,0.3179857308777157,0.4265645399573971,0.016576500888963074,0.08,0.010715572592473006,0.29647058823529415,0.011621315192743762,0.16666666666666666
Nebraska,3.623853211009174,0.6972477064220184,0.34529108619324317,0.5133258441354558,0.03535628404676707,0.3,0.24491877762965136,0.441,0.026806454197431644,0.5619047619047619
Nevada,1.1111111111111112,0.3333333333333333,0.21906318082788678,0.4083333333333333,0.009336785900327368,0.02,0.0006649125465810113,0.20752941176470588,0.0,0.0
NewHampshire,0.0,0.0,0.0,0.0,0.0033936651583710412,0.0,5.812385956039157e-14,0.0,0.0,0.0
NewMexico,2.3,0.6333333333333333,0.38034482758620647,0.49969365819365824,0.009014546987831898,0.04,0.017143958329955144,0.30153846153846153,0.0035204081632653063,0.0
NorthCarolina,2.6289308176100628,0.3584905660377358,0.28216020107585765,0.37970372056360696,0.03720941437242271,0.32,0.26590227434060654,0.45230769230769224,0.020058835304807378,0.5833333333333334
NorthDakota,3.0,0.6666666666666666,0.3146386946386921,0.47460723133839755,0.01693025827865105,0.1,0.042133080057327306,0.34252427184466017,0.010262948651777867,0.4
OKState,1.32,0.2,0.20008940719144644,0.3521349206349207,0.013674993838867094,0.04,0.01901050998594318,0.312212389380531,0.0653061224489796,0.0
OhioState,1.0847457627118644,0.0847457627118644,0.1451740836603479,0.20064568200161423,0.011899714348990051,0.08,0.0642969710414169,0.3236697247706422,0.0003599257884972171,0.8333333333333334
Oregon,1.056338028169014,0.07042253521126761,0.14252668971984853,0.2073105298457411,0.0166329841983677,0.1,0.03707839992156488,0.3563636363636364,0.013339488176222868,0.1
PennState,1.2702702702702702,0.1891891891891892,0.13900319105798678,0.30610545610545614,0.02455178457388732,0.12,0.03480354848383304,0.36,0.0561366467999121,0.0
Purdue,2.034188034188034,0.3504273504273504,0.27112191767363747,0.3264894989467639,0.03663861895548719,0.3,0.2299387101824211,0.43555555555555553,0.041269220158049374,0.49523809523809526
RhodeIsland,0.2,0.0,0.1,0.0,0.0033936651583710412,0.0,5.812385956039157e-14,0.0,0.0,0.0
Rutgers,1.3414634146341464,0.2682926829268293,0.24488675958188116,0.2473819202477739,0.011906174878020022,0.06,0.02295578901469794,0.3392307692307692,0.0071617505301715826,0.0
SouthDakota,1.6774193548387097,0.2903225806451613,0.29605734767025116,0.23785202252944193,0.014095649871558855,0.08,0.04326612088880407,0.3392307692307692,0.009464528668610299,0.5
TexasA&M,2.446280991735537,0.5867768595041323,0.27443755739211273,0.38906384303558267,0.03456234419951216,0.28,0.20902868084561851,0.41505882352941176,0.0415116308086233,0.45054945054945056
UArk,2.4545454545454546,0.6363636363636364,0.34444634313054623,0.5881871075052892,0.02006855686568447,0.16,0.13057458850246487,0.36371134020618556,0.0027054895218160523,0.6428571428571429
UCDavis,2.4465116279069767,0.5720930232558139,0.23499104749487404,0.3963326936457626,0.03897061202831453,0.3,0.23027221795108913,0.45818181818181813,0.08405954732700169,0.5047619047619047
UCRiver,1.3950617283950617,0.12345679012345678,0.17449245541838462,0.24722147993752927,0.021228288601815564,0.1,0.027222796101644915,0.34252427184466017,0.042448979591836744,0.1
UTenn,2.6184210526315788,0.6578947368421053,0.32539849624059725,0.5553611136010925,0.021602892836389644,0.16,0.11199160326561022,0.38347826086956516,0.018406125620411332,0.4642857142857143
