school,EdgesPerNode,assortativity_unweighted,global_efficiency,local_efficiency,avg_path_over_diameter,clique_integration,sigma_small_world_index,omega_small_world_index,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,clustering,pagerank,total_papers,solo_papers,collaborative_papers,n_faculty,papers_per_faculty,collab_rate
Arizona,1.0384615384615383,0.1855155819003462,0.130059972707031,0.2446810134310134,0.4651653764954258,0.1923076923076923,4.127212333864475,0.1151433738501398,0.08,0.0587771811690172,0.3493069306930693,0.0034032634032634,0.6666666666666666,0.0132835230159204,1765,1309,456,52,33.94230769230769,0.25835694050991503
Auburn,1.7,-0.0997917906008337,0.2782585034013621,0.3231619195619196,0.4653846153846153,0.42,3.503200444271173,0.2419130869130867,0.1,0.0633810305280883,0.3328301886792453,0.0008711016874282,0.6,0.014061950045588,1389,1010,379,50,27.78,0.2728581713462923
Clemson,1.7234042553191489,-0.1487525096870723,0.3193802035152661,0.4388165813697728,0.5065814943863725,0.3191489361702128,4.625438393052252,0.0427003691619666,0.14,0.1033374725156901,0.3563636363636364,0.0074473598963394,0.4761904761904761,0.018656134525954,2585,2186,399,47,55.0,0.15435203094777564
ColoradoState,2.028985507246377,0.1018739265297748,0.3019942759712583,0.4316574997734417,0.4575054770718441,0.4492753623188406,4.960329412856116,0.0885400654113098,0.16,0.1085746488612834,0.392,0.0723725697861036,0.3214285714285714,0.0249768376168764,2258,1458,800,69,32.72463768115942,0.354295837023915
Connecticut,0.8571428571428571,0.1020910209102096,0.0826330532212884,0.3185714285714285,0.4861111111111111,0.1714285714285714,2.106835917178234,-0.0456878306878307,0.02,0.000116416619733,0.1827979274611398,0.0,0.0,0.0114398347131595,847,712,135,35,24.2,0.15938606847697756
Cornell,1.1685393258426966,-0.0159027108968183,0.1112113256514304,0.2617139717495623,0.3881113048752748,0.146067415730337,12.135025008540286,0.1489798153164467,0.04,0.0206804905399685,0.3207272727272727,0.001360544217687,0.0,0.009080136104154,1348,910,438,178,7.573033707865169,0.3249258160237389
Delaware,0.8571428571428571,-0.1134020618556701,0.1922222222222222,0.1365079365079365,0.4337606837606838,0.1428571428571428,1.120646103138185,0.4981369205507137,0.04,0.0192222561257249,0.2915702479338843,0.033469387755102,0.0,0.0132042917503248,676,572,104,21,32.19047619047619,0.15384615384615385
Florida,4.517985611510792,-0.0248769552562254,0.3287471724527847,0.4916604149941709,0.4367855173300272,0.7949640287769785,8.945594414896833,0.1283869772008933,0.32,0.2581450980723483,0.4465822784810126,0.0261762099936106,0.5583333333333333,0.0372550326572868,12333,6423,5910,278,44.36330935251799,0.47920214059839455
Georgia,3.221476510067114,0.051440441232196,0.27689238855344,0.4527354802256478,0.3766507936507936,0.6845637583892618,5.960590638565709,0.0294455256455103,0.3,0.2300684423896428,0.4302439024390244,0.0289384696935717,0.4952380952380952,0.0359805410463239,4785,2643,2142,149,32.11409395973154,0.44764890282131664
Hawaii,1.0857142857142856,0.0745814307458143,0.1913445378151263,0.2895578231292516,0.4710144927536232,0.2571428571428571,3.459429672611689,0.1480419580419582,0.04,0.0014922180185664,0.2321052631578947,0.033469387755102,0.0,0.0189419989031645,1129,876,253,35,32.25714285714286,0.2240921169176262
Idaho,0.75,-0.0710382513661209,0.1018518518518518,0.2726190476190476,0.5181818181818182,0.1428571428571428,1.8234939011076048,0.0315390749601277,0.0,5.812385956039158e-14,0.0,0.0,0.0,0.003393665158371,515,312,203,28,18.392857142857142,0.3941747572815534
Illinois,3.3125,0.1548248781592839,0.3102997076023457,0.4251525650753727,0.5206962025316455,0.65625,3.3871663423830287,0.1303296580256019,0.28,0.2445470956564093,0.4355555555555555,0.0173512394634843,0.6703296703296703,0.033148380014278,4320,3054,1266,96,45.0,0.29305555555555557
IowaState,0.3644067796610169,0.13906079359301,0.016432813890441,0.1003833736884584,0.4319727891156462,0.0423728813559322,3.309866032874921,-0.0423698823361363,0.3,0.2629930753668734,0.441,0.0154046165077314,0.6571428571428571,0.0348960817573209,75,55,20,118,0.635593220338983,0.26666666666666666
Kentucky,1.2075471698113207,-0.1458333333333333,0.1885099177551992,0.3229859239293202,0.5347847847847848,0.1320754716981132,3.895004525086777,0.2542224121306946,0.1,0.0838329091803161,0.3266666666666666,0.0008537414965986,0.8,0.0140201386247267,1722,1225,497,53,32.490566037735846,0.2886178861788618
KState,3.828282828282828,-0.1568689647995285,0.3369717584003446,0.5965148088230582,0.4766382603585072,0.7676767676767676,4.83665536378087,-0.1887734089654646,0.3,0.2421792479429849,0.4642105263157895,0.1163292107701345,0.5619047619047619,0.0394482089281462,3692,1815,1877,99,37.292929292929294,0.5083965330444203
LouisianaState,1.137931034482759,-0.087836428124348,0.2229885057471266,0.3949096880131363,0.5305263157894736,0.1724137931034483,4.190321952104889,-0.1264880952380953,0.02,0.0027153289755237,0.2538129496402878,0.0,0.0,0.0068718128522979,445,323,122,29,15.344827586206897,0.27415730337078653
Maine,0.9,-0.453416149068323,0.3833333333333333,0.1433333333333333,0.4910714285714285,0.3,0.7818181818181817,0.6843939393939396,0.0,5.812385956039158e-14,0.0,0.0,0.0,0.003393665158371,302,257,45,10,30.2,0.1490066225165563
Maryland,0.8974358974358975,0.0928725701943843,0.0829734592892487,0.3178266178266178,0.4333333333333333,0.2307692307692307,1.4864058316113111,-0.1319458319458322,0.02,0.0014996639786178,0.2177777777777777,0.0,0.0,0.0090054317121895,1261,1023,238,39,32.333333333333336,0.1887390959555908
Massachusetts,1.0625,0.1352703913952793,0.1359580800405264,0.3009865520282186,0.3982951205173427,0.1875,3.38380558583166,-0.0101227083699407,0.02,0.0021238749714073,0.245,0.0,0.0,0.007002431325738,3588,3007,581,48,74.75,0.16192865105908585
Michigan,2.85207100591716,-0.0008435390896602,0.3095318600812819,0.4021816687806063,0.4471227697034148,0.5621301775147929,8.043357804526455,0.2584631466314825,0.32,0.2658244045963959,0.4581818181818181,0.0324306580756634,0.6,0.0382855918139384,5227,3486,1741,169,30.928994082840237,0.3330782475607423
Minnesota,2.6713286713286712,0.0093994138661961,0.2853030772044627,0.4144306285536069,0.4081569881889764,0.5874125874125874,6.334502185238272,0.1620635389335362,0.32,0.2595433667510315,0.4704,0.0457137691047465,0.5666666666666667,0.0388946567596821,4966,3135,1831,143,34.72727272727273,0.36870720902134513
Mississippi,2.1346153846153846,0.0518231336110218,0.2806435394670719,0.3814176884369191,0.5025641025641026,0.5769230769230769,2.4123994470338763,0.1439047856904998,0.16,0.108692589644328,0.3563636363636364,0.0038091998704243,0.5,0.020479253528852,1559,848,711,52,29.98076923076923,0.45606157793457347
MontanaState,1.761904761904762,-0.2615161407326806,0.3179857308777157,0.4265645399573969,0.4072562358276644,0.3095238095238095,3.181965184793389,0.0893288061439511,0.08,0.010715572592473,0.2964705882352941,0.0116213151927437,0.1666666666666666,0.016576500888963,1217,841,376,42,28.976190476190474,0.30895645028759244
MU,3.4545454545454546,0.0971678646662248,0.3509491466388085,0.547528413418511,0.5201465201465202,0.7954545454545454,4.4506186074882015,-0.0693788582595136,0.3,0.2448853402516224,0.4302439024390244,0.0734373320914674,0.5714285714285714,0.0380465691979949,3552,1999,1553,88,40.36363636363637,0.43721846846846846
Nebraska,3.623853211009174,-0.0154048110849844,0.3452910861932431,0.5133258441354558,0.4556771162073076,0.6972477064220184,4.474654288546149,0.0236664823485361,0.3,0.2449187776296513,0.441,0.0268064541974316,0.5619047619047619,0.035356284046767,3991,2335,1656,109,36.61467889908257,0.41493360060135304
Nevada,1.1111111111111112,0.5634920634920633,0.2190631808278867,0.4083333333333333,0.4509090909090908,0.3333333333333333,1.5343986928036162,-0.4279081133919843,0.02,0.000664912546581,0.2075294117647058,0.0,0.0,0.0093367859003273,474,296,178,18,26.333333333333332,0.3755274261603376
NewMexico,2.3,-0.1462330369677125,0.3803448275862064,0.4996936581936582,0.4433333333333333,0.6333333333333333,2.170020700870124,-0.1388064917538602,0.04,0.0171439583299551,0.3015384615384615,0.0035204081632653,0.0,0.0090145469878318,938,577,361,30,31.266666666666666,0.38486140724946694
NorthCarolina,2.6289308176100628,0.0100807837981315,0.2821602010758576,0.3797037205636069,0.4622629393381566,0.3584905660377358,8.24317472907902,0.2149999242957302,0.32,0.2659022743406065,0.4523076923076922,0.0200588353048073,0.5833333333333334,0.0372094143724227,5012,2987,2025,159,31.52201257861635,0.40403032721468474
NorthDakota,3.0,0.0816305120703109,0.3146386946386921,0.4746072313383975,0.4022738268021287,0.6666666666666666,2.90191066551327,-0.0433916148193755,0.1,0.0421330800573273,0.3425242718446601,0.0102629486517778,0.4,0.016930258278651,2100,1059,1041,66,31.818181818181817,0.4957142857142857
OhioState,1.0847457627118644,0.2845750119282939,0.1451740836603479,0.2006456820016142,0.4619047619047619,0.0847457627118644,3.0380264382398066,0.634454262804778,0.08,0.0642969710414169,0.3236697247706422,0.0003599257884972,0.8333333333333334,0.01189971434899,1660,1285,375,59,28.135593220338983,0.22590361445783133
OKState,1.32,0.0002398081534765,0.2000894071914464,0.3521349206349207,0.4372148859543817,0.2,4.055198697948747,0.0886346740783076,0.04,0.0190105099859431,0.312212389380531,0.0653061224489796,0.0,0.013674993838867,1224,819,405,50,24.48,0.33088235294117646
Oregon,1.056338028169014,-0.0213218895722105,0.1425266897198485,0.2073105298457411,0.3889597505668934,0.0704225352112676,5.215488362005393,0.3886188609512808,0.1,0.0370783999215648,0.3563636363636364,0.0133394881762228,0.1,0.0166329841983677,2036,1657,379,71,28.676056338028168,0.18614931237721022
PennState,1.2702702702702702,0.2398189142834353,0.1390031910579867,0.3061054561054561,0.4119162640901772,0.1891891891891892,4.2805849794791895,0.0341768615402909,0.12,0.034803548483833,0.36,0.0561366467999121,0.0,0.0245517845738873,2036,1591,445,74,27.513513513513512,0.21856581532416502
Purdue,2.034188034188034,-0.0304741425778463,0.2711219176736374,0.3264894989467639,0.4984039769754055,0.3504273504273504,7.329682743499425,0.3100787072307887,0.3,0.2299387101824211,0.4355555555555555,0.0412692201580493,0.4952380952380952,0.0366386189554871,4178,3051,1127,117,35.70940170940171,0.26974629009095263
Rutgers,1.3414634146341464,0.0264177337781118,0.2448867595818811,0.2473819202477739,0.4049899193548387,0.2682926829268293,2.5835268261987947,0.3348715873509742,0.06,0.0229557890146979,0.3392307692307692,0.0071617505301715,0.0,0.01190617487802,2075,1776,299,41,50.609756097560975,0.14409638554216866
SouthDakota,1.6774193548387095,-0.0677867226694675,0.2960573476702511,0.2378520225294419,0.5474308300395256,0.2903225806451613,1.5019979966990284,0.4273235867883488,0.08,0.043266120888804,0.3392307692307692,0.0094645286686102,0.5,0.0140956498715588,744,461,283,31,24.0,0.3803763440860215
TexasA&M,2.446280991735537,0.0299506114557638,0.2744375573921127,0.3890638430355826,0.5090107240307126,0.5867768595041323,6.01309857820301,0.1942656122958657,0.28,0.2090286808456185,0.4150588235294117,0.0415116308086233,0.4505494505494505,0.0345623441995121,4161,2568,1593,121,34.388429752066116,0.3828406633020908
UArk,2.4545454545454546,-0.3307283594366559,0.3444463431305462,0.5881871075052892,0.4548167092924126,0.6363636363636364,6.479105012276068,-0.0891252218571804,0.16,0.1305745885024648,0.3637113402061855,0.002705489521816,0.6428571428571429,0.0200685568656844,1983,971,1012,77,25.753246753246753,0.5103378719112456
UCDavis,2.4465116279069767,0.1226252330386969,0.234991047494874,0.3963326936457626,0.4424127784783522,0.5720930232558139,9.978241497098882,0.1671961336665653,0.3,0.2302722179510891,0.4581818181818181,0.0840595473270016,0.5047619047619047,0.0389706120283145,8260,6089,2171,215,38.41860465116279,0.26283292978208234
UCRiver,1.3950617283950617,0.227911300214658,0.1744924554183846,0.2472214799375292,0.4274303526203,0.1234567901234567,4.394617639144026,0.1997972411635248,0.1,0.0272227961016449,0.3425242718446601,0.0424489795918367,0.1,0.0212282886018155,2147,1655,492,81,26.506172839506174,0.22915696320447135
UtahState,0.9230769230769232,0.3875236294896023,0.0780476833108411,0.2444240944240944,0.5227272727272727,0.2051282051282051,1.22118435367154,-0.0832053453792585,0.0,5.812385956039158e-14,0.0,0.0,0.0,0.003393665158371,875,600,275,39,22.435897435897434,0.3142857142857143
UTenn,2.6184210526315788,0.0346245217141068,0.3253984962405972,0.5553611136010925,0.423429073121786,0.6578947368421053,5.263309786492573,-0.1838397074268616,0.16,0.1119916032656102,0.3834782608695651,0.0184061256204113,0.4642857142857143,0.0216028928363896,2880,2027,853,76,37.89473684210526,0.29618055555555556
Vermont,0.6875,0.2325581395348848,0.1138888888888889,0.3333333333333333,0.5666666666666667,0.1875,1.44905175184828,0.4803921568627452,0.0,5.812385956039158e-14,0.0,0.0,0.0,0.003393665158371,414,358,56,16,25.875,0.13526570048309178
