,Alaska,Arizona,Auburn,Clemson,ColoradoState,Connecticut,Cornell,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,IowaState,KState,Kentucky,LouisianaState,MU,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,MontanaState,Nebraska,Nevada,NewHampshire,NewMexico,NorthCarolina,NorthDakota,OKState,OhioState,Oregon,PennState,Purdue,RhodeIsland,Rutgers,SouthDakota,TexasA&M,UArk,UCDavis,UCRiver,UTenn,UtahState,Vermont,VirginiaTech,WashState,WestVirginia,Wisconsin,Wyoming
Alaska,155,0,0,0,0,3,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
Arizona,0,1525,6,5,3,1,9,2,25,38,3,2,18,20,1,4,2,27,0,7,4,44,7,5,2,19,7,0,4,14,3,6,6,9,5,13,0,3,0,18,4,27,12,12,2,3,4,15,4,11,2
Auburn,0,6,1184,17,3,0,0,0,50,65,0,0,17,15,3,14,5,7,0,0,4,17,9,32,1,4,0,0,4,34,2,1,7,4,2,19,0,7,3,16,14,1,0,10,0,0,36,5,0,14,0
Clemson,0,5,17,2357,17,2,5,7,40,45,1,12,16,14,18,14,0,10,0,13,3,26,18,10,2,16,0,2,1,82,4,1,4,2,8,11,0,0,0,37,17,12,3,12,2,0,15,63,0,15,0
ColoradoState,0,3,3,17,1822,1,5,1,15,14,4,1,28,26,61,6,1,18,2,4,2,45,36,5,7,35,0,1,3,19,8,3,0,16,6,14,1,3,2,8,10,36,5,5,2,1,10,17,2,14,22
Connecticut,3,1,0,2,1,772,1,0,11,8,6,0,0,1,1,1,0,2,0,4,0,5,8,0,0,4,1,0,0,3,0,0,0,2,2,1,0,2,0,3,0,19,1,11,0,0,1,10,0,6,1
Cornell,0,9,0,5,5,1,1098,1,6,7,2,4,21,18,11,3,3,15,1,3,2,21,22,0,1,5,1,1,0,12,5,2,0,8,9,6,0,1,5,4,0,28,5,3,0,1,11,17,0,22,0
Delaware,0,2,0,7,1,0,1,624,3,10,0,1,12,17,8,2,0,48,0,14,4,11,14,0,0,15,0,0,0,30,1,0,1,4,4,19,0,1,1,16,1,10,5,2,0,0,6,4,0,16,0
Florida,5,25,50,40,15,11,6,3,8792,145,5,5,39,40,77,14,1,41,0,9,8,101,30,44,1,52,3,12,6,142,15,22,19,28,27,26,0,27,3,46,36,90,30,23,9,12,27,46,2,55,4
Georgia,0,38,65,45,14,8,7,10,145,3545,13,1,30,73,26,10,0,101,1,6,9,96,54,17,2,26,4,2,9,115,19,27,15,12,13,34,0,15,2,50,27,60,9,48,4,3,28,27,9,62,0
