,Alaska,Arizona,Auburn,Clemson,ColoradoState,Connecticut,Cornell,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,IowaState,KState,Kentucky,LouisianaState,MU,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,MontanaState,Nebraska,Nevada,NewHampshire,NewMexico,NorthCarolina,NorthDakota,OKState,OhioState,Oregon,PennState,Purdue,RhodeIsland,Rutgers,SouthDakota,TexasA&M,UArk,UCDavis,UCRiver,UTenn,UtahState,Vermont,VirginiaTech,WashState,WestVirginia,Wisconsin,Wyoming
Alaska,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.35714285714285715,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
Arizona,0.0,0.0,0.0136986301369863,0.01141552511415525,0.00684931506849315,0.00228310502283105,0.02054794520547945,0.0045662100456621,0.05707762557077625,0.0867579908675799,0.00684931506849315,0.0045662100456621,0.0410958904109589,0.045662100456621,0.00228310502283105,0.0091324200913242,0.0045662100456621,0.06164383561643835,0.0,0.01598173515981735,0.0091324200913242,0.1004566210045662,0.01598173515981735,0.01141552511415525,0.0045662100456621,0.04337899543378995,0.01598173515981735,0.0,0.0091324200913242,0.0319634703196347,0.00684931506849315,0.0136986301369863,0.0136986301369863,0.02054794520547945,0.01141552511415525,0.02968036529680365,0.0,0.00684931506849315,0.0,0.0410958904109589,0.0091324200913242,0.06164383561643835,0.0273972602739726,0.0273972602739726,0.0045662100456621,0.00684931506849315,0.0091324200913242,0.03424657534246575,0.0091324200913242,0.02511415525114155,0.0045662100456621
Auburn,0.0,0.013392857142857142,0.0,0.03794642857142857,0.006696428571428571,0.0,0.0,0.0,0.11160714285714286,0.14508928571428573,0.0,0.0,0.03794642857142857,0.033482142857142856,0.006696428571428571,0.03125,0.011160714285714286,0.015625,0.0,0.0,0.008928571428571428,0.03794642857142857,0.020089285714285716,0.07142857142857142,0.002232142857142857,0.008928571428571428,0.0,0.0,0.008928571428571428,0.07589285714285714,0.004464285714285714,0.002232142857142857,0.015625,0.008928571428571428,0.004464285714285714,0.04241071428571429,0.0,0.015625,0.006696428571428571,0.03571428571428571,0.03125,0.002232142857142857,0.0,0.022321428571428572,0.0,0.0,0.08035714285714286,0.011160714285714286,0.0,0.03125,0.0
Clemson,0.0,0.008305647840531562,0.02823920265780731,0.0,0.02823920265780731,0.0033222591362126247,0.008305647840531562,0.011627906976744186,0.0664451827242525,0.07475083056478406,0.0016611295681063123,0.019933554817275746,0.026578073089700997,0.023255813953488372,0.029900332225913623,0.023255813953488372,0.0,0.016611295681063124,0.0,0.02159468438538206,0.0049833887043189366,0.04318936877076412,0.029900332225913623,0.016611295681063124,0.0033222591362126247,0.026578073089700997,0.0,0.0033222591362126247,0.0016611295681063123,0.1362126245847176,0.006644518272425249,0.0016611295681063123,0.006644518272425249,0.0033222591362126247,0.013289036544850499,0.018272425249169437,0.0,0.0,0.0,0.061461794019933555,0.02823920265780731,0.019933554817275746,0.0049833887043189366,0.019933554817275746,0.0033222591362126247,0.0,0.024916943521594685,0.10465116279069768,0.0,0.024916943521594685,0.0
ColoradoState,0.0,0.005474452554744526,0.005474452554744526,0.03102189781021898,0.0,0.0018248175182481751,0.009124087591240875,0.0018248175182481751,0.02737226277372263,0.025547445255474453,0.0072992700729927005,0.0018248175182481751,0.051094890510948905,0.04744525547445255,0.11131386861313869,0.010948905109489052,0.0018248175182481751,0.032846715328467155,0.0036496350364963502,0.0072992700729927005,0.0036496350364963502,0.08211678832116788,0.06569343065693431,0.009124087591240875,0.012773722627737226,0.06386861313868614,0.0,0.0018248175182481751,0.005474452554744526,0.03467153284671533,0.014598540145985401,0.005474452554744526,0.0,0.029197080291970802,0.010948905109489052,0.025547445255474453,0.0018248175182481751,0.005474452554744526,0.0036496350364963502,0.014598540145985401,0.01824817518248175,0.06569343065693431,0.009124087591240875,0.009124087591240875,0.0036496350364963502,0.0018248175182481751,0.01824817518248175,0.03102189781021898,0.0036496350364963502,0.025547445255474453,0.040145985401459854
Connecticut,0.02459016393442623,0.00819672131147541,0.0,0.01639344262295082,0.00819672131147541,0.0,0.00819672131147541,0.0,0.09016393442622951,0.06557377049180328,0.04918032786885246,0.0,0.0,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.0,0.01639344262295082,0.0,0.03278688524590164,0.0,0.040983606557377046,0.06557377049180328,0.0,0.0,0.03278688524590164,0.00819672131147541,0.0,0.0,0.02459016393442623,0.0,0.0,0.0,0.01639344262295082,0.01639344262295082,0.00819672131147541,0.0,0.01639344262295082,0.0,0.02459016393442623,0.0,0.1557377049180328,0.00819672131147541,0.09016393442622951,0.0,0.0,0.00819672131147541,0.08196721311475409,0.0,0.04918032786885246,0.00819672131147541
Cornell,0.0,0.029315960912052116,0.0,0.016286644951140065,0.016286644951140065,0.003257328990228013,0.0,0.003257328990228013,0.019543973941368076,0.02280130293159609,0.006514657980456026,0.013029315960912053,0.06840390879478828,0.05863192182410423,0.035830618892508145,0.009771986970684038,0.009771986970684038,0.048859934853420196,0.003257328990228013,0.009771986970684038,0.006514657980456026,0.06840390879478828,0.07166123778501629,0.0,0.003257328990228013,0.016286644951140065,0.003257328990228013,0.003257328990228013,0.0,0.03908794788273615,0.016286644951140065,0.006514657980456026,0.0,0.026058631921824105,0.029315960912052116,0.019543973941368076,0.0,0.003257328990228013,0.016286644951140065,0.013029315960912053,0.0,0.09120521172638436,0.016286644951140065,0.009771986970684038,0.0,0.003257328990228013,0.035830618892508145,0.05537459283387622,0.0,0.07166123778501629,0.0
Delaware,0.0,0.006872852233676976,0.0,0.024054982817869417,0.003436426116838488,0.0,0.003436426116838488,0.0,0.010309278350515464,0.03436426116838488,0.0,0.003436426116838488,0.041237113402061855,0.058419243986254296,0.027491408934707903,0.006872852233676976,0.0,0.16494845360824742,0.0,0.048109965635738834,0.013745704467353952,0.037800687285223365,0.048109965635738834,0.0,0.0,0.05154639175257732,0.0,0.0,0.0,0.10309278350515463,0.003436426116838488,0.0,0.003436426116838488,0.013745704467353952,0.013745704467353952,0.06529209621993128,0.0,0.003436426116838488,0.003436426116838488,0.054982817869415807,0.003436426116838488,0.03436426116838488,0.01718213058419244,0.006872852233676976,0.0,0.0,0.020618556701030927,0.013745704467353952,0.0,0.054982817869415807,0.0
Florida,0.003385240352064997,0.016926201760324982,0.033852403520649964,0.027081922816519974,0.010155721056194989,0.007447528774542992,0.004062288422477996,0.002031144211238998,0.0,0.0981719702098849,0.003385240352064997,0.003385240352064997,0.026404874746106973,0.027081922816519974,0.052132701421800945,0.009478672985781991,0.0006770480704129993,0.027758970886932972,0.0,0.006093432633716994,0.005416384563303994,0.06838185511171294,0.020311442112389978,0.02979011509817197,0.0006770480704129993,0.035206499661475966,0.002031144211238998,0.008124576844955992,0.004062288422477996,0.0961408259986459,0.010155721056194989,0.014895057549085985,0.012863913337846988,0.018957345971563982,0.01828029790115098,0.017603249830737983,0.0,0.01828029790115098,0.002031144211238998,0.03114421123899797,0.024373730534867976,0.06093432633716994,0.020311442112389978,0.015572105619498984,0.006093432633716994,0.008124576844955992,0.01828029790115098,0.03114421123899797,0.0013540961408259986,0.037237643872714964,0.002708192281651997
Georgia,0.0,0.027318475916606758,0.04672897196261682,0.03235082674335011,0.010064701653486701,0.005751258087706686,0.0050323508267433505,0.007189072609633357,0.10424155283968368,0.0,0.009345794392523364,0.0007189072609633358,0.021567217828900073,0.052480230050323505,0.018691588785046728,0.007189072609633357,0.0,0.07260963335729691,0.0007189072609633358,0.004313443565780014,0.006470165348670022,0.06901509705248023,0.038820992092020126,0.012221423436376708,0.0014378145219266715,0.018691588785046728,0.002875629043853343,0.0014378145219266715,0.006470165348670022,0.08267433501078361,0.013659237958303379,0.019410496046010063,0.010783608914450037,0.008626887131560028,0.009345794392523364,0.024442846872753415,0.0,0.010783608914450037,0.0014378145219266715,0.035945363048166784,0.019410496046010063,0.043134435657800146,0.006470165348670022,0.03450754852624011,0.002875629043853343,0.002156721782890007,0.020129403306973402,0.019410496046010063,0.006470165348670022,0.04457225017972682,0.0
Hawaii,0.005649717514124294,0.01694915254237288,0.0,0.005649717514124294,0.022598870056497175,0.03389830508474576,0.011299435028248588,0.0,0.02824858757062147,0.07344632768361582,0.0,0.01694915254237288,0.03954802259887006,0.0,0.05649717514124294,0.0,0.0,0.005649717514124294,0.0,0.01694915254237288,0.0,0.04519774011299435,0.05084745762711865,0.0,0.005649717514124294,0.005649717514124294,0.011299435028248588,0.011299435028248588,0.01694915254237288,0.04519774011299435,0.005649717514124294,0.03954802259887006,0.02824858757062147,0.022598870056497175,0.005649717514124294,0.05084745762711865,0.0,0.005649717514124294,0.0,0.0,0.005649717514124294,0.13559322033898305,0.005649717514124294,0.096045197740113,0.0,0.005649717514124294,0.01694915254237288,0.005649717514124294,0.005649717514124294,0.03954802259887006,0.0
Idaho,0.0,0.017543859649122806,0.0,0.10526315789473684,0.008771929824561403,0.0,0.03508771929824561,0.008771929824561403,0.043859649122807015,0.008771929824561403,0.02631578947368421,0.0,0.0,0.0,0.008771929824561403,0.043859649122807015,0.0,0.008771929824561403,0.0,0.008771929824561403,0.0,0.017543859649122806,0.043859649122807015,0.0,0.03508771929824561,0.008771929824561403,0.0,0.0,0.008771929824561403,0.017543859649122806,0.03508771929824561,0.0,0.0,0.07894736842105263,0.017543859649122806,0.03508771929824561,0.0,0.0,0.02631578947368421,0.017543859649122806,0.02631578947368421,0.03508771929824561,0.008771929824561403,0.0,0.0,0.0,0.03508771929824561,0.16666666666666666,0.0,0.06140350877192982,0.0
