School,Total_IPG_Publications,Number_of_Partner_Schools,Total_Pairwise_External_Publications,External_Publication_Ratio,Internal_Publication_Ratio
Florida,8792,48,1477,0.168,0.832
UCDavis,7059,48,1229,0.1741,0.8259
Wisconsin,4273,46,1565,0.3663,0.6337
Michigan,4245,48,1807,0.4257,0.5743
Minnesota,3927,50,1508,0.384,0.616
NorthCarolina,3877,46,1787,0.4609,0.5391
Illinois,3591,41,1131,0.315,0.685
Purdue,3573,47,1333,0.3731,0.6269
WashState,3556,47,967,0.2719,0.7281
Georgia,3545,46,1391,0.3924,0.6076
IowaState,3484,45,1416,0.4064,0.5936
Massachusetts,3287,37,165,0.0502,0.9498
TexasA&M,3282,43,987,0.3007,0.6993
Nebraska,3014,44,1165,0.3865,0.6135
MU,2607,43,1267,0.486,0.514
KState,2566,46,1166,0.4544,0.5456
UTenn,2381,45,699,0.2936,0.7064
Clemson,2357,40,602,0.2554,0.7446
Rutgers,1917,33,272,0.1419,0.8581
VirginiaTech,1873,43,661,0.3529,0.6471
UCRiver,1870,41,356,0.1904,0.8096
Oregon,1842,45,436,0.2367,0.7633
ColoradoState,1822,47,548,0.3008,0.6992
PennState,1792,46,461,0.2573,0.7427
Arizona,1525,45,438,0.2872,0.7128
NorthDakota,1505,40,439,0.2917,0.7083
OhioState,1465,36,409,0.2792,0.7208
Kentucky,1453,40,482,0.3317,0.6683
UArk,1397,39,772,0.5526,0.4474
Auburn,1184,34,448,0.3784,0.6216
Mississippi,1160,36,491,0.4233,0.5767
Maryland,1136,40,278,0.2447,0.7553
Cornell,1098,40,307,0.2796,0.7204
MontanaState,1012,38,289,0.2856,0.7144
OKState,1004,40,320,0.3187,0.6813
Hawaii,996,37,177,0.1777,0.8223
Connecticut,772,30,122,0.158,0.842
UtahState,732,27,86,0.1175,0.8825
NewMexico,731,35,163,0.223,0.777
Delaware,624,33,291,0.4663,0.5337
SouthDakota,591,37,275,0.4653,0.5347
WestVirginia,450,26,95,0.2111,0.7889
Idaho,403,30,114,0.2829,0.7171
Vermont,385,22,62,0.161,0.839
Nevada,380,30,105,0.2763,0.7237
LouisianaState,376,29,116,0.3085,0.6915
Maine,279,13,29,0.1039,0.8961
Wyoming,279,27,141,0.5054,0.4946
NewHampshire,263,23,66,0.251,0.749
RhodeIsland,197,11,31,0.1574,0.8426
Alaska,155,7,14,0.0903,0.9097
