school,latitude,longitude
Alaska,64.5,-150
Arizona,34.3,-111.7
Auburn,32.8,-86.8
Clemson,34.0,-81.0
ColoradoState,39.0,-105.5
Connecticut,41.6,-72.7
Cornell,42.9,-75.5
Delaware,39.0,-75.5
Florida,28.3,-82.2
Georgia,32.7,-83.3
Hawaii,20.8,-157.5
Idaho,44.1,-114.7
Illinois,40.0,-89.0
IowaState,42.1,-93.5
KState,38.5,-98.0
Kentucky,37.8,-85.8
LouisianaState,31.2,-92.3
MU,38.5,-92.5
Maine,45.2,-69.0
Maryland,39.0,-76.7
Massachusetts,42.3,-71.8
Michigan,44.3,-85.5
Minnesota,46.0,-94.0
Mississippi,32.7,-89.7
MontanaState,46.9,-110.0
Nebraska,41.5,-99.8
Nevada,39.5,-116.8
NewHampshire,43.7,-71.6
NewMexico,34.4,-106.0
NorthCarolina,35.5,-79.4
NorthDakota,47.5,-100.5
OhioState,40.3,-82.8
OKState,35.5,-97.5
Oregon,44.0,-120.5
PennState,41.2,-77.5
Purdue,40.3,-86.8
RhodeIsland,41.7,-71.5
Rutgers,40.2,-74.7
SouthDakota,44.3,-100.0
TexasA&M,31.5,-99.3
UArk,35.0,-92.5
UCDavis,38.6,-121.6
UCRiver,33.9,-117.3
UTenn,35.8,-86.3
UtahState,39.3,-111.7
Vermont,44.0,-72.7
VirginiaTech,37.5,-78.5
WashState,47.5,-120.5
WestVirginia,38.5,-80.5
Wisconsin,44.5,-89.5
Wyoming,43.0,-107.5
