school,total_papers,solo_papers,collaborative_papers,n_faculty,papers_per_faculty,collab_rate
Alaska,162,148,14,9,18.0,0.08641975308641975
Arizona,1765,1309,456,52,33.94230769230769,0.25835694050991503
Auburn,1389,1010,379,50,27.78,0.2728581713462923
Clemson,2585,2186,399,47,55.0,0.15435203094777564
ColoradoState,2258,1458,800,69,32.72463768115942,0.354295837023915
Connecticut,847,712,135,35,24.2,0.15938606847697756
Cornell,1348,910,438,178,7.573033707865169,0.3249258160237389
Delaware,676,572,104,21,32.19047619047619,0.15384615384615385
Florida,12333,6423,5910,278,44.36330935251799,0.47920214059839455
Georgia,4785,2643,2142,149,32.11409395973154,0.44764890282131664
Hawaii,1129,876,253,35,32.25714285714286,0.2240921169176262
Idaho,515,312,203,28,18.392857142857142,0.3941747572815534
Illinois,4320,3054,1266,96,45.0,0.29305555555555557
Iowa,4877,2827,2050,118,41.33050847457627,0.42034037318023376
IowaState,75,55,20,118,0.635593220338983,0.26666666666666666
Kentucky,1722,1225,497,53,32.490566037735846,0.2886178861788618
KState,3692,1815,1877,99,37.292929292929294,0.5083965330444203
LouisianaState,445,323,122,29,15.344827586206897,0.27415730337078653
Maine,302,257,45,10,30.2,0.1490066225165563
Maryland,1261,1023,238,39,32.333333333333336,0.1887390959555908
Massachusetts,3588,3007,581,48,74.75,0.16192865105908585
Michigan,5227,3486,1741,169,30.928994082840237,0.3330782475607423
Minnesota,4966,3135,1831,143,34.72727272727273,0.36870720902134513
Mississippi,1559,848,711,52,29.98076923076923,0.45606157793457347
MontanaState,1217,841,376,42,28.976190476190474,0.30895645028759244
MU,3552,1999,1553,88,40.36363636363637,0.43721846846846846
Nebraska,3991,2335,1656,109,36.61467889908257,0.41493360060135304
Nevada,474,296,178,18,26.333333333333332,0.3755274261603376
NewHampshire,263,263,0,9,29.22222222222222,0.0
NewMexico,938,577,361,30,31.266666666666666,0.38486140724946694
NorthCarolina,5012,2987,2025,159,31.52201257861635,0.40403032721468474
NorthDakota,2100,1059,1041,66,31.818181818181817,0.4957142857142857
OhioState,1660,1285,375,59,28.135593220338983,0.22590361445783133
OKState,1224,819,405,50,24.48,0.33088235294117646
Oregon,2036,1657,379,71,28.676056338028168,0.18614931237721022
PennState,2036,1591,445,74,27.513513513513512,0.21856581532416502
Purdue,4178,3051,1127,117,35.70940170940171,0.26974629009095263
RhodeIsland,295,99,196,5,59.0,0.6644067796610169
Rutgers,2075,1776,299,41,50.609756097560975,0.14409638554216866
SouthDakota,744,461,283,31,24.0,0.3803763440860215
TexasA&M,4161,2568,1593,121,34.388429752066116,0.3828406633020908
UArk,1983,971,1012,77,25.753246753246753,0.5103378719112456
UCDavis,8260,6089,2171,215,38.41860465116279,0.26283292978208234
UCRiver,2147,1655,492,81,26.506172839506174,0.22915696320447135
UtahState,875,600,275,39,22.435897435897434,0.3142857142857143
UTenn,2880,2027,853,76,37.89473684210526,0.29618055555555556
Vermont,414,358,56,16,25.875,0.13526570048309178
VirginiaTech,2171,1633,538,82,26.475609756097562,0.2478120681713496
WashState,4607,2756,1851,139,33.143884892086334,0.4017799001519427
WestVirginia,466,434,32,17,27.41176470588235,0.06866952789699571
Wisconsin,5067,3621,1446,137,36.98540145985402,0.28537596210775606
Wyoming,313,247,66,15,20.866666666666667,0.2108626198083067
