School,Nodes,Edges,EdgesPerNode,assortativity_unweighted,assortativity_weighted,average_shortest_path_length,diameter,avg_path_over_diameter,n_cliques,largest_clique_size,clique_integration,global_efficiency,local_efficiency,sigma_small_world_index,omega_small_world_index
Alaska,9,2,0.2222222222222222,-1.0,-0.494949494949495,1.3333333333333333,2,0.6666666666666666,0,0,0.0,0.06944444444444445,0.0,,
Arizona,52,54,1.0384615384615385,0.18551558190034625,0.07376254487330663,3.2561576354679804,7,0.4651653764954258,4,10,0.19230769230769232,0.13005997270703104,0.24468101343101345,1.8986916963201297,-0.086271840655747
Auburn,50,85,1.7,-0.09979179060083378,0.11391298097656824,2.792307692307692,6,0.46538461538461534,4,21,0.42,0.27825850340136216,0.3231619195619196,1.290921165095434,0.22333255905128957
Clemson,47,81,1.7234042553191489,-0.14875250968707238,0.1290978495227475,3.0394889663182347,6,0.5065814943863725,5,15,0.3191489361702128,0.31938020351526614,0.4388165813697728,2.7046102072146354,-0.07634696217042425
ColoradoState,69,140,2.028985507246377,0.10187392652977485,0.15095673523296396,3.2025383395029086,7,0.4575054770718441,7,31,0.4492753623188406,0.3019942759712583,0.43165749977344176,3.107791119363924,0.01823645399367002
Connecticut,35,30,0.8571428571428571,0.10209102091020968,0.18263356948365225,1.9444444444444444,4,0.4861111111111111,4,6,0.17142857142857143,0.08263305322128847,0.31857142857142856,1.4826839826839828,-0.027142857142857024
Cornell,178,208,1.1685393258426966,-0.01590271089681839,-0.006867222448677353,4.269224353628023,11,0.38811130487527484,15,26,0.14606741573033707,0.11121132565143049,0.26171397174956235,3.1881111951350642,-0.18472298194889425
Delaware,21,18,0.8571428571428571,-0.1134020618556701,-0.2649122807017545,2.6025641025641026,6,0.4337606837606838,3,3,0.14285714285714285,0.1922222222222222,0.13650793650793652,1.2756381549484996,0.43644445739936455
Florida,278,1256,4.517985611510792,-0.024876955256225453,0.007522687546895754,3.0574986213101907,7,0.43678551733002724,9,221,0.7949640287769785,0.3287471724527847,0.4916604149941709,,
Georgia,149,480,3.221476510067114,0.05144044123219608,0.2010282074013326,,,,3,102,0.6845637583892618,0.27689238855344006,0.4527354802256478,,
Hawaii,35,38,1.0857142857142856,0.07458143074581432,0.5467781908302353,2.8260869565217392,6,0.4710144927536232,3,9,0.2571428571428571,0.1913445378151263,0.28955782312925166,,
Idaho,28,21,0.75,-0.07103825136612092,-0.055055789813821004,2.0727272727272728,4,0.5181818181818182,4,4,0.14285714285714285,0.10185185185185185,0.2726190476190476,,
Kentucky,53,64,1.2075471698113207,-0.14583333333333334,0.5184714709667109,3.2087087087087087,6,0.5347847847847848,9,7,0.1320754716981132,0.18850991775519924,0.3229859239293202,,
KState,99,379,3.8282828282828283,-0.15686896479952855,-0.1369013396868225,2.383191301792536,5,0.4766382603585072,1,76,0.7676767676767676,0.3369717584003446,0.5965148088230583,,
LouisianaState,29,33,1.1379310344827587,-0.08783642812434807,0.05352481079519244,2.6526315789473682,5,0.5305263157894736,5,5,0.1724137931034483,0.22298850574712664,0.3949096880131363,,
Maine,10,9,0.9,-0.453416149068323,-0.22702656236568383,1.9642857142857142,4,0.49107142857142855,1,3,0.3,0.38333333333333336,0.14333333333333334,,
Maryland,39,35,0.8974358974358975,0.09287257019438439,0.40645977770441266,2.1666666666666665,5,0.4333333333333333,3,9,0.23076923076923078,0.08297345928924871,0.3178266178266178,,
Massachusetts,48,51,1.0625,0.13527039139527933,0.5238278949037783,3.5846560846560847,9,0.3982951205173427,5,9,0.1875,0.13595808004052648,0.30098655202821867,,
Mississippi,52,111,2.1346153846153846,0.051823133611021824,0.08824629984067375,2.5128205128205128,5,0.5025641025641026,1,30,0.5769230769230769,0.28064353946707193,0.38141768843691914,,
MontanaState,42,74,1.7619047619047619,-0.26151614073268065,-0.11265234318089212,2.850793650793651,7,0.4072562358276644,3,13,0.30952380952380953,0.3179857308777157,0.42656453995739696,,
MU,88,304,3.4545454545454546,0.09716786466622483,0.1761579764601705,2.600732600732601,5,0.5201465201465202,1,70,0.7954545454545454,0.35094914663880855,0.547528413418511,,
Nebraska,109,395,3.623853211009174,-0.015404811084984406,,2.734062697243846,6,0.45567711620730766,3,76,0.6972477064220184,0.34529108619324317,0.5133258441354559,,
Nevada,18,20,1.1111111111111112,0.5634920634920633,-0.0566511987625669,2.2545454545454544,5,0.45090909090909087,2,6,0.3333333333333333,0.21906318082788678,0.4083333333333333,,
NewHampshire,9,0,0.0,,,0,0,0,0,0,0.0,0.0,0.0,,
NewMexico,30,69,2.3,-0.1462330369677125,0.06676915704802198,2.216666666666667,5,0.44333333333333336,1,19,0.6333333333333333,0.38034482758620647,0.49969365819365824,,
NorthCarolina,159,418,2.6289308176100628,0.0100807837981315,0.07784779602702491,,,,17,57,0.3584905660377358,0.28216020107585765,0.37970372056360696,,
NorthDakota,66,198,3.0,0.08163051207031093,0.1735878977268413,2.4136429608127723,6,0.4022738268021287,3,44,0.6666666666666666,0.3146386946386921,0.4746072313383975,,
OhioState,59,64,1.0847457627118644,0.28457501192829393,0.25230294156468036,3.2333333333333334,7,0.46190476190476193,6,5,0.0847457627118644,0.1451740836603479,0.20064568200161423,,
OKState,50,66,1.32,0.0002398081534765928,-0.001991269995977968,3.060504201680672,7,0.43721488595438174,5,10,0.2,0.20008940719144644,0.3521349206349207,,
Oregon,71,75,1.056338028169014,-0.021321889572210536,0.07701427114045774,4.667517006802721,12,0.3889597505668934,8,5,0.07042253521126761,0.14252668971984853,0.2073105298457411,,
PennState,74,94,1.2702702702702702,0.2398189142834353,0.079971693022823,3.7072463768115944,9,0.4119162640901772,7,14,0.1891891891891892,0.13900319105798678,0.30610545610545614,,
Purdue,117,238,2.034188034188034,-0.03047414257784634,-0.018601288350094034,,,,16,41,0.3504273504273504,0.27112191767363747,0.32648949894676377,,
RhodeIsland,5,1,0.2,,,1.0,1,1.0,0,0,0.0,0.1,0.0,,
Rutgers,41,55,1.3414634146341464,0.02641773377811188,0.11104764805929977,3.2399193548387095,8,0.4049899193548387,4,11,0.2682926829268293,0.24488675958188116,0.2473819202477739,,
SouthDakota,31,52,1.6774193548387097,-0.06778672266946756,0.5567074623902688,2.1897233201581026,4,0.5474308300395256,5,9,0.2903225806451613,0.29605734767025116,0.23785202252944193,,
TexasA&M,121,296,2.446280991735537,0.029950611455763863,-0.022396358155025414,3.0540643441842756,6,0.5090107240307126,7,71,0.5867768595041323,0.27443755739211273,0.38906384303558267,,
UArk,77,189,2.4545454545454546,-0.3307283594366559,-0.2564140035390259,2.7289002557544757,6,0.45481670929241264,5,49,0.6363636363636364,0.34444634313054623,0.5881871075052892,,
UCRiver,81,113,1.3950617283950617,0.227911300214658,0.41616577018197215,3.8468731735827,9,0.42743035262030005,10,10,0.12345679012345678,0.17449245541838462,0.24722147993752927,,
UtahState,39,36,0.9230769230769231,0.3875236294896023,0.17418525202911256,2.090909090909091,4,0.5227272727272727,2,8,0.20512820512820512,0.07804768331084115,0.24442409442409443,,
UTenn,76,199,2.6184210526315788,0.034624521714106814,0.04469964713914415,2.964003511852502,7,0.423429073121786,4,50,0.6578947368421053,0.32539849624059725,0.5553611136010925,,
Vermont,16,11,0.6875,0.23255813953488483,0.6035335689045935,1.7,3,0.5666666666666667,2,3,0.1875,0.1138888888888889,0.33333333333333337,,
VirginiaTech,82,144,1.7560975609756098,-0.027895604911343023,0.056176522168441656,3.4625258799171843,9,0.38472509776857605,7,25,0.3048780487804878,0.25500877054625964,0.32350508570020775,,
WestVirginia,17,9,0.5294117647058824,-0.08620689655172432,0.019830028328611825,2.0952380952380953,4,0.5238095238095238,0,0,0.0,0.11213235294117646,0.0,,
Wisconsin,137,271,1.9781021897810218,0.01799260807174137,0.2057227784592744,3.935194416749751,9,0.43724382408330564,14,29,0.2116788321167883,,0.4227576505678697,,
Wyoming,15,12,0.8,-0.16387959866220683,-0.012128418549345892,2.3333333333333335,4,0.5833333333333334,1,4,0.26666666666666666,0.2095238095238095,0.20555555555555557,,
