Corresponding Authors,Pubs Num
"Pessarakli, Mohammad",86
"Gunatilaka, A A Leslie",18
"Mosher, Rebecca A",12
"Wing, Rod A",12
"Woodson, Jesse D",12
"Brown, Judith K",10
"Carriere, Yves",10
"Tabashnik, Bruce E",10
"Palanivelu, Ravishankar",9
"Barker, Michael S",7
"Pauli, Duke",7
"Hawes, Martha C",5
"Schmidt, Monica A",5
"Tax, Frans E",5
"Yadegari, Ramin",5
"Arnold, A Elizabeth",4
"Frost, Christopher J",4
"Michaletz, Sean T",4
"Saleska, Scott R",4
"Beilstein, Mark A",3
"Brum, Mauro",3
"Bucksch, Alexander",3
"Frisvold, George B",3
"Herman, Eliot M",3
"Monson, Russell K",3
"Mpanga, Isaac Kwadwo",3
"Sheue, ChiouRong",3
"Zhang, Fangyue",3
"Baltrus, David A",2
"Bronstein, Judith L",2
"Cui, Hong",2
"Dlugosch, Katrina M",2
"Jenks, Matthew A",2
"Kacira, Murat",2
"Kubota, Chieri",2
"Li, Yue M",2
"Lyons, Eric",2
"MurawskaWlodarczyk, Kamila",2
"Neilson, Julia W",2
"Nelson, Andrew D L",2
"Niu, Furong",2
"OrtegaBeltran, Alejandro",2
"Pelosi, Jessie A",2
"Richman, Sarah K",2
"Riordan, Erin Coulter",2
"Sanderson, Michael J",2
"Schumaker, Karen S",2
"Smith, Gordon P",2
"Smith, Marielle N",2
"Smith, William K",2
"URen, Jana M",2
"Wu, Jin",2
