,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Pessarakli, Mohammad",126,126,0,0,0,0,0,0
"Gunatilaka, A A Leslie",57,45,12,2,0,0,0,0
"Mosher, Rebecca A",25,19,6,3,5,3,2,2
"Wing, Rod A",89,84,5,2,0,0,0,0
"Woodson, Jesse D",22,20,2,2,2,2,0,0
"Brown, Judith K",96,94,2,1,8,8,0,0
"Carriere, Yves",64,20,44,2,2,2,0,0
"Tabashnik, Bruce E",78,35,43,1,3,3,0,0
"Palanivelu, Ravishankar",25,22,3,4,1,0,1,1
"Barker, Michael S",58,52,6,4,2,1,1,1
"Pauli, Duke",38,22,16,5,2,1,1,1
"Hawes, Martha C",15,15,0,0,1,1,0,0
"Schmidt, Monica A",16,5,11,2,2,2,0,0
"Tax, Frans E",11,10,1,1,0,0,0,0
"Yadegari, Ramin",11,8,3,2,3,3,0,0
"Arnold, A Elizabeth",91,45,46,8,0,0,0,0
"Frost, Christopher J",12,10,2,2,1,1,0,0
"Michaletz, Sean T",38,38,0,0,0,0,0,0
"Saleska, Scott R",103,69,34,5,10,9,1,1
"Beilstein, Mark A",20,5,15,6,1,0,1,1
"Brum, Mauro",11,5,6,1,0,0,0,0
"Bucksch, Alexander",14,13,1,2,1,1,0,0
"Frisvold, George B",60,59,1,1,1,1,0,0
"Herman, Eliot M",12,2,10,1,1,1,0,0
"Monson, Russell K",28,27,1,2,1,1,0,0
"Mpanga, Isaac Kwadwo",11,9,2,1,0,0,0,0
"Sheue, ChiouRong",8,8,0,0,0,0,0,0
"Zhang, Fangyue",11,1,10,1,0,0,0,0
"Baltrus, David A",60,46,14,2,2,2,0,0
"Bronstein, Judith L",70,57,13,4,1,1,0,0
"Cui, Hong",33,33,0,0,3,3,0,0
"Dlugosch, Katrina M",31,21,10,4,5,3,2,2
"Jenks, Matthew A",17,15,2,1,0,0,0,0
"Kacira, Murat",27,26,1,1,3,3,0,0
"Kubota, Chieri",13,12,1,1,0,0,0,0
"Li, Yue M",19,19,0,0,0,0,0,0
"Lyons, Eric",70,46,24,7,1,1,0,0
"MurawskaWlodarczyk, Kamila",7,6,1,1,0,0,0,0
"Neilson, Julia W",18,17,1,1,0,0,0,0
"Nelson, Andrew D L",26,5,21,8,2,1,1,1
"Niu, Furong",4,4,0,0,0,0,0,0
"OrtegaBeltran, Alejandro",9,8,1,2,0,0,0,0
"Pelosi, Jessie A",9,3,6,2,1,1,0,0
"Richman, Sarah K",8,1,7,1,0,0,0,0
"Riordan, Erin Coulter",6,6,0,0,0,0,0,0
"Sanderson, Michael J",18,14,4,1,1,1,0,0
"Schumaker, Karen S",6,3,3,2,1,1,0,0
"Smith, Gordon P",7,3,4,1,0,0,0,0
"Smith, Marielle N",11,0,11,2,0,0,0,0
"Smith, William K",72,62,10,1,1,1,0,0
"URen, Jana M",32,12,20,2,0,0,0,0
"Wu, Jin",42,22,20,3,0,0,0,0
