Corresponding Authors,Pubs Num
"McElroy, Joseph Scott",14
"Rashotte, Aaron M",12
"SanzSaez, Alvaro",12
"Park, SangWook",11
"Chen, Charles Y",10
"Calderon, Angela I",6
"De La Fuente, Leonardo",6
"Lawrence, Kathy S",6
"Leisner, Courtney P",6
"Li, Xiao",6
"SalazarGutierrez, Melba R",5
"Aspinwall, Michael J",3
"Bashan, Yoav",3
"Chappelka, Arthur H",3
"Chieppa, Jeff",3
"Coleman, Jeffrey J",3
"Jones, Daniel S",3
"Liles, Mark R",3
"Potnis, Neha",3
"da Silva, Andre Luiz Biscaia Ribeiro",3
"Ayipio, Emmanuel",2
"Bell, Leonard N",2
"Boyd, Adam P",2
"Calvo, Pamela",2
"Dhanasekaran, Muralikrishnan",2
"Dillard, S Leanne",2
"Ding, Chen",2
"Fadamiro, Henry Y",2
"Feng, Yucheng",2
"Harkess, Alex",2
"Howe, Julie A",2
"Jacobson, Alana L",2
"Joseph, Mikerly Mistral",2
"Kloepper, Joseph W",2
"Koebernick, JC",2
"Kumari, Annu",2
"Locy, Robert D",2
"Mullenix, M Kimberly",2
"Murphy, John F",2
"Newman, Molli M",2
"Noel, Zachary A",2
"Pickens, Jeremy M",2
"Rodrigues, Camila",2
"Sayyed, R Z",2
"Shannon, Dennis A",2
"Sikora, Edward J",2
"StrayerScherer, Amanda L",2
"Zebelo, Simon",2
"Zhang, Hui",2
"deBashan, Luz E",2
