,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"McElroy, Joseph Scott",77,62,15,8,2,2,0,0
"Rashotte, Aaron M",27,21,6,4,3,3,0,0
"SanzSaez, Alvaro",50,30,20,7,0,0,0,0
"Park, SangWook",14,10,4,2,0,0,0,0
"Chen, Charles Y",46,22,24,7,2,2,0,0
"Calderon, Angela I",41,41,0,0,0,0,0,0
"De La Fuente, Leonardo",47,41,6,3,0,0,0,0
"Lawrence, Kathy S",73,51,22,14,0,0,0,0
"Leisner, Courtney P",18,6,12,4,5,4,1,1
"Li, Xiao",20,14,6,5,0,0,0,0
"SalazarGutierrez, Melba R",8,4,4,3,0,0,0,0
"Aspinwall, Michael J",16,8,8,2,1,1,0,0
"Bashan, Yoav",31,8,23,2,0,0,0,0
"Chappelka, Arthur H",5,4,1,1,0,0,0,0
"Chieppa, Jeff",10,2,8,2,0,0,0,0
"Coleman, Jeffrey J",32,28,4,4,0,0,0,0
"Jones, Daniel S",7,7,0,0,2,2,0,0
"Liles, Mark R",83,68,15,9,1,1,0,0
"Potnis, Neha",54,41,13,5,2,1,1,1
"da Silva, Andre Luiz Biscaia Ribeiro",26,18,8,4,0,0,0,0
"Ayipio, Emmanuel",6,5,1,1,0,0,0,0
"Bell, Leonard N",8,8,0,0,0,0,0,0
"Boyd, Adam P",4,2,2,1,0,0,0,0
"Calvo, Pamela",5,0,5,3,0,0,0,0
"Dhanasekaran, Muralikrishnan",152,152,0,0,0,0,0,0
"Dillard, S Leanne",26,20,6,1,0,0,0,0
"Ding, Chen",6,6,0,0,0,0,0,0
"Fadamiro, Henry Y",50,37,13,6,4,4,0,0
"Feng, Yucheng",30,18,12,9,0,0,0,0
"Harkess, Alex",19,18,1,2,1,1,0,0
"Howe, Julie A",14,13,1,1,0,0,0,0
"Jacobson, Alana L",56,46,10,8,2,2,0,0
"Joseph, Mikerly Mistral",3,0,3,1,0,0,0,0
"Kloepper, Joseph W",54,27,27,11,0,0,0,0
"Koebernick, JC",7,6,1,1,0,0,0,0
"Kumari, Annu",9,5,4,2,0,0,0,0
"Locy, Robert D",2,0,2,2,0,0,0,0
"Mullenix, M Kimberly",40,34,6,1,0,0,0,0
"Murphy, John F",6,3,3,3,0,0,0,0
"Newman, Molli M",12,0,12,3,0,0,0,0
"Noel, Zachary A",10,8,2,2,3,3,0,0
"Pickens, Jeremy M",19,18,1,1,0,0,0,0
"Rodrigues, Camila",17,10,7,3,2,2,0,0
"Sayyed, R Z",23,23,0,0,0,0,0,0
"Shannon, Dennis A",5,4,1,1,0,0,0,0
"Sikora, Edward J",41,28,13,10,0,0,0,0
"StrayerScherer, Amanda L",6,5,1,1,0,0,0,0
"Zebelo, Simon",8,2,6,3,0,0,0,0
"Zhang, Hui",24,10,14,2,0,0,0,0
"deBashan, Luz E",42,16,26,5,0,0,0,0
