Corresponding Authors,Pubs Num
"Thavarajah, Dil",20
"Rustgi, Sachin",19
"Narayanan, Sruthi",16
"Frugoli, Julia A",15
"Luo, Hong",15
"Saski, Christopher A",13
"Gasic, Ksenija",11
"Koski, Matthew H",11
"Mikhailova, Elena A",9
"ReayJones, Francis P F",9
"Suseela, Vidya",9
"Sekhon, Rajandeep S",8
"Tharayil, Nishanth",8
"Boyles, Richard E",7
"Luo, Feng",7
"Mukhtar, Muhammad Shahid",6
"Adelberg, Jeffrey William",5
"Anco, Daniel J",5
"Kresovich, Stephen",5
"Boatwright, J Lucas",4
"ElHawaz, Rabia Fawzi",4
"Khanal, Churamani",4
"Schnabel, Guido",4
"Wang, G Geoff",4
"Bryant, Tim B",3
"CisternasFuentes, Anita",3
"Cutulle, Matthew A",3
"Jatana, Bhupinder Singh",3
"Jones, Michael A",3
"Keinath, Anthony P",3
"Lawrence, Brian T",3
"Marshall, Michael W",3
"Melgar, Juan Carlos",3
"Sapkota, Sirjan",3
"Xia, Mengxue",3
"Ye, Rongzhong",3
"BallenTaborda, Carolina",2
"Inman, Matthew D",2
"Ishii, Hideo",2
"Kumar, Neeraj",2
"Liang, Haiying",2
"Marcotte, William R",2
"Martinez, Nicole E",2
"McKay, Molly",2
"Peng, Congyue Annie",2
"Scott, S W",2
"Sullivan, Cierra N",2
