,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Thavarajah, Dil",51,47,4,1,5,5,0,0
"Rustgi, Sachin",61,49,12,3,1,1,0,0
"Narayanan, Sruthi",29,18,11,4,6,6,0,0
"Frugoli, Julia A",25,22,3,2,1,1,0,0
"Luo, Hong",47,43,4,2,3,3,0,0
"Saski, Christopher A",95,70,25,14,5,4,1,1
"Gasic, Ksenija",48,37,11,5,5,4,1,1
"Koski, Matthew H",29,20,9,3,3,3,0,0
"Mikhailova, Elena A",90,90,0,0,1,1,0,0
"ReayJones, Francis P F",63,55,8,2,0,0,0,0
"Suseela, Vidya",30,14,16,4,6,4,2,2
"Sekhon, Rajandeep S",32,25,7,3,2,2,0,0
"Tharayil, Nishanth",61,29,32,10,11,10,1,1
"Boyles, Richard E",46,16,30,5,1,1,0,0
"Luo, Feng",100,95,5,4,10,9,1,1
"Mukhtar, Muhammad Shahid",18,18,0,0,0,0,0,0
"Adelberg, Jeffrey William",24,10,14,7,1,1,0,0
"Anco, Daniel J",20,16,4,5,1,1,0,0
"Kresovich, Stephen",36,8,28,7,2,2,0,0
"Boatwright, J Lucas",22,7,15,6,0,0,0,0
"ElHawaz, Rabia Fawzi",8,0,8,5,0,0,0,0
"Khanal, Churamani",18,16,2,1,0,0,0,0
"Schnabel, Guido",106,88,18,10,3,3,0,0
"Wang, G Geoff",109,108,1,1,1,1,0,0
"Bryant, Tim B",11,3,8,2,0,0,0,0
"CisternasFuentes, Anita",6,2,4,1,0,0,0,0
"Cutulle, Matthew A",28,17,11,6,5,5,0,0
"Jatana, Bhupinder Singh",11,5,6,2,1,1,0,0
"Jones, Michael A",20,8,12,4,0,0,0,0
"Keinath, Anthony P",65,64,1,1,2,2,0,0
"Lawrence, Brian T",6,0,6,3,0,0,0,0
"Marshall, Michael W",12,2,10,4,0,0,0,0
"Melgar, Juan Carlos",18,8,10,6,0,0,0,0
"Sapkota, Sirjan",15,1,14,5,0,0,0,0
"Xia, Mengxue",5,0,5,2,0,0,0,0
"Ye, Rongzhong",32,30,2,2,4,4,0,0
"BallenTaborda, Carolina",9,4,5,5,0,0,0,0
"Inman, Matthew D",6,6,0,0,0,0,0,0
"Ishii, Hideo",6,0,6,1,0,0,0,0
"Kumar, Neeraj",17,10,7,5,0,0,0,0
"Liang, Haiying",21,21,0,0,1,1,0,0
"Marcotte, William R",7,1,6,1,0,0,0,0
"Martinez, Nicole E",41,35,6,1,0,0,0,0
"McKay, Molly",2,0,2,1,0,0,0,0
"Peng, Congyue Annie",16,8,8,3,0,0,0,0
"Scott, S W",1060,1060,0,0,0,0,0,0
"Sullivan, Cierra N",3,0,3,1,0,0,0,0
