Corresponding Authors,Pubs Num
"Gaines, Todd A",16
"Reddy, Anireddy S N",15
"Vivanco, Jorge M",13
"Leach, Jan E",11
"Morris, Geoffrey P",11
"PilonSmits, Elizabeth A H",11
"Khan, Shahbaz",10
"Minas, Ioannis S",10
"Byrne, Patrick F",9
"Dayan, Franck E",9
"Pearce, Stephen",9
"Sloan, Daniel B",9
"Gleason, Sean M",8
"Peebles, Christie A M",8
"Pilon, Marinus",8
"Haley, Scott D",7
"Nachappa, Punya",7
"Davis, Jessica G",6
"Khosla, Raj",6
"Prenni, Jessica E",6
"Stewart, Jane E",6
"Tembrock, Luke R",6
"Bedinger, Patricia A",5
"Broders, Kirk D",5
"Peers, Graham",5
"Ryan, Michael G",5
"Arathi, H S",4
"Argueso, Cristiana T",4
"Bauerle, William L",4
"Drobnitch, Sarah Tepler",4
"Mason, Richard Esten",4
"Medford, June I",4
"Simmons, Mark P",4
"Smith, Melinda D",4
"Stewart, Jared J",4
"Trivedi, Pankaj",4
"Brick, Mark A",3
"Clark, Shannon L",3
"Davis, Thomas Seth",3
"Heuberger, Adam L",3
"Ippolito, James A",3
"Jahn, Courtney E",3
"Levinger, Nancy E",3
"Miner, Grace L",3
"Monroe, J Grey",3
"Nalam, Vamsi J",3
"Sharbrough, Joel",3
"Winn, Zachary James",3
"Wu, Zhiqiang",3
"Anthony, Brendon M",2
"Broz, Amanda K",2
"Bush, Daniel R",2
"Castillo, Sari Ramon Mohali",2
"Cusack, Daniela F",2
"GriffinNolan, Robert J",2
"Hajek, Olivia L",2
"Hammers, Mik",2
"Hunter, Cameron",2
"Khakhar, Arjun",2
"Lemoine, Nathan P",2
"Miller, Robert O",2
"Moyers, Brook T",2
"Ocheltree, Troy W",2
"Sebastian, Derek J",2
"Sun, Jiayi",2
"Thompson, Henry J",2
"Triplett, Lindsay R",2
"Ward, Sarah M",2
"Wondifraw, Meseret A",2
