,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Gaines, Todd A",101,74,27,5,5,5,0,0
"Reddy, Anireddy S N",53,51,2,3,3,3,0,0
"Vivanco, Jorge M",46,41,5,3,0,0,0,0
"Leach, Jan E",60,34,26,9,8,8,0,0
"Morris, Geoffrey P",34,30,4,2,2,2,0,0
"PilonSmits, Elizabeth A H",45,38,7,4,0,0,0,0
"Khan, Shahbaz",24,24,0,0,0,0,0,0
"Minas, Ioannis S",27,14,13,3,2,2,0,0
"Byrne, Patrick F",29,16,13,5,3,3,0,0
"Dayan, Franck E",80,53,27,7,2,2,0,0
"Pearce, Stephen",21,15,6,7,2,2,0,0
"Sloan, Daniel B",92,43,49,6,5,4,1,1
"Gleason, Sean M",41,23,18,8,0,0,0,0
"Peebles, Christie A M",18,12,6,1,3,3,0,0
"Pilon, Marinus",21,11,10,6,1,1,0,0
"Haley, Scott D",39,15,24,12,1,1,0,0
"Nachappa, Punya",33,15,18,9,6,6,0,0
"Davis, Jessica G",28,24,4,3,0,0,0,0
"Khosla, Raj",27,26,1,1,1,1,0,0
"Prenni, Jessica E",95,74,21,9,5,5,0,0
"Stewart, Jane E",73,61,12,5,3,3,0,0
"Tembrock, Luke R",86,32,54,6,0,0,0,0
"Bedinger, Patricia A",12,4,8,1,0,0,0,0
"Broders, Kirk D",25,18,7,3,1,1,0,0
"Peers, Graham",28,24,4,4,3,3,0,0
"Ryan, Michael G",32,31,1,1,0,0,0,0
"Arathi, H S",12,10,2,2,0,0,0,0
"Argueso, Cristiana T",20,16,4,4,3,3,0,0
"Bauerle, William L",23,17,6,4,0,0,0,0
"Drobnitch, Sarah Tepler",6,3,3,3,0,0,0,0
"Mason, Richard Esten",21,7,14,8,0,0,0,0
"Medford, June I",18,16,2,2,4,4,0,0
"Simmons, Mark P",33,21,12,6,1,1,0,0
"Smith, Melinda D",146,108,38,6,8,8,0,0
"Stewart, Jared J",18,10,8,5,0,0,0,0
"Trivedi, Pankaj",85,75,10,6,3,3,0,0
"Brick, Mark A",24,11,13,5,1,1,0,0
"Clark, Shannon L",6,2,4,2,0,0,0,0
"Davis, Thomas Seth",44,38,6,1,8,8,0,0
"Heuberger, Adam L",39,19,20,9,1,1,0,0
"Ippolito, James A",80,71,9,7,0,0,0,0
"Jahn, Courtney E",16,2,14,12,0,0,0,0
"Levinger, Nancy E",36,36,0,0,4,4,0,0
"Miner, Grace L",11,1,10,5,0,0,0,0
"Monroe, J Grey",15,10,5,2,0,0,0,0
"Nalam, Vamsi J",23,6,17,5,3,3,0,0
"Sharbrough, Joel",21,8,13,4,1,0,1,1
"Winn, Zachary James",11,0,11,5,0,0,0,0
"Wu, Zhiqiang",74,5,69,5,0,0,0,0
"Anthony, Brendon M",10,0,10,2,0,0,0,0
"Broz, Amanda K",27,0,27,5,0,0,0,0
"Bush, Daniel R",6,3,3,4,0,0,0,0
"Castillo, Sari Ramon Mohali",2,0,2,1,0,0,0,0
"Cusack, Daniela F",26,26,0,0,3,3,0,0
"GriffinNolan, Robert J",30,8,22,4,0,0,0,0
"Hajek, Olivia L",8,6,2,2,0,0,0,0
"Hammers, Mik",2,0,2,2,0,0,0,0
"Hunter, Cameron",5,0,5,5,0,0,0,0
"Khakhar, Arjun",8,7,1,1,4,4,0,0
"Lemoine, Nathan P",28,10,18,2,2,2,0,0
"Miller, Robert O",6,6,0,0,0,0,0,0
"Moyers, Brook T",11,8,3,3,0,0,0,0
"Ocheltree, Troy W",29,15,14,6,4,4,0,0
"Sebastian, Derek J",9,5,4,2,0,0,0,0
"Sun, Jiayi",6,0,6,1,0,0,0,0
"Thompson, Henry J",74,62,12,3,2,2,0,0
"Triplett, Lindsay R",10,0,10,3,0,0,0,0
"Ward, Sarah M",7,7,0,0,0,0,0,0
"Wondifraw, Meseret A",2,0,2,3,0,0,0,0
