Corresponding Authors,Pubs Num
"Li, Yi",39
"Berkowitz, Gerald Alan",14
"Wang, Huanzhong",14
"Yuan, YaoWu",14
"Wegrzyn, Jill L",8
"Diggle, Pamela K",6
"Goffinet, Bernard",6
"Guillard, Karl",6
"Kuzovkina, Yulia A",5
"Lin, Senjie",5
"Ma, Yi",5
"Ding, Baoqing",4
"LaFountain, Amy M",4
"Raudales, Rosa E",4
"Anderson, Gregory J",3
"Brand, Mark H",3
"Chun, Ock K",3
"Inguagiato, John C",3
"Kim, Jang Kyun",3
"Mitchell, Nora",3
"Razifard, Hamid",3
"Reichgelt, Tammo",3
"Chazdon, Robin L",2
"Chen, Hongfei",2
"Frank, TD",2
"Frye, Henry A",2
"Fucikova, Karolina",2
"Heyduk, Karolina",2
"Jones, Cynthia S",2
"KhanBureau, Diba A",2
"Knighton, James",2
"Les, Donald H",2
"Neupane, Suman",2
"Simon, Antoine",2
"Stanley, Lauren E",2
