,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Li, Yi",71,67,4,3,3,3,0,0
"Berkowitz, Gerald Alan",20,9,11,1,3,3,0,0
"Wang, Huanzhong",20,19,1,2,4,4,0,0
"Yuan, YaoWu",38,13,25,5,0,0,0,0
"Wegrzyn, Jill L",71,63,8,6,4,4,0,0
"Diggle, Pamela K",18,13,5,6,2,2,0,0
"Goffinet, Bernard",49,39,10,2,3,3,0,0
"Guillard, Karl",7,1,6,4,1,1,0,0
"Kuzovkina, Yulia A",9,7,2,1,0,0,0,0
"Lin, Senjie",146,146,0,0,1,1,0,0
"Ma, Yi",14,3,11,1,0,0,0,0
"Ding, Baoqing",13,2,11,5,0,0,0,0
"LaFountain, Amy M",24,16,8,3,0,0,0,0
"Raudales, Rosa E",8,8,0,0,3,3,0,0
"Anderson, Gregory J",7,7,0,0,0,0,0,0
"Brand, Mark H",19,18,1,2,0,0,0,0
"Chun, Ock K",111,111,0,0,5,5,0,0
"Inguagiato, John C",5,2,3,3,0,0,0,0
"Kim, Jang Kyun",25,25,0,0,0,0,0,0
"Mitchell, Nora",5,4,1,1,1,1,0,0
"Razifard, Hamid",0,0,0,0,0,0,0,0
"Reichgelt, Tammo",20,20,0,0,0,0,0,0
"Chazdon, Robin L",55,55,0,0,0,0,0,0
"Chen, Hongfei",6,0,6,3,0,0,0,0
"Frank, TD",5,5,0,0,0,0,0,0
"Frye, Henry A",9,7,2,2,0,0,0,0
"Fucikova, Karolina",12,9,3,1,0,0,0,0
"Heyduk, Karolina",11,11,0,0,1,1,0,0
"Jones, Cynthia S",12,8,4,3,0,0,0,0
"KhanBureau, Diba A",1,1,0,0,0,0,0,0
"Knighton, James",16,16,0,0,2,2,0,0
"Les, Donald H",5,5,0,0,0,0,0,0
"Neupane, Suman",5,2,3,1,0,0,0,0
"Simon, Antoine",4,0,4,1,0,0,0,0
"Stanley, Lauren E",6,0,6,4,0,0,0,0
