Corresponding Authors,Pubs Num
"Hua, Jian",44
"Niklas, Karl J",36
"Li, Li",32
"McCouch, Susan R",22
"Roeder, Adrienne H K",22
"Sorrells, Mark E",21
"van Wijk, Klaas J",21
"Cheng, Lailiang",20
"Gore, Michael A",20
"Scanlon, Michael J",19
"Martin, Gregory B",18
"Giovannoni, James J",16
"Li, FayWei",16
"Heck, Michelle Cilia",15
"Irfan, Mohammad",15
"Doyle, Jeff J",12
"Jannink, JeanLuc",12
"Hanson, Maureen R",11
"Kessler, Andre",11
"Moghe, Gaurav D",11
"Van Eck, Joyce",11
"DiTommaso, Antonio",10
"Khan, Awais",10
"Liu, Jiping",10
"Liu, Rui Hai",10
"Ware, Doreen",10
"Buckler, Edward S",9
"Casteel, Clare L",9
"Gan, SuSheng",9
"KaoKniffin, Jenny",9
"Mazourek, Michael",9
"Vatamaniuk, Olena K",9
"Bauerle, Taryn L",8
"Bogdanove, Adam J",8
"CadleDavidson, Lance",8
"Frank, Margaret H",8
"Hefferon, Kathleen L",8
"Kumar, Vipan",8
"Mattson, Neil S",8
"Rose, Jocelyn K C",8
"Acevedo, Maricelis",7
"Cilia, Michelle",7
"Mutschler, Martha A",7
"Pethybridge, Sarah J",7
"Robbins, Kelly R",7
"Setter, Tim L",7
"Specht, Chelsea Dvorak",7
"Sun, Tianhu",7
"Agrawal, Anurag A",6
"Brzozowski, Lauren J",6
"Dong, Shikui",6
"Fuchs, Marc",6
"Londo, Jason P",6
"Pawlowski, Wojciech P",6
"Raguso, Robert A",6
"Smart, Lawrence B",6
"Timmons, Michael B",6
"Bentolila, Stephane",5
"Nasrallah, June B",5
"Pineros, Miguel A",5
"Sheehan, Moira J",5
"Skirycz, Aleksandra",5
"Stroock, Abraham D",5
"Turgeon, Robert",5
"Vadde, Batthula Vijaya Lakshmi",5
"Watkins, Christopher B",5
"Cox, William J",4
"De Jong, Walter S",4
"Filiatrault, Melanie J",4
"Grab, Heather",4
"Gray, Stewart M",4
"Gunn, Laura Helen",4
"Ketterings, Quirine M",4
"Landis, Jacob B",4
"Lehmann, Johannes",4
"Nelson, Rebecca J",4
"Sun, Ying",4
"Tufan, Hale Ann",4
"Wang, Ping",4
"Wang, Xiaohong",4
"WiesnerHanks, Tyr",4
"Wolfe, Marnin D",4
"Xu, Kenong",4
"Zhai, Chenxi",4
"Bergstrom, Gary C",3
"Catala, Carmen",3
"Cleavitt, Natalie L",3
"Collmer, Alan",3
"Davies, Peter J",3
"Egesi, Chiedozie",3
"Eisen, Katherine E",3
"Fei, Zhangjun",3
"Gandolfo, Maria A",3
"Hashmi, Majid S",3
"Hershberger, Jenna",3
"Jud, Nathan A",3
"LopezGoldar, Xose",3
"Megerssa, Shitaye Homma",3
"Mohler, Charles L",3
"Mueller, Lukas A",3
"Nandudu, Leah",3
"Neto, Israel L Cunha",3
"Nieto, Luis Gonzalez",3
"Onyenedum, Joyce G",3
"Reig, Gemma",3
"Sun, Qi",3
"Taagen, Ella",3
"Taylor, Alan G",3
"Thannhauser, Theodore W",3
"Van Amburgh, ME",3
"Whitehead, Susan R",3
"Zhang, Sheng",3
"Al Shoffe, Yosef",2
"Allevato, Daniella M",2
"Amirkhani, Masoume",2
"Amsili, Joseph P",2
"Battaglia, Martin Leonardo",2
"Beil, Craig T",2
"Bhaskar, Vinay",2
"Cherney, Jerome H",2
"Crepet, William L",2
"Dahake, Ajinkya",2
"Dobson, Annise M",2
"Duplais, Christophe",2
"Emmett, Bryan D",2
"FresnedoRamirez, Jonathan",2
"Gage, Joseph L",2
"Gan, Huijie",2
"Gonzalez, Jonathan B",2
"Guo, Xinbo",2
"Hafner, Benjamin D",2
"Han, Jimei",2
"Harman, Gary",2
"He, Yan",2
"Hendry, Tory A",2
"Hermsen, Elizabeth J",2
"Igwe, David Okeh",2
"Jacobsen, Deidra J",2
"Jain, Piyush",2
"Jiang, Yu",2
"Klessig, Daniel F",2
"Kremling, Karl A G",2
"Liebert, Jeffrey A",2
"Martinez, Camila",2
"Matel, Theodore P",2
"Mayton, Hilary",2
"McArt, Scott H",2
"McBride, Murray B",2
"Mehta, Saurabh",2
"MejiaGuerra, Maria Katherine",2
"Nicholson, Linda K",2
"Pawlowska, Teresa E",2
"Pearse, Ian S",2
"Peck, Gregory Michael",2
"Popescu, Sorina C",2
"Poveda, Katja",2
"Ramstein, Guillaume P",2
"Reshef, Noam",2
"Ryan, Matthew R",2
"Sacks, Gavin L",2
"Salzman, Shayla",2
"Shelton, Anthony M",2
"Shields, Elson J",2
"Smart, Christine D",2
"Stansell, Zachary",2
"Strable, Josh",2
"Thompson, Jeremy R",2
"Wallace, Jason G",2
"Wang, Duoduo",2
"Wang, Hongrui",2
"Wang, Yuqi",2
"Washburn, Jacob D",2
"Wayne, Randy",2
"Xu, Xiangtao",2
"Yadav, Avilash Singh",2
"Yavitt, Joseph B",2
"Young, Stephen L",2
