,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Hua, Jian",10,9,1,2,4,4,0,0
"Niklas, Karl J",30,30,0,0,0,0,0,0
"Li, Li",33,20,13,8,0,0,0,0
"McCouch, Susan R",26,21,5,4,4,2,2,3
"Roeder, Adrienne H K",9,7,2,2,4,4,0,0
"Sorrells, Mark E",27,18,9,8,6,6,0,0
"van Wijk, Klaas J",14,10,4,3,0,0,0,0
"Cheng, Lailiang",9,3,6,4,2,2,0,0
"Gore, Michael A",25,15,10,14,8,6,2,4
"Scanlon, Michael J",10,7,3,4,5,4,1,2
"Martin, Gregory B",14,9,5,4,0,0,0,0
"Giovannoni, James J",17,7,10,7,1,0,1,1
"Li, FayWei",6,5,1,1,0,0,0,0
"Heck, Michelle Cilia",6,1,5,4,0,0,0,0
"Irfan, Mohammad",8,7,1,1,0,0,0,0
"Doyle, Jeff J",10,8,2,2,0,0,0,0
"Jannink, JeanLuc",28,13,15,9,0,0,0,0
"Hanson, Maureen R",20,12,8,2,6,6,0,0
"Kessler, Andre",14,11,3,4,1,1,0,0
"Moghe, Gaurav D",4,1,3,4,3,2,1,1
"Van Eck, Joyce",6,4,2,5,0,0,0,0
"DiTommaso, Antonio",15,6,9,6,1,1,0,0
"Khan, Awais",3,2,1,2,3,3,0,0
"Liu, Jiping",6,2,4,4,0,0,0,0
"Liu, Rui Hai",42,31,11,1,0,0,0,0
"Ware, Doreen",30,30,0,0,0,0,0,0
"Buckler, Edward S",43,24,19,11,1,1,0,0
"Casteel, Clare L",8,7,1,2,2,2,0,0
"Gan, SuSheng",5,4,1,1,1,1,0,0
"KaoKniffin, Jenny",8,8,0,0,0,0,0,0
"Mazourek, Michael",13,6,7,6,7,7,0,0
"Vatamaniuk, Olena K",7,6,1,2,6,5,1,1
"Bauerle, Taryn L",8,7,1,1,3,2,1,3
"Bogdanove, Adam J",13,13,0,0,3,2,1,1
"CadleDavidson, Lance",11,2,9,7,0,0,0,0
"Frank, Margaret H",6,1,5,6,5,3,2,2
"Hefferon, Kathleen L",12,12,0,0,1,1,0,0
"Kumar, Vipan",0,0,0,0,0,0,0,0
"Mattson, Neil S",9,8,1,1,5,5,0,0
"Rose, Jocelyn K C",18,8,10,12,6,5,1,1
"Acevedo, Maricelis",3,2,1,3,0,0,0,0
"Cilia, Michelle",12,6,6,2,0,0,0,0
"Mutschler, Martha A",5,4,1,1,3,3,0,0
"Pethybridge, Sarah J",6,5,1,2,7,7,0,0
"Robbins, Kelly R",5,3,2,2,3,3,0,0
"Setter, Tim L",7,5,2,2,0,0,0,0
"Specht, Chelsea Dvorak",3,2,1,1,1,1,0,0
"Sun, Tianhu",3,1,2,4,0,0,0,0
"Agrawal, Anurag A",24,22,2,5,7,7,0,0
"Brzozowski, Lauren J",2,0,2,5,1,1,0,0
"Dong, Shikui",8,7,1,1,0,0,0,0
"Fuchs, Marc",6,3,3,2,7,7,0,0
"Londo, Jason P",6,0,6,6,1,1,0,0
"Pawlowski, Wojciech P",4,2,2,2,5,4,1,1
"Raguso, Robert A",24,21,3,4,3,3,0,0
"Smart, Lawrence B",5,3,2,3,7,7,0,0
"Timmons, Michael B",3,3,0,0,2,2,0,0
"Bentolila, Stephane",7,0,7,1,0,0,0,0
"Nasrallah, June B",3,3,0,0,0,0,0,0
