,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Sparks, Erin E",35,35,0,0,4,4,0,0
"Seyfferth, Angelia L",59,47,12,3,9,8,1,1
"Bais, Harsh P",37,20,17,5,1,1,0,0
"Caplan, Jeffrey Lewis",58,42,16,4,5,5,0,0
"Lee, JungYoun",23,22,1,1,0,0,0,0
"Wisser, Randall J",36,31,5,2,0,0,0,0
"Meyers, Blake C",61,48,13,3,0,0,0,0
"Chen, Haiqiang",43,42,1,1,2,2,0,0
"Hiltpold, Ivan",9,8,1,1,1,1,0,0
"Kniel, Kalmia E",68,59,9,3,1,1,0,0
"Green, Pamela J",12,10,2,2,1,1,0,0
"Rosier, Amanda",5,0,5,1,0,0,0,0
"Vargas, Rodrigo",127,116,11,2,6,5,1,1
"Vollmer, Kurt M",0,0,0,0,0,0,0,0
"Boyer, John S",0,0,0,0,0,0,0,0
"Donofrio, Nicole M",20,15,5,4,0,0,0,0
"Ingber, David A",5,4,1,1,0,0,0,0
"Jin, Yan",49,44,5,3,1,1,0,0
"Meng, Qingwu",9,9,0,0,3,3,0,0
"Mishra, Vishnu",14,14,0,0,0,0,0,0
"VanGessel, Mark J",6,6,0,0,1,1,0,0
