Corresponding Authors,Pubs Num
"Killiny, Nabil",46
"Munoz, Patricio R",35
"Dutt, Manjul",34
"Chen, Sixue",31
"Wang, Jianping",24
"Boyd, Nathan S",23
"Jones, Jeffrey B",23
"Mou, Zhonglin",23
"Soltis, Douglas E",22
"Folta, Kevin M",20
"Wang, Nian",20
"Hanson, Andrew D",19
"Rios, Esteban Fernando",17
"Whitaker, Vance M",16
"Babar, Md Ali",15
"Deng, Zhanao",15
"Zhang, Shouan",15
"Chen, Jianjun",14
"Levy, Amit",14
"Vincent, Christopher I",14
"Enloe, Stephen F",13
"Sandhu, Hardev Singh",13
"Sarkhosh, Ali",13
"Zhang, Muqing",13
"Kim, Jeongim",12
"Kirst, Matias",12
"Lee, Seonghee",12
"Schaffer, Bruce",12
"Begcy, Kevin",11
"Ferl, Robert J",11
"Luesch, Hendrik",11
"Folimonova, Svetlana Y",10
"Kadyampakeni, Davie M",10
"McGovern, Robert J",10
"Orbovic, Vladimir",10
"Paret, Mathews L",10
"Resende, Marcio F R",10
"Soltis, Pamela S",10
"Wang, Yu",10
"White, Frank F",10
"Zhao, Xin",10
"Chambers, Alan H",9
"Jarquin, Diego",9
"Klee, Harry J",9
"Odero, D Calvin",9
"Rott, Philippe",9
"Sollenberger, Lynn E",9
"Vendramini, Joao M B",9
"Altpeter, Fredy",8
"Fisher, Paul R",8
"Gmitter, Frederick G",8
"Huo, Heqiang",8
"Marble, Stephen Christopher",8
"McCarty, Donald R",8
"Paul, AnnaLisa",8
"Q, Lena",8
"Sellers, Brent A",8
"Ali, Gul Shad",7
"Basset, Gilles J",7
"Kenworthy, Kevin",7
"Lee, Tong Geon",7
"Liu, Guodong",7
"Meru, Geoffrey",7
"Mylavarapu, Rao S",7
"Nehela, Yasser",7
"Omar, Ahmad A",7
"PelzStelinski, Kirsten S",7
"Rathinasabapathi, Bala",7
"SandoyaMiranda, German",7
"Settles, A Mark",7
"Vashisth, Tripti",7
"van Bruggen, Ariena H C",7
"Dubeux, Jose Carlos Batista",6
"Liu, Tie",6
"Martins, Samuel J",6
"McCray, J Mabry",6
"McDaniel, Stuart F",6
"Nadakuduti, Satya Swathi",6
"Quesenberry, Kenneth",6
"Sessa, Emily B",6
"Shahid, Muhammad Adnan",6
"Albrecht, Ute",5
"Caram, Nicolas",5
"Dubeux, Jose C B",5
"Ferrell, Jason A",5
"Garrett, Karen A",5
"Gmitter, Fred G",5
"Goss, Erica M",5
"Graham, James H",5
"Li, Changying",5
"Liao, HuiLing",5
"Martini, Xavier",5
"Messina, Carlos D",5
"Pelosi, Jessie A",5
"Perez, Hector Eduardo",5
"Smith, Matthew E",5
"Stelinski, Lukasz L",5
"Testo, Weston L",5
University of Florida),5
"Zale, Janice M",5
"Zhao, Meixia",5
"Alferez, Fernando",4
"Barbazuk, William Brad",4
"Bhadha, Jehangir H",4
"Bonning, Bryony C",4
"Calixto, Eduardo Soares",4
"Chase, Christine D",4
"Etxeberria, Ed",4
"Gabriel, Dean W",4
"Gomez, Celina",4
"Guralnick, Robert P",4
"Habibi, Fariborz",4
"Hannah, L Curtis",4
"Harmon, Philip F",4
"Hodel, Richard G J",4
"Hutton, Samuel F",4
"Leon, Ramon G",4
"Ma, Lena Q",4
"Nunez, Gerardo H",4
"Ploetz, Randy C",4
"Rollins, Jeffrey A",4
"Spoelhof, Jonathan P",4
"Stull, Gregory W",4
"Suzuki, Masaharu",4
"Vallejos, C Eduardo",4
"Vendrame, Wagner Aparecido",4
"Vermerris, Wilfred",4
"Wu, Xingbo",4
"Yao, Wei",4
"de Camargo Santos, Aline",4
"Ampatzidis, Yiannis",3
"Atta, Alisheikh A",3
"Bassil, Elias",3
"Caiafa, Marcos V",3
"Campbell, Joshua W",3
"Chang, LanYen",3
"Cordell, Geoffrey A",3
"Davis, John M",3
"Desaeger, Johan A",3
"DiGennaro, Peter",3
"Ding, Yousong",3
"Duncan, Larry W",3
"Ferrao, Luis Felipe V",3
"Fill, Jennifer M",3
"Flory, S Luke",3
"Freeman, Joshua H",3
"Gloaguen, Romain M",3
"Gray, Dennis J",3
"Grosser, Jude W",3
"Grundmann, Oliver",3
"Guan, Zhengfei",3
"Howard, Cody Coyotee",3
"Ibanez, Freddy",3
"Jailani, A Abdul Kader",3
"Jaramillo, David Mirabedini",3
"Khan, Naeem",3
"Landis, Jacob B",3
"MaltaisLandry, Gabriel",3
"Marin, Marcus Vinicius",3
"McCurdy, Christopher R",3
"Minogue, Patrick J",3
"Mohamed, Azza H",3
"Odero, Dennis C",3
"Peres, Natalia A",3
"Polston, Jane E",3
"Prince, Candice M",3
"Rohal, Christine Brenda",3
"Sanclemente, MariaAngelica",3
"Santos, Erick R S",3
"Schiavon, Marco",3
"Schmitz, Andrew",3
"Shaddox, Travis W",3
"Sharpe, Shaun M",3
"Silveira, Maria L",3
"Song, WenYuan",3
"Song, Yangyang",3
"Sun, YongDuo",3
"Tillman, Barry L",3
University of Florida,3
University of Florida; University of Florida),3
"Vallad, Gary E",3
"Voiniciuc, Catalin",3
"Zare, Alina",3
"de Souza Junior, Jonas Pereira",3
"Adams, Curtis B",2
"Ahlawat, Yogesh K",2
"Ascunce, Marina S",2
"Asseng, Senthold",2
"Bahder, Brian W",2
"Bai, Fang",2
"Barbey, Christopher R",2
"BarretoGarcia, Patricia Anjos Bittencourt",2
"Baruzzi, C",2
"Bashyal, Mahesh",2
"Batuman, Ozgur",2
"Burleigh, J Gordon",2
"Caballero, Rafael",2
"Chabert, Stan",2
"Chaparro, Jose X",2
"Chase, Carlene A",2
"Chater, John M",2
"Chen, KoHsuan",2
"Childers, Carl C",2
"Choudhury, Robin Alan",2
"Conde, Daniel",2
"Devkota, Pratap",2
"Dias, Jose Luiz C S",2
"DiazToribio, Milton H",2
"Dittmar, Peter J",2
"Ebert, Timothy A",2
"EncisoRodriguez, Felix E",2
"Erickson, John E",2
"Fernandez, Jose V",2
"Gao, Bin",2
"Gitzendanner, Matthew A",2
"Gurley, William B",2
"Gustin, Jeffery L",2
"Hamido, Said A",2
"Hammond, William M",2
"Harmon, Carrie",2
"Harper, S J",2
"Hauser, Bernard A",2
"He, Zhenli",2
"Herzog, Roland W",2
"Hogan, J Aaron",2
"Hussain, Syed Bilal",2
"Iboyi, Joseph E",2
"Inglett, Patrick W",2
"Jantzen, Johanna R",2
"Kalischuk, Melanie L",2
"Kang, ByungHo",2
"Khachatryan, Hayk",2
"Krieg, Christopher P",2
"Li, Meng",2
"Li, Xiang",2
"Loesgen, Sandra",2
"Lu, Huangjun",2
"Majure, Lucas C",2
"Manchester, Steven R",2
"Marchant, D Blaine",2
"Melton, Anthony E",2
"Minteer, Carey R",2
"Misra, Biswapriya B",2
"Murphy, Thomas H",2
"Nair, Vimala D",2
"NaroueiKhandan, Hossein A",2
"Nascimento, Moyses",2
"Obase, Keisuke",2
"Palmateer, A J",2
"Poudel, Ravin",2
"Rahemi, Alireza",2
"Renkema, Justin M",2
"Roberts, Pamela D",2
"Rugno, Gabriel Rodrigo",2
"Saad, Norsazilawati",2
"Sargent, Steven A",2
"Sarnoski, Paul J",2
"Schuerger, Andrew C",2
"Schumann, Arnold W",2
"Seal, Dakshina R",2
"Shah, Muhammad Nadeem",2
"Shimwela, Mpoki M",2
"Siegfried, Blair D",2
"Simonne, Amarat",2
"Smith, Hugh A",2
"Sperry, Benjamin P",2
"Tieman, Denise",2
"Tiley, George P",2
"Timilsina, Sujan",2
"Tseng, YuChien",2
"Tsouvaltzis, Pavlos",2
"Unruh, J Bryan",2
"Valenta, Kim",2
"Wallau, Marcelo O",2
"Wang, Ying",2
"Wei, Xiangying",2
"Wilkie, Ann C",2
"Xing, Chengguo",2
"Yang, Yuechao",2
"de Carvalho, Deived Uilian",2
