,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Killiny, Nabil",123,60,63,21,2,2,0,0
"Munoz, Patricio R",103,36,67,32,2,2,0,0
"Dutt, Manjul",61,15,46,19,3,3,0,0
"Chen, Sixue",170,137,33,17,5,5,0,0
"Wang, Jianping",90,64,26,16,0,0,0,0
"Boyd, Nathan S",125,43,82,18,5,5,0,0
"Jones, Jeffrey B",182,47,135,28,1,0,1,2
"Mou, Zhonglin",40,21,19,21,4,3,1,1
"Soltis, Douglas E",221,23,198,23,12,1,11,4
"Folta, Kevin M",55,35,20,14,1,1,0,0
"Wang, Nian",85,58,27,19,8,7,1,2
"Hanson, Andrew D",90,65,25,13,6,4,2,2
"Rios, Esteban Fernando",65,17,48,27,2,2,0,0
"Whitaker, Vance M",82,28,54,21,0,0,0,0
"Babar, Md Ali",54,32,22,10,0,0,0,0
"Deng, Zhanao",66,33,33,14,1,1,0,0
"Zhang, Shouan",93,45,48,19,1,1,0,0
"Chen, Jianjun",92,47,45,9,1,1,0,0
"Levy, Amit",58,17,41,13,3,3,0,0
"Vincent, Christopher I",46,13,33,22,4,4,0,0
"Enloe, Stephen F",42,28,14,10,1,1,0,0
"Sandhu, Hardev Singh",103,80,23,15,4,4,0,0
"Sarkhosh, Ali",123,48,75,24,2,2,0,0
"Zhang, Muqing",45,22,23,3,0,0,0,0
"Kim, Jeongim",27,8,19,19,1,1,0,0
"Kirst, Matias",58,13,45,18,6,4,2,2
"Lee, Seonghee",54,16,38,13,2,2,0,0
"Schaffer, Bruce",72,26,46,20,1,1,0,0
"Begcy, Kevin",32,18,14,12,0,0,0,0
"Ferl, Robert J",38,1,37,3,6,4,2,2
"Luesch, Hendrik",111,89,22,4,2,2,0,0
"Folimonova, Svetlana Y",32,14,18,12,3,3,0,0
"Kadyampakeni, Davie M",96,37,59,22,2,2,0,0
"McGovern, Robert J",15,12,3,5,0,0,0,0
"Orbovic, Vladimir",27,10,17,12,0,0,0,0
"Paret, Mathews L",100,21,79,26,4,4,0,0
"Resende, Marcio F R",58,17,41,32,8,6,2,2
"Soltis, Pamela S",219,19,200,25,14,4,10,3
"Wang, Yu",163,126,37,27,4,4,0,0
"White, Frank F",52,37,15,8,1,0,1,2
"Zhao, Xin",48,37,11,11,3,3,0,0
"Chambers, Alan H",40,20,20,10,1,1,0,0
"Jarquin, Diego",51,40,11,7,0,0,0,0
"Klee, Harry J",39,24,15,10,3,3,0,0
"Odero, D Calvin",22,7,15,12,0,0,0,0
"Rott, Philippe",22,15,7,5,0,0,0,0
"Sollenberger, Lynn E",152,55,97,24,1,1,0,0
"Vendramini, Joao M B",164,75,89,22,0,0,0,0
"Altpeter, Fredy",24,19,5,8,3,3,0,0
"Fisher, Paul R",33,24,9,7,4,4,0,0
"Gmitter, Frederick G",54,21,33,19,2,2,0,0
"Huo, Heqiang",53,38,15,8,1,1,0,0
"Marble, Stephen Christopher",29,19,10,7,2,2,0,0
"McCarty, Donald R",38,11,27,11,3,1,2,2
"Paul, AnnaLisa",38,0,38,4,0,0,0,0
"Q, Lena",102,80,22,3,0,0,0,0
"Sellers, Brent A",73,18,55,20,2,2,0,0
"Ali, Gul Shad",33,31,2,3,0,0,0,0
"Basset, Gilles J",25,19,6,5,4,4,0,0
"Kenworthy, Kevin",32,5,27,10,1,1,0,0
"Lee, Tong Geon",20,12,8,5,1,1,0,0
"Liu, Guodong",69,43,26,20,0,0,0,0
"Meru, Geoffrey",45,24,21,16,1,1,0,0
"Mylavarapu, Rao S",49,28,21,11,1,1,0,0
"Nehela, Yasser",46,13,33,9,0,0,0,0
"Omar, Ahmad A",29,10,19,11,1,1,0,0
"PelzStelinski, Kirsten S",35,15,20,7,0,0,0,0
"Rathinasabapathi, Bala",57,18,39,20,1,1,0,0
"SandoyaMiranda, German",30,17,13,8,0,0,0,0
"Settles, A Mark",28,6,22,10,0,0,0,0
"Vashisth, Tripti",104,61,43,13,1,1,0,0
"van Bruggen, Ariena H C",30,15,15,11,0,0,0,0
"Dubeux, Jose Carlos Batista",53,46,7,6,0,0,0,0
"Liu, Tie",24,7,17,12,2,2,0,0
"Martins, Samuel J",21,8,13,7,4,4,0,0
"McCray, J Mabry",24,15,9,7,0,0,0,0
"McDaniel, Stuart F",45,36,9,9,5,4,1,1
"Nadakuduti, Satya Swathi",14,6,8,6,4,4,0,0
"Quesenberry, Kenneth",20,2,18,11,0,0,0,0
"Sessa, Emily B",61,26,35,15,8,7,1,1
"Shahid, Muhammad Adnan",48,23,25,20,0,0,0,0
"Albrecht, Ute",44,19,25,11,2,1,1,1
"Caram, Nicolas",12,0,12,3,0,0,0,0
"Dubeux, Jose C B",154,63,91,19,4,4,0,0
"Ferrell, Jason A",83,16,67,26,0,0,0,0
"Garrett, Karen A",64,45,19,16,0,0,0,0
"Gmitter, Fred G",21,9,12,16,0,0,0,0
"Goss, Erica M",103,16,87,26,5,5,0,0
"Graham, James H",45,35,10,9,0,0,0,0
"Li, Changying",36,32,4,4,1,1,0,0
"Liao, HuiLing",57,30,27,9,0,0,0,0
"Martini, Xavier",94,34,60,18,4,4,0,0
"Messina, Carlos D",37,30,7,12,0,0,0,0
"Pelosi, Jessie A",13,4,9,4,0,0,0,0
"Perez, Hector Eduardo",21,13,8,7,3,3,0,0
"Smith, Matthew E",138,119,19,10,7,7,0,0
"Stelinski, Lukasz L",150,79,71,16,2,2,0,0
"Testo, Weston L",18,6,12,6,0,0,0,0
