Corresponding Authors,Pubs Num
"Paterson, Andrew H",44
"Ye, ZhengHua",34
"Li, Zenglu",30
"OziasAkins, Peggy",27
"Schmitz, Robert J",25
"Tsai, ChungJui",16
"van der Knaap, Esther",16
"Bennetzen, Jeffrey L",15
"Missaoui, Ali M",15
"Anderson, Jill T",14
"Dawe, R Kelly",14
"Ferrarezi, Rhuanito Soranz",14
"Snider, John L",14
"Chee, Peng W",13
"Guo, Baozhu",13
"Jespersen, David",13
"LealBertioli, Soraya C M",13
"Wyatt, Robert",13
"Jackson, Scott A",12
"Li, Changying",12
"Branch, W D",11
"Buell, C Robin",11
"Devos, Katrien M",11
"Srinivasan, Rajagopalbabu",11
"Bag, Sudeep",10
"Brown, Nino",10
"Nambeesan, Savithri U",10
"Wang, Xuewen",10
"Khang, Chang Hyun",9
"McGregor, Cecilia",9
"LeebensMack, James H",8
"Malladi, Anish",8
"Mergoum, Mohamed",8
"Parkash, Ved",8
"Scherm, Harald",8
"Ali, Md Emran",7
"Bucksch, Alexander",7
"DiazPerez, Juan Carlos",7
"McCullough, Patrick E",7
"Yang, Li",7
"Conner, Joann A",6
"Kvitko, Brian H",6
"Mitchum, Melissa G",6
"Mohnen, Debra",6
"RandellSingleton, Taylor",6
"Urbanowicz, Breeanna R",6
"Bahri, Bochra Amina",5
"Brewer, Marin Talbot",5
"Chavez, Dario J",5
"Hand, Lavesta C",5
"Heyduk, Karolina",5
"Joseph, Shimat V",5
"Kabir, Ahmad Humayan",5
"Wilde, H Dayton",5
"van Iersel, Marc W",5
"Basinger, Nicholas T",4
"Bertioli, David J",4
"Brannen, Phillip M",4
"Chen, Jinru",4
"Dutta, Bhabesh",4
"Grey, Timothy L",4
"Harding, Scott A",4
"Nelson, David C",4
"Parrott, Wayne A",4
"Temme, Andries A",4
"Virk, Gurpreet",4
"Wang, Xiyin",4
"Wurzburger, Nina",4
"Zettlemoyer, Meredith A",4
"Zhang, Dongling",4
"Ali, M Missaoui",3
"Baxter, Lisa L",3
"Bowsher, Alan W",3
"Burke, John M",3
"Chang, ShuMei",3
"Chu, Ye",3
"Culbreath, Albert K",3
"Deom, Carl Michael",3
"Franklin, Dorcas",3
"Gent, Jonathan I",3
"Hajihassani, Abolfazl",3
"Holdo, Ricardo M",3
"Ji, Pingsheng",3
"Mason, Chase M",3
"Mondal, Saptarshi",3
"Olukosi, Oluyinka A",3
"Pattathil, Sivakumar",3
"Severns, Paul M",3
"Shay, Nicholas J",3
"Shehzad, Tariq",3
"Sintim, Henry Y",3
"Tan, Li",3
"Trapnell, Dorset W",3
University of Georgia),3
"Wallace, Jason G",3
"Zhang, Xiaoyu",3
"Zomlefer, Wendy B",3
"BarPeled, Maor",2
"Belovitch, Michael W",2
"Bentz, Philip C",2
"Bowers, John E",2
"Buck, James W",2
"Chung, Y Anny",2
"Clabo, David C",2
"Conner, Patrick J",2
"Dong, Hongxu",2
"Duffin, Paige",2
"Eure, Peter M",2
"Gangurde, Sunil S",2
"Garampalli, Rajkumar H",2
"Gladfelter, Heather J",2
"Gold, Scott E",2
"Goolsby, Eric W",2
"Hahn, Michael G",2
"Hancock, Dennis W",2
"Harkess, Alex",2
"Jacobs, Thomas B",2
"Johnson, Daniel M",2
"Jung, Yeajin",2
"Kavalappara, Saritha Raman",2
"Lamm, Kevan W",2
"Lankau, Richard A",2
"Laspisa, Daniel",2
"LeebensMack, Jim",2
"Li, Qiang",2
"LimHing, Simone",2
"McKain, Michael R",2
"Meier, Amanda R",2
"Merkle, Scott A",2
"Nelms, Brad",2
"ONeill, Malcolm A",2
"Oliver, Jonathan E",2
"Pilon, Cristiane",2
"Raimundo, Sandra Cristina",2
"Rains, Glen C",2
"Riley, David G",2
"Saha, Uttam K",2
"Schwartz, Brian M",2
"Smith, Shavannor M",2
"Stephens, Jessica D",2
"Sweigart, Andrea L",2
"Thompson, Aaron",2
"Uyi, Osariyekemwen",2
"Walcott, R R",2
"Xu, Chunming",2
"Yu, Jialin",2
"Yu, Ping",2
"Zhen, Shuyang",2
"de Souza Rodrigues, Juliana",2
