,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Paterson, Andrew H",145,65,80,23,0,0,0,0
"Ye, ZhengHua",36,36,0,0,0,0,0,0
"Li, Zenglu",60,41,19,9,0,0,0,0
"OziasAkins, Peggy",100,24,76,23,0,0,0,0
"Schmitz, Robert J",142,114,28,23,1,1,0,0
"Tsai, ChungJui",47,20,27,16,0,0,0,0
"van der Knaap, Esther",43,34,9,3,0,0,0,0
"Bennetzen, Jeffrey L",63,37,26,18,0,0,0,0
"Missaoui, Ali M",37,29,8,5,1,1,0,0
"Anderson, Jill T",47,47,0,0,0,0,0,0
"Dawe, R Kelly",51,26,25,7,0,0,0,0
"Ferrarezi, Rhuanito Soranz",43,26,17,2,0,0,0,0
"Snider, John L",104,44,60,17,0,0,0,0
"Chee, Peng W",59,14,45,20,1,1,0,0
"Guo, Baozhu",57,21,36,15,0,0,0,0
"Jespersen, David",33,18,15,14,0,0,0,0
"LealBertioli, Soraya C M",42,2,40,10,0,0,0,0
"Wyatt, Robert",16,16,0,0,0,0,0,0
"Jackson, Scott A",81,45,36,15,3,3,0,0
"Li, Changying",92,52,40,16,0,0,0,0
"Branch, W D",19,19,0,0,0,0,0,0
"Buell, C Robin",64,58,6,9,0,0,0,0
"Devos, Katrien M",41,20,21,14,0,0,0,0
"Srinivasan, Rajagopalbabu",70,24,46,12,0,0,0,0
"Bag, Sudeep",47,10,37,17,1,1,0,0
"Brown, Nino",20,7,13,12,0,0,0,0
"Nambeesan, Savithri U",27,7,20,8,1,1,0,0
"Wang, Xuewen",53,39,14,5,0,0,0,0
"Khang, Chang Hyun",16,14,2,3,0,0,0,0
"McGregor, Cecilia",32,25,7,6,1,1,0,0
"LeebensMack, James H",59,31,28,15,0,0,0,0
"Malladi, Anish",18,10,8,5,1,1,0,0
"Mergoum, Mohamed",49,38,11,3,0,0,0,0
"Parkash, Ved",21,2,19,12,0,0,0,0
"Scherm, Harald",26,5,21,10,0,0,0,0
"Ali, Md Emran",27,9,18,7,0,0,0,0
"Bucksch, Alexander",24,22,2,2,0,0,0,0
"DiazPerez, Juan Carlos",48,25,23,8,0,0,0,0
"McCullough, Patrick E",37,11,26,4,0,0,0,0
"Yang, Li",26,19,7,5,1,1,0,0
"Conner, Joann A",17,0,17,8,0,0,0,0
"Kvitko, Brian H",58,26,32,5,1,1,0,0
"Mitchum, Melissa G",36,33,3,3,1,1,0,0
"Mohnen, Debra",35,25,10,6,0,0,0,0
"RandellSingleton, Taylor",16,3,13,4,0,0,0,0
"Urbanowicz, Breeanna R",50,33,17,10,0,0,0,0
"Bahri, Bochra Amina",37,18,19,10,1,1,0,0
"Brewer, Marin Talbot",39,23,16,11,0,0,0,0
"Chavez, Dario J",20,15,5,4,3,3,0,0
"Hand, Lavesta C",30,2,28,11,0,0,0,0
"Heyduk, Karolina",20,0,20,13,0,0,0,0
"Joseph, Shimat V",79,76,3,1,0,0,0,0
"Kabir, Ahmad Humayan",13,9,4,1,0,0,0,0
"Wilde, H Dayton",13,8,5,4,2,2,0,0
"van Iersel, Marc W",52,28,24,8,0,0,0,0
"Basinger, Nicholas T",50,32,18,11,1,1,0,0
