Corresponding Authors,Pubs Num
"Borthakur, Dulal",11
"Arif, Mohammad",10
"Kantar, Michael B",10
"Christopher, David A",9
"Heyduk, Karolina",8
"Paull, Robert E",7
"Williams, Philip G",7
"Hu, John S",6
"Muir, Christopher D",6
"Tian, Miaoying",6
"Hynson, Nicole A",5
"Sherwood, Alison R",5
"Barton, Kasey E",4
"Du, ZhiYan",4
"Radovich, Theodore J K",4
"Wang, KoonHui",4
"Alvarez, Anne M",3
"Lincoln, Noa Kekuewa",3
"Owens, Daniel K",3
"Shikano, Ikkei",3
"Westerband, Andrea C",3
"Amend, Anthony S",2
"Birch, Joanne L",2
"Brock, Kelsey C",2
"Cabrera, Feresa P",2
"Cantley, Jason T",2
"Cao, Shugeng",2
"Gaoue, Orou G",2
"Guo, Yiping",2
"Li, Qing X",2
"Melzer, Michael J",2
"Muszynski, Michael G",2
"Tribble, Carrie M",2
"Truax, Kelly",2
"Yang, Jinzeng",2
