,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Borthakur, Dulal",27,27,0,0,3,3,0,0
"Arif, Mohammad",51,19,32,6,3,3,0,0
"Kantar, Michael B",101,84,17,8,3,3,0,0
"Christopher, David A",15,12,3,1,2,2,0,0
"Heyduk, Karolina",15,13,2,2,1,0,1,1
"Paull, Robert E",25,20,5,2,4,4,0,0
"Williams, Philip G",35,34,1,1,1,1,0,0
"Hu, John S",46,8,38,4,1,1,0,0
"Muir, Christopher D",18,16,2,2,3,2,1,1
"Tian, Miaoying",17,13,4,2,4,4,0,0
"Hynson, Nicole A",28,19,9,3,3,2,1,1
"Sherwood, Alison R",45,38,7,2,2,2,0,0
"Barton, Kasey E",34,26,8,2,2,2,0,0
"Du, ZhiYan",24,23,1,1,0,0,0,0
"Radovich, Theodore J K",20,11,9,4,2,2,0,0
"Wang, KoonHui",30,19,11,8,0,0,0,0
"Alvarez, Anne M",36,7,29,4,1,1,0,0
"Lincoln, Noa Kekuewa",44,37,7,3,6,6,0,0
"Owens, Daniel K",6,6,0,0,2,2,0,0
"Shikano, Ikkei",24,21,3,1,2,2,0,0
"Westerband, Andrea C",8,2,6,1,0,0,0,0
"Amend, Anthony S",35,25,10,5,3,2,1,1
"Birch, Joanne L",3,3,0,0,0,0,0,0
"Brock, Kelsey C",6,6,0,0,0,0,0,0
"Cabrera, Feresa P",7,0,7,2,0,0,0,0
"Cantley, Jason T",4,4,0,0,0,0,0,0
"Cao, Shugeng",14,14,0,0,0,0,0,0
"Gaoue, Orou G",25,25,0,0,1,1,0,0
"Guo, Yiping",4,4,0,0,0,0,0,0
"Li, Qing X",276,275,1,1,0,0,0,0
"Melzer, Michael J",54,18,36,6,1,1,0,0
"Muszynski, Michael G",8,4,4,2,2,2,0,0
"Tribble, Carrie M",10,9,1,1,0,0,0,0
"Truax, Kelly",4,4,0,0,0,0,0,0
"Yang, Jinzeng",30,30,0,0,1,1,0,0
