Corresponding Authors,Pubs Num
"Xiao, Fangming",12
"Robertson, Daniel J",10
"Hong, Zonglie",6
"Dandurand, LouiseMarie",5
"Fu, Daolin",5
"Karasev, Alexander V",5
"MoralesBriones, Diego F",5
"Chen, Jianli",4
"Caplan, Allan B",3
"Coleman, Mark D",3
"Jones, Lisa C",3
"Popova, Inna",3
"Rashed, Arash",3
"UribeConvers, Simon",3
"Adhikari, Subodh",2
"Bertoft, Eric",2
"Busby, Posy E",2
"ChikhAli, Mohamad",2
"Ingwell, Laura L",2
"Khajehyar, Razieh",2
"Mallatt, Jon",2
"Newcombe, George",2
"Sadeghi, Rohollah",2
"Tank, David C",2
"Turck, Daniel F",2
"Von Moler, Ehren Reid",2
"Wallace, John M",2
"Wenninger, Erik J",2
