,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Xiao, Fangming",36,23,13,2,7,7,0,0
"Robertson, Daniel J",27,27,0,0,1,1,0,0
"Hong, Zonglie",35,35,0,0,0,0,0,0
"Dandurand, LouiseMarie",35,15,20,5,0,0,0,0
"Fu, Daolin",9,5,4,1,1,1,0,0
"Karasev, Alexander V",77,45,32,6,2,2,0,0
"MoralesBriones, Diego F",9,1,8,2,0,0,0,0
"Chen, Jianli",7,7,0,0,2,2,0,0
"Caplan, Allan B",19,2,17,3,2,2,0,0
"Coleman, Mark D",26,26,0,0,4,4,0,0
"Jones, Lisa C",8,8,0,0,0,0,0,0
"Popova, Inna",14,8,6,2,2,2,0,0
"Rashed, Arash",26,12,14,4,1,1,0,0
"UribeConvers, Simon",6,0,6,2,0,0,0,0
"Adhikari, Subodh",14,14,0,0,0,0,0,0
"Bertoft, Eric",2,2,0,0,0,0,0,0
"Busby, Posy E",12,0,12,1,1,1,0,0
"ChikhAli, Mohamad",15,0,15,2,0,0,0,0
"Ingwell, Laura L",2,1,1,1,0,0,0,0
"Khajehyar, Razieh",3,3,0,0,0,0,0,0
"Mallatt, Jon",10,10,0,0,0,0,0,0
"Newcombe, George",33,21,12,1,2,2,0,0
"Sadeghi, Rohollah",16,11,5,3,0,0,0,0
"Tank, David C",40,24,16,3,3,3,0,0
"Turck, Daniel F",3,0,3,1,0,0,0,0
"Von Moler, Ehren Reid",2,2,0,0,0,0,0,0
"Wallace, John M",3,3,0,0,0,0,0,0
"Wenninger, Erik J",26,7,19,3,5,5,0,0
