Corresponding Authors,Pubs Num
"Ming, Ray",60
Govindjee,31
"Long, Stephen P",29
"Ort, Donald R",28
"Govindjee, Govindjee",26
"Ainsworth, Elizabeth A",22
"Stein, Hans H",22
"Diers, Brian W",16
"Bernacchi, Carl J",15
"Hartman, Glen L",15
"Leakey, Andrew D B",15
"Jamann, Tiffany M",14
"Kromdijk, Johannes",13
"Chen, LiQing",12
"Hudson, Matthew E",11
"Korban, Schuyler S",9
"Sacks, Erik J",9
"Riechers, Dean E",8
"Studer, Anthony J",8
"Tranel, Patrick J",8
"Brown, Patrick J",7
"Lee, DoKyoung",7
"Lipka, Alexander E",7
"MolanoFlores, Brenda",7
"Below, Frederick E",6
"Guan, Kaiyu",6
"Kolb, Frederic L",6
"Levin, Geoffrey A",6
"MarshallColon, Amy",6
"Ngumbi, Esther Ndumi",6
"Walker, David R",6
"Zhao, Youfu",6
"de Mejia, Elvira Gonzalez",6
"Juvik, John A",5
"Margenot, Andrew J",5
"McGrath, Justin M",5
"Mideros, Santiago X",5
"Villamil, Maria B",5
"Vodkin, Lila O",5
"Arbelaez, Juan David",4
"Bradley, Carl A",4
"Burgess, Steven J",4
"Dalling, James W",4
"Heath, Katy D",4
"Karakehian, Jason M",4
"Kent, Angela D",4
"Lee, Kyoung",4
"Mumm, Rita H",4
"Paige, Ken N",4
"Williams, Martin M",4
"BatstoneDoyle, Rebecca T",3
"Bohn, Martin O",3
"Calla, Bernarda",3
"Cavanagh, Amanda P",3
"Christian, Natalie",3
"DeLucia, Evan H",3
"Domier, Leslie L",3
"Hager, Aaron G",3
"Hanzawa, Yoshie",3
"Huber, Steven C",3
"Martin, Nicolas F",3
"Pearse, Ian S",3
"Punyasena, Surangi W",3
"Rutkoski, Jessica E",3
"Scholes, Daniel R",3
"Shukla, Diwakar",3
"Wang, Yu",3
"Zhou, Xuguo",3
"Branham, Bruce E",2
"Cadwallader, Keith R",2
"CaetanoAnolles, Gustavo",2
"Dawson, Jeffrey O",2
"Downie, Stephen R",2
"Engeseth, Nicki J",2
"Hind, Sarah R",2
"Jaikumar, Nikhil S",2
"Johnson, Sara A",2
"Lawson, Tracy",2
"Leonelli, Lauriebeth",2
"Li, Shuai",2
"Mandrini, German",2
"Marks, Rose A",2
"Matthews, Megan L",2
"Nunes, Vander Luis Novais",2
"Radwan, Osman",2
"Rayburn, A Lane",2
"Riggins, Chance W",2
"SalesseSmith, Coralie E",2
"Schroeder, Nathan E",2
"Spencer, Joseph L",2
"Sweedler, Jonathan V",2
"Taft, John B",2
"Voigt, Thomas B",2
"Wortman, Sam E",2
"Zhang, Ziliang",2
"Zinnen, Jack",2
