,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Ming, Ray",148,139,9,7,0,0,0,0
Govindjee,62,61,1,1,0,0,0,0
"Long, Stephen P",127,47,80,25,2,2,0,0
"Ort, Donald R",75,35,40,18,0,0,0,0
"Govindjee, Govindjee",59,59,0,0,0,0,0,0
"Ainsworth, Elizabeth A",89,26,63,21,0,0,0,0
"Stein, Hans H",382,382,0,0,2,2,0,0
"Diers, Brian W",57,30,27,11,0,0,0,0
"Bernacchi, Carl J",119,36,83,21,0,0,0,0
"Hartman, Glen L",85,57,28,10,0,0,0,0
"Leakey, Andrew D B",71,27,44,21,4,3,1,3
"Jamann, Tiffany M",35,13,22,7,4,4,0,0
"Kromdijk, Johannes",40,15,25,14,0,0,0,0
"Chen, LiQing",38,30,8,2,0,0,0,0
"Hudson, Matthew E",51,35,16,12,2,1,1,3
"Korban, Schuyler S",38,31,7,4,0,0,0,0
"Sacks, Erik J",64,32,32,11,5,4,1,1
"Riechers, Dean E",42,29,13,5,3,3,0,0
"Studer, Anthony J",23,17,6,5,6,6,0,0
"Tranel, Patrick J",88,69,19,8,6,6,0,0
"Brown, Patrick J",44,17,27,21,0,0,0,0
"Lee, DoKyoung",66,38,28,14,1,1,0,0
"Lipka, Alexander E",88,44,44,22,3,2,1,1
"MolanoFlores, Brenda",38,32,6,2,0,0,0,0
"Below, Frederick E",22,20,2,4,0,0,0,0
"Guan, Kaiyu",163,113,50,11,12,11,1,1
"Kolb, Frederic L",20,11,9,6,0,0,0,0
"Levin, Geoffrey A",11,11,0,0,0,0,0,0
"MarshallColon, Amy",33,21,12,15,0,0,0,0
"Ngumbi, Esther Ndumi",13,9,4,2,1,1,0,0
"Walker, David R",13,9,4,4,0,0,0,0
"Zhao, Youfu",38,33,5,4,2,2,0,0
"de Mejia, Elvira Gonzalez",157,153,4,1,0,0,0,0
"Juvik, John A",43,28,15,12,0,0,0,0
"Margenot, Andrew J",130,110,20,12,5,4,1,1
"McGrath, Justin M",20,5,15,12,0,0,0,0
"Mideros, Santiago X",22,5,17,9,2,2,0,0
"Villamil, Maria B",58,39,19,11,4,4,0,0
"Vodkin, Lila O",9,9,0,0,0,0,0,0
"Arbelaez, Juan David",11,7,4,2,1,1,0,0
"Bradley, Carl A",53,39,14,9,0,0,0,0
"Burgess, Steven J",26,13,13,13,1,1,0,0
"Dalling, James W",66,58,8,2,4,4,0,0
"Heath, Katy D",39,24,15,6,3,3,0,0
"Karakehian, Jason M",7,7,0,0,0,0,0,0
"Kent, Angela D",54,40,14,10,3,3,0,0
"Lee, Kyoung",28,13,15,4,0,0,0,0
"Mumm, Rita H",15,9,6,2,1,1,0,0
"Paige, Ken N",14,8,6,3,0,0,0,0
"Williams, Martin M",42,24,18,10,0,0,0,0
"BatstoneDoyle, Rebecca T",8,4,4,2,0,0,0,0
"Bohn, Martin O",37,16,21,8,4,4,0,0
"Calla, Bernarda",17,14,3,3,0,0,0,0
"Cavanagh, Amanda P",15,1,14,11,0,0,0,0
"Christian, Natalie",6,3,3,2,1,1,0,0
"DeLucia, Evan H",83,30,53,15,0,0,0,0
"Domier, Leslie L",43,27,16,8,0,0,0,0
"Hager, Aaron G",31,8,23,8,0,0,0,0
"Hanzawa, Yoshie",9,9,0,0,0,0,0,0
"Huber, Steven C",19,10,9,6,0,0,0,0
"Martin, Nicolas F",32,21,11,7,2,2,0,0
"Pearse, Ian S",18,17,1,1,0,0,0,0
"Punyasena, Surangi W",26,26,0,0,2,2,0,0
"Rutkoski, Jessica E",17,9,8,7,2,2,0,0
"Scholes, Daniel R",7,2,5,3,0,0,0,0
"Shukla, Diwakar",129,118,11,5,3,2,1,3
"Wang, Yu",96,72,24,15,0,0,0,0
"Zhou, Xuguo",40,40,0,0,0,0,0,0
"Branham, Bruce E",6,2,4,4,1,1,0,0
"Cadwallader, Keith R",44,43,1,1,0,0,0,0
"CaetanoAnolles, Gustavo",79,76,3,2,0,0,0,0
"Dawson, Jeffrey O",13,11,2,2,0,0,0,0
"Downie, Stephen R",22,22,0,0,0,0,0,0
"Engeseth, Nicki J",21,17,4,4,0,0,0,0
"Hind, Sarah R",12,10,2,2,2,0,2,1
"Jaikumar, Nikhil S",4,2,2,4,0,0,0,0
"Johnson, Sara A",6,1,5,1,0,0,0,0
"Lawson, Tracy",15,1,14,11,1,0,1,3
"Leonelli, Lauriebeth",8,3,5,8,1,1,0,0
"Li, Shuai",16,3,13,10,0,0,0,0
"Mandrini, German",5,0,5,1,0,0,0,0
"Marks, Rose A",5,5,0,0,0,0,0,0
"Matthews, Megan L",17,9,8,6,0,0,0,0
"Nunes, Vander Luis Novais",3,3,0,0,0,0,0,0
"Radwan, Osman",8,5,3,5,0,0,0,0
"Rayburn, A Lane",10,1,9,4,0,0,0,0
"Riggins, Chance W",25,7,18,5,3,3,0,0
"SalesseSmith, Coralie E",12,2,10,5,0,0,0,0
"Schroeder, Nathan E",28,24,4,4,3,1,2,1
"Spencer, Joseph L",14,13,1,1,3,3,0,0
"Sweedler, Jonathan V",204,201,3,3,6,6,0,0
"Taft, John B",3,3,0,0,0,0,0,0
"Voigt, Thomas B",25,3,22,10,0,0,0,0
"Wortman, Sam E",14,11,3,3,0,0,0,0
"Zhang, Ziliang",17,15,2,1,0,0,0,0
"Zinnen, Jack",15,15,0,0,0,0,0,0
