Corresponding Authors,Pubs Num
"bberstedt, Thomas Lu",30
"Peters, Reuben J",26
"Singh, Asheesh K",26
"Wendel, Jonathan F",24
"Singh, Arti",23
"Ganapathysubramanian, Baskar",21
"Bassham, Diane C",20
"Wang, Kan",20
"Bhattacharyya, Madan K",18
"Schnable, Patrick S",18
"Nikolau, Basil J",17
"Yu, Jianming",17
"Zabotina, Olga A",17
"Sarkar, Soumik",14
"Yin, Yanhai",14
"Arora, Rajeev",12
"Howell, Stephen H",12
"Kelley, Dior R",12
"Walley, Justin W",12
"Whitham, Steven A",12
"Yang, Bing",12
"Archontoulis, Sotirios V",11
"MacIntosh, Gustavo C",11
"Baum, Thomas J",10
"Fernandez, Maria G Salas",10
"Cannon, Steven B",9
"LawrenceDill, Carolyn J",9
"Lee, Young Jin",9
"Fei, Shuizhang",8
"Li, Xianran",8
"Coates, Brad S",7
"Hannapel, David J",7
"Miller, W Allen",7
"Peterson, Thomas",7
"Wise, Roger P",7
"YandeauNelson, Marna D",7
"Hu, Guiping",6
"Lee, Michael",6
"Becraft, Philip W",5
"Gassmann, Aaron J",5
"Graham, Michelle A",5
"Mueller, Daren S",5
"Myers, Alan M",5
"Spalding, Martin H",5
"Andorf, Carson M",4
"Aung, Kyaw",4
"Cianzio, Silvia R",4
"Clark, Lynn G",4
"Edwards, Jode",4
"Farrar, Donald R",4
"Grover, Corrinne E",4
"Hufford, Matthew B",4
"Robertson, Alison E",4
"St Clair, Coy R",4
"Wang, Lizhi",4
"Anderson, Jared L",3
"Anderson, Sarah N",3
"Cademartiri, Ludovico",3
"Currey, Christopher Jon",3
"Do Canto, Javier",3
"Dunbar, Mike W",3
"Frei, Ursula Karoline",3
"Goggi, A Susana",3
"Gong, Lei",3
"Guo, Hongqing",3
"Heaton, Emily A",3
"Khaki, Saeed",3
"Li, Ling",3
"Lindsey, Alex J",3
"McCulloch, John B",3
"Miguez, Fernando E",3
"Munkvold, Gary P",3
"Nagel, Raimund",3
"ONeal, Matthew E",3
"Olafsson, Sigurdur",3
"Qiu, Yumou",3
"Sahoo, Dipak Kumar",3
"Sen, Taner Z",3
"Strable, Josh",3
"Suza, Walter P",3
"Thornburg, Robert W",3
"Vollbrecht, Erik",3
"Wang, Wei",3
"Wilsey, Brian J",3
"Wolt, Jeffrey D",3
"Wurtele, Eve Syrkin",3
"Attigala, Lakshmi",2
"Bartel, Cynthia A",2
"Clifton, Eric H",2
"Coats, Joel R",2
"Dong, Liang",2
"Doumayrou, Juliette",2
"Elango, Dinakaran",2
"Elli, Elvis F",2
"Elmore, Manjula G",2
"Hall, Steven J",2
"Harrington, Thomas C",2
"Hofmockel, Kirsten S",2
"Hu, Songlin",2
"Huang, Yanhua",2
"Jubery, Talukder Z",2
"Klahs, Phillip C",2
"Laurent, Anabelle",2
"Lee, Keunsub",2
"Moore, Kenneth J",2
"ORourke, Jamie A",2
"Ort, Donald R",2
"Owen, Micheal D K",2
"Pace, Jordon",2
"Puntel, Laila A",2
"Rodermel, Steven R",2
"Rogers, Haldre S",2
"Sajid, Saiara Samira",2
"Shrestha, Ram B",2
"Smith, Emily A",2
"Soley, Nathan M",2
"Tang, Lie",2
"Zhou, Mian",2
