,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"bberstedt, Thomas Lu",137,67,70,25,7,6,1,2
"Peters, Reuben J",95,76,19,4,3,3,0,0
"Singh, Asheesh K",126,27,99,17,5,1,4,3
"Wendel, Jonathan F",129,43,86,4,3,3,0,0
"Singh, Arti",112,25,87,13,4,2,2,3
"Ganapathysubramanian, Baskar",222,124,98,22,17,11,6,7
"Bassham, Diane C",74,46,28,10,3,0,3,3
"Wang, Kan",66,24,42,14,2,1,1,1
"Bhattacharyya, Madan K",29,17,12,7,0,0,0,0
"Schnable, Patrick S",122,48,74,27,15,12,3,6
"Nikolau, Basil J",57,23,34,12,3,2,1,1
"Yu, Jianming",64,17,47,17,4,3,1,2
"Zabotina, Olga A",43,30,13,10,4,3,1,1
"Sarkar, Soumik",188,107,81,14,15,9,6,3
"Yin, Yanhai",48,18,30,17,3,2,1,1
"Arora, Rajeev",30,30,0,0,0,0,0,0
"Howell, Stephen H",18,9,9,8,1,0,1,1
"Kelley, Dior R",23,13,10,2,6,4,2,2
"Walley, Justin W",53,28,25,13,5,1,4,5
"Whitham, Steven A",62,35,27,22,3,3,0,0
"Yang, Bing",51,25,26,19,4,2,2,3
"Archontoulis, Sotirios V",149,89,60,19,7,5,2,4
"MacIntosh, Gustavo C",30,14,16,12,2,1,1,1
"Baum, Thomas J",54,49,5,2,1,1,0,0
"Fernandez, Maria G Salas",21,5,16,14,0,0,0,0
"Cannon, Steven B",51,43,8,8,1,1,0,0
"LawrenceDill, Carolyn J",38,13,25,19,0,0,0,0
"Lee, Young Jin",55,49,6,9,0,0,0,0
"Fei, Shuizhang",21,6,15,10,1,1,0,0
"Li, Xianran",51,15,36,8,0,0,0,0
"Coates, Brad S",71,67,4,3,0,0,0,0
"Hannapel, David J",12,12,0,0,1,1,0,0
"Miller, W Allen",32,28,4,4,0,0,0,0
"Peterson, Thomas",16,12,4,2,1,1,0,0
"Wise, Roger P",26,21,5,4,0,0,0,0
"YandeauNelson, Marna D",21,5,16,3,0,0,0,0
"Hu, Guiping",87,59,28,10,2,0,2,4
"Lee, Michael",19,9,10,3,0,0,0,0
"Becraft, Philip W",10,8,2,4,1,1,0,0
"Gassmann, Aaron J",42,15,27,9,5,5,0,0
"Graham, Michelle A",32,8,24,10,0,0,0,0
"Mueller, Daren S",100,73,27,12,5,5,0,0
"Myers, Alan M",12,11,1,1,4,3,1,1
"Spalding, Martin H",24,13,11,9,3,2,1,1
"Andorf, Carson M",43,9,34,13,0,0,0,0
"Aung, Kyaw",6,5,1,1,1,1,0,0
"Cianzio, Silvia R",15,7,8,5,0,0,0,0
"Clark, Lynn G",71,57,14,5,1,1,0,0
"Edwards, Jode",18,5,13,8,0,0,0,0
"Farrar, Donald R",19,19,0,0,0,0,0,0
"Grover, Corrinne E",83,8,75,5,0,0,0,0
"Hufford, Matthew B",59,44,15,11,1,1,0,0
"Robertson, Alison E",60,46,14,9,3,3,0,0
"St Clair, Coy R",8,0,8,6,0,0,0,0
"Wang, Lizhi",52,19,33,12,2,0,2,4
"Anderson, Jared L",185,174,11,1,3,3,0,0
"Anderson, Sarah N",13,11,2,3,0,0,0,0
"Cademartiri, Ludovico",30,20,10,2,1,1,0,0
"Currey, Christopher Jon",16,15,1,2,0,0,0,0
"Do Canto, Javier",5,0,5,2,0,0,0,0
"Dunbar, Mike W",9,0,9,5,0,0,0,0
"Frei, Ursula Karoline",40,3,37,6,0,0,0,0
"Goggi, A Susana",10,5,5,3,0,0,0,0
"Gong, Lei",16,0,16,2,0,0,0,0
"Guo, Hongqing",20,1,19,7,1,1,0,0
"Heaton, Emily A",47,29,18,11,1,1,0,0
"Khaki, Saeed",13,1,12,3,0,0,0,0
"Li, Ling",23,4,19,16,0,0,0,0
"Lindsey, Alex J",8,8,0,0,0,0,0,0
"McCulloch, John B",7,2,5,4,0,0,0,0
"Miguez, Fernando E",60,25,35,16,1,1,0,0
"Munkvold, Gary P",20,19,1,2,2,2,0,0
"Nagel, Raimund",20,7,13,1,1,1,0,0
"ONeal, Matthew E",38,26,12,12,0,0,0,0
"Olafsson, Sigurdur",14,14,0,0,0,0,0,0
"Qiu, Yumou",26,23,3,3,0,0,0,0
"Sahoo, Dipak Kumar",122,118,4,3,0,0,0,0
"Sen, Taner Z",29,8,21,5,0,0,0,0
"Strable, Josh",6,3,3,1,0,0,0,0
"Suza, Walter P",12,8,4,5,0,0,0,0
"Thornburg, Robert W",5,4,1,1,0,0,0,0
"Vollbrecht, Erik",15,10,5,6,0,0,0,0
"Wang, Wei",28,23,5,3,0,0,0,0
"Wilsey, Brian J",38,29,9,4,0,0,0,0
"Wolt, Jeffrey D",7,5,2,3,0,0,0,0
"Wurtele, Eve Syrkin",38,23,15,8,2,2,0,0
"Attigala, Lakshmi",11,0,11,7,0,0,0,0
"Bartel, Cynthia A",8,1,7,3,0,0,0,0
"Clifton, Eric H",5,0,5,5,0,0,0,0
"Coats, Joel R",39,37,2,3,2,2,0,0
"Dong, Liang",95,77,18,9,11,9,2,2
"Doumayrou, Juliette",3,1,2,1,0,0,0,0
"Elango, Dinakaran",27,17,10,7,0,0,0,0
"Elli, Elvis F",8,0,8,6,0,0,0,0
"Elmore, Manjula G",6,1,5,3,0,0,0,0
"Hall, Steven J",65,62,3,4,1,1,0,0
"Harrington, Thomas C",34,34,0,0,0,0,0,0
"Hofmockel, Kirsten S",91,85,6,2,1,1,0,0
"Hu, Songlin",6,0,6,3,0,0,0,0
"Huang, Yanhua",11,9,2,1,0,0,0,0
"Jubery, Talukder Z",25,2,23,14,0,0,0,0
"Klahs, Phillip C",5,0,5,2,0,0,0,0
"Laurent, Anabelle",6,1,5,4,0,0,0,0
"Lee, Keunsub",34,2,32,4,1,0,1,2
"Moore, Kenneth J",36,14,22,8,1,1,0,0
"ORourke, Jamie A",14,1,13,7,0,0,0,0
"Ort, Donald R",10,5,5,1,0,0,0,0
"Owen, Micheal D K",45,43,2,3,0,0,0,0
"Pace, Jordon",4,0,4,3,0,0,0,0
"Puntel, Laila A",15,1,14,7,0,0,0,0
"Rodermel, Steven R",2,1,1,1,0,0,0,0
"Rogers, Haldre S",35,33,2,1,2,2,0,0
"Sajid, Saiara Samira",5,0,5,3,0,0,0,0
"Shrestha, Ram B",10,1,9,5,0,0,0,0
"Smith, Emily A",105,85,20,5,2,2,0,0
"Soley, Nathan M",4,2,2,1,0,0,0,0
"Tang, Lie",31,19,12,9,3,1,2,3
"Zhou, Mian",5,0,5,3,0,0,0,0
