Corresponding Authors,Pubs Num
"bberstedt, Thomas L",29
"Peters, Reuben J",26
"Singh, Asheesh K",23
"Wendel, Jonathan F",23
"Singh, Arti",22
"Bassham, Diane C",20
"Ganapathysubramanian, Baskar",20
"Wang, Kan",20
"Bhattacharyya, Madan K",18
"Nikolau, Basil J",17
"Schnable, Patrick S",17
"Yu, Jianming",16
"Zabotina, Olga A",16
"Ort, Donald R",14
"Yin, Yanhai",14
"Sarkar, Soumik",13
"Howell, Stephen H",12
"Kelley, Dior R",12
"Li, Xianran",12
"Walley, Justin W",12
"Whitham, Steven A",12
"Yang, Bing",12
"Arora, Rajeev",11
"MacIntosh, Gustavo C",11
"Baum, Thomas J",10
"Cannon, Steven B",10
"Coates, Brad S",10
"LawrenceAeDill, Carolyn J",9
"Lee, Young Jin",9
"Fernandez, Maria G Salas",8
"Wise, Roger P",8
"Fei, Shuizhang",7
"Graham, Michelle A",7
"Hannapel, David J",7
"Miller, W Allen",7
"Peterson, Thomas",7
"YandeauNelson, Marna D",7
"Archontoulis, Sotirios V",6
"Becraft, Philip W",5
"Gassmann, Aaron J",5
"Hu, Guiping",5
"Lee, Michael",5
"Spalding, Martin H",5
"Andorf, Carson M",4
"Aung, Kyaw",4
"Clark, Lynn G",4
"Farrar, Donald R",4
"Grover, Corrinne E",4
"Hufford, Matthew B",4
"Mueller, Daren S",4
"Robertson, Alison E",4
"SalasAeFernandez, Maria G",4
"Sen, Taner Z",4
"St Clair, Coy R",4
"Wang, Lizhi",4
"Anderson, Jared L",3
"Anderson, Sarah N",3
"Cademartiri, Ludovico",3
"Cianzio, Silvia R",3
"Currey, Christopher Jon",3
"Do Canto, Javier",3
"Dunbar, Mike W",3
"Frei, Ursula Karoline",3
"Gong, Lei",3
"Guo, Hongqing",3
"Heaton, Emily A",3
"Khaki, Saeed",3
"Li, Ling",3
"Lindsey, Alex J",3
"McCulloch, John B",3
"Munkvold, Gary P",3
"Myers, Alan M",3
"Nagel, Raimund",3
"OAoNeal, Matthew E",3
"Qiu, Yumou",3
"Sahoo, Dipak Kumar",3
"Suza, Walter P",3
"Thornburg, Robert W",3
"Vollbrecht, Erik",3
"Wang, Wei",3
"Wilsey, Brian J",3
"Wolt, Jeffrey D",3
"Wurtele, Eve Syrkin",3
"Abel, Craig A",2
"Attigala, Lakshmi",2
"Bartel, Cynthia A",2
"Clifton, Eric H",2
"Coats, Joel R",2
"Dong, Liang",2
"Doumayrou, Juliette",2
"Edwards, Jode",2
"Elango, Dinakaran",2
"Elmore, Manjula G",2
"Gardner, Candice",2
"Goggi, A Susana",2
"Hall, Steven J",2
"Harrington, Thomas C",2
"Hofmockel, Kirsten S",2
"Hu, Songlin",2
"Huang, Yanhua",2
"Jubery, Talukder Z",2
"Klahs, Phillip C",2
"Lauter, Nick",2
"Lee, Keunsub",2
"Miguez, Fernando E",2
"Moore, Kenneth J",2
"Olafsson, Sigurdur",2
"Owen, Micheal D K",2
"Pace, Jordon",2
"Puntel, Laila A",2
"Rodermel, Steven R",2
"Rogers, Haldre S",2
"Sajid, Saiara Samira",2
"Scott, M Paul",2
"Shrestha, Ram B",2
"Smith, Emily A",2
"Soley, Nathan M",2
"Strable, Josh",2
"Tang, Lie",2
"Zhou, Mian",2
"Abbott, Karen C",1
"Aboobucker, Siddique I",1
"Alexander, Liza E",1
"Almeida, Vin=cius Costa",1
"Ansarifar, Javad",1
"AragnRaygoza, Alejandro",1
"Avornyo, V K",1
"Bao, Yan",1
"Beattie, Gwyn A",1
"Beck, Josh R",1
"Bhunia, Rupam Kumar",1
"Boerman, Nicholas A",1
"Bogdanove, Adam J",1
"Bonning, Bryony C",1
"Bredow, Melissa",1
"Brewer, Matthew T",1
"Bulyaba, Rosemary",1
"Cademartiri, Rebecca",1
"Campbell, Jacqueline D",1
"Cannon, Ethalinda KS",1
"Chatt, Elizabeth C",1
"Chowdhury, Ratul",1
"Claussen, Reid",1
"Coffman, Stephanie M",1
"Conover, Justin L",1
"Cook, Tanner M",1
"Davis, Nicholas G",1
"DavisVogel, Courtney",1
"Deitloff, Jennifer",1
"Delate, Kathleen",1
"Dennison, Tesia S",1
"Dietrich, Charles R",1
"Dodor, Daniel",1
"Elli, Elvis F",1
"Elmore, James M",1
"Fei, ShuiAezhang",1
"Fisher, Kelsey E",1
"Foster, Tyler L",1
"Freitas, Cleverson D T",1
"Fricke, Evan C",1
"Friedberg, Iddo",1
"Fu, Benzhong",1
"Geppert, TC",1
"Gleason, Mark L",1
