,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"bberstedt, Thomas Lu",0,0,0,0,7,6,1,2
"Peters, Reuben J",0,0,0,0,3,3,0,0
"Singh, Asheesh K",1,0,1,2,5,1,4,3
"Wendel, Jonathan F",0,0,0,0,3,3,0,0
"Singh, Arti",0,0,0,0,4,2,2,3
"Ganapathysubramanian, Baskar",0,0,0,0,17,11,6,7
"Bassham, Diane C",0,0,0,0,3,0,3,3
"Wang, Kan",0,0,0,0,2,1,1,1
"Bhattacharyya, Madan K",0,0,0,0,0,0,0,0
"Schnable, Patrick S",1,0,1,2,15,12,3,6
"Nikolau, Basil J",0,0,0,0,3,2,1,1
"Yu, Jianming",2,0,2,1,4,3,1,2
"Zabotina, Olga A",0,0,0,0,4,3,1,1
"Sarkar, Soumik",0,0,0,0,15,9,6,3
"Yin, Yanhai",0,0,0,0,3,2,1,1
"Howell, Stephen H",0,0,0,0,1,0,1,1
"Kelley, Dior R",0,0,0,0,6,4,2,2
"Walley, Justin W",0,0,0,0,5,1,4,5
"Whitham, Steven A",0,0,0,0,3,3,0,0
"Yang, Bing",0,0,0,0,4,2,2,3
"Archontoulis, Sotirios V",0,0,0,0,6,4,2,4
"Arora, Rajeev",0,0,0,0,0,0,0,0
"MacIntosh, Gustavo C",0,0,0,0,2,1,1,1
"Baum, Thomas J",0,0,0,0,1,1,0,0
"Fernandez, Maria G Salas",0,0,0,0,0,0,0,0
"Cannon, Steven B",14,14,0,0,1,1,0,0
"LawrenceDill, Carolyn J",1,0,1,2,0,0,0,0
"Lee, Young Jin",0,0,0,0,0,0,0,0
"Fei, Shuizhang",0,0,0,0,1,1,0,0
"Li, Xianran",3,1,2,1,0,0,0,0
"Coates, Brad S",31,31,0,0,0,0,0,0
"Hannapel, David J",0,0,0,0,1,1,0,0
"Miller, W Allen",0,0,0,0,0,0,0,0
"Peterson, Thomas",0,0,0,0,1,1,0,0
"Wise, Roger P",0,0,0,0,0,0,0,0
"YandeauNelson, Marna D",0,0,0,0,0,0,0,0
