Corresponding Authors,Pubs Num
"Jagadish, S V Krishna",46
"Ciampitti, Ignacio Antonio",41
"Bai, Guihua",39
"Poland, Jesse A",33
"Prasad, P V Vara",31
"Jugulam, Mithila",20
"Zhang, Guorong",16
"Akhunov, Eduard D",14
"Tesso, Tesfaye T",13
"Upadhyaya, Hari Deo",13
"Durrett, Timothy P",12
"Lollato, Romulo P",12
"Obour, Augustine K",12
"Friebe, Bernd",10
"Holman, Johnathon D",10
"Liu, Sanzhen",10
"Gill, Bikram S",8
"Park, Sunghun",8
"Perumal, Ramasamy",8
"Smith, Charles Michael",8
"Valent, Barbara",8
"Kumar, Vipan",7
"Morris, Geoffrey P",7
"Schrick, Kathrin",7
"Zhang, Wei",7
"Braun, Ross C",6
"Jha, Uday Chand",6
"Kang, Manjit S",6
"Welti, Ruth",6
"Little, Christopher R",5
"Crain, Jared",4
"Djanaguiraman, Maduraimuthu",4
"Fernandez, Javier A",4
"Fu, Jianming",4
"Mishra, Divya",4
"Stewart, Zachary P",4
"White, Frank F",4
"Aguilar, Jonathan",3
"Assefa, Yared",3
"Channa, B Rajashekar",3
"Garrett, Karen A",3
"Gurumurthy, S",3
"Hay, Marshall M",3
"Hong, Mu",3
"Lacasa, Josefina",3
"Li, Yonghui",3
"Narayanan, Sruthi",3
"Nouri, Shahideh",3
"Pliakoni, Eleni D",3
"Qiu, Fan",3
"Ramos, Oscar F",3
"Rupp, Jessica L Shoup",3
"Schapaugh, William T",3
"Serba, Desalegn D",3
"Suleria, Hafiz Ansar Rasul",3
"Sunoj, V S John",3
"Tiwari, Manish",3
"Veenstra, Rachel L",3
"Xu, Yunfeng",3
"Adee, Eric",2
"Boyer, Cheryl R",2
"Carcedo, Ana J P",2
"Chen, MingShun",2
"Cloyd, Raymond A",2
"Cook, David E",2
"Cruz, C D",2
"Demarco, Paula Andrea",2
"Dille, Johanna Anita",2
"Donnelly, Ryan C",2
"Fritz, Allan",2
"Jankowiak, Ryszard",2
"Jha, Prakash Kumar",2
"Kouame, Koffi BadouJeremie",2
"Lim, Wansang",2
"Marziotte, Lucia",2
"Min, Doohong",2
"Nippert, Jesse B",2
"OKeefe, Kimberly",2
"Olson, Bradley J S C",2
"Palmero, Francisco",2
"Poudel, Ravin",2
"Rajashekar, Channa B",2
"Rife, Trevor W",2
"Sarto, Marcos V M",2
"Schwalbert, Raissa",2
"Sharda, Vaishali",2
"Shiva, Sunitha",2
"Siliveru, Kaliramesh",2
"Stack, James P",2
"Stamm, Michael",2
"Tian, Bin",2
"Tiwari, Vijay K",2
"Toomajian, Christopher",2
"Trick, Harold N",2
"Veach, Allison M",2
"Wang, Xu",2
"Wong, Brett J",2
"Wu, Qingyu",2
"Xu, XiaoTing",2
