,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Jagadish, S V Krishna",114,68,46,23,0,0,0,0
"Ciampitti, Ignacio Antonio",255,116,139,31,5,5,0,0
"Bai, Guihua",159,87,72,28,1,1,0,0
"Poland, Jesse A",174,102,72,16,7,5,2,3
"Prasad, P V Vara",361,132,229,45,0,0,0,0
"Jugulam, Mithila",89,58,31,12,1,1,0,0
"Zhang, Guorong",54,10,44,19,1,1,0,0
"Akhunov, Eduard D",63,34,29,18,7,6,1,2
"Tesso, Tesfaye T",45,17,28,15,3,3,0,0
"Upadhyaya, Hari Deo",34,26,8,6,0,0,0,0
"Durrett, Timothy P",45,33,12,9,3,2,1,3
"Lollato, Romulo P",58,35,23,18,1,1,0,0
"Obour, Augustine K",73,11,62,12,1,1,0,0
"Friebe, Bernd",45,16,29,10,1,0,1,2
"Holman, Johnathon D",57,4,53,8,0,0,0,0
"Liu, Sanzhen",63,25,38,24,5,2,3,3
"Gill, Bikram S",63,15,48,14,1,0,1,1
"Park, Sunghun",35,19,16,9,4,2,2,2
"Perumal, Ramasamy",89,30,59,22,0,0,0,0
"Smith, Charles Michael",21,12,9,7,0,0,0,0
"Valent, Barbara",48,27,21,13,2,2,0,0
"Kumar, Vipan",40,26,14,10,1,1,0,0
"Morris, Geoffrey P",49,30,19,20,1,0,1,3
"Schrick, Kathrin",13,11,2,3,2,1,1,3
"Zhang, Wei",29,22,7,4,1,1,0,0
"Braun, Ross C",29,28,1,1,0,0,0,0
"Jha, Uday Chand",32,4,28,3,0,0,0,0
"Kang, Manjit S",23,23,0,0,0,0,0,0
"Welti, Ruth",39,20,19,7,2,1,1,3
"Little, Christopher R",30,13,17,8,0,0,0,0
"Crain, Jared",23,3,20,4,1,1,0,0
"Djanaguiraman, Maduraimuthu",33,3,30,10,0,0,0,0
"Fernandez, Javier A",21,0,21,9,0,0,0,0
"Fu, Jianming",8,2,6,5,0,0,0,0
"Mishra, Divya",11,6,5,2,0,0,0,0
"Stewart, Zachary P",21,4,17,9,0,0,0,0
"White, Frank F",33,6,27,13,1,0,1,2
"Aguilar, Jonathan",22,19,3,3,0,0,0,0
"Assefa, Yared",67,14,53,12,0,0,0,0
"Channa, B Rajashekar",5,5,0,0,0,0,0,0
"Garrett, Karen A",16,14,2,1,0,0,0,0
"Gurumurthy, S",7,3,4,2,0,0,0,0
"Hay, Marshall M",6,2,4,2,0,0,0,0
"Hong, Mu",5,4,1,1,0,0,0,0
"Lacasa, Josefina",14,0,14,4,0,0,0,0
"Li, Yonghui",180,155,25,9,4,4,0,0
"Narayanan, Sruthi",9,3,6,2,0,0,0,0
"Nouri, Shahideh",9,9,0,0,1,1,0,0
"Pliakoni, Eleni D",28,25,3,1,2,2,0,0
"Qiu, Fan",8,4,4,1,0,0,0,0
"Ramos, Oscar F",3,0,3,1,0,0,0,0
"Rupp, Jessica L Shoup",11,4,7,8,1,1,0,0
"Schapaugh, William T",23,20,3,4,2,2,0,0
"Serba, Desalegn D",17,7,10,6,0,0,0,0
"Suleria, Hafiz Ansar Rasul",18,18,0,0,0,0,0,0
"Sunoj, V S John",5,1,4,4,0,0,0,0
"Tiwari, Manish",13,0,13,4,0,0,0,0
"Veenstra, Rachel L",4,0,4,2,0,0,0,0
"Xu, Yunfeng",10,1,9,7,0,0,0,0
"Adee, Eric",10,3,7,7,0,0,0,0
"Boyer, Cheryl R",14,14,0,0,2,2,0,0
"Carcedo, Ana J P",20,0,20,11,0,0,0,0
"Chen, MingShun",58,33,25,9,0,0,0,0
"Cloyd, Raymond A",24,24,0,0,2,2,0,0
"Cook, David E",22,11,11,4,3,2,1,1
"Cruz, C D",6,5,1,2,0,0,0,0
"Demarco, Paula Andrea",6,0,6,6,0,0,0,0
"Dille, Johanna Anita",41,20,21,10,1,1,0,0
"Donnelly, Ryan C",5,1,4,1,0,0,0,0
"Fritz, Allan",27,1,26,15,0,0,0,0
"Jankowiak, Ryszard",37,37,0,0,1,1,0,0
"Jha, Prakash Kumar",49,17,32,3,0,0,0,0
"Kouame, Koffi BadouJeremie",6,6,0,0,0,0,0,0
"Lim, Wansang",2,2,0,0,0,0,0,0
"Marziotte, Lucia",4,0,4,5,0,0,0,0
"Min, Doohong",47,26,21,15,1,1,0,0
"Nippert, Jesse B",75,54,21,7,11,11,0,0
"OKeefe, Kimberly",7,0,7,1,0,0,0,0
"Olson, Bradley J S C",14,13,1,3,3,3,0,0
"Palmero, Francisco",6,1,5,4,0,0,0,0
"Poudel, Ravin",3,1,2,1,0,0,0,0
"Rajashekar, Channa B",4,1,3,1,1,1,0,0
"Rife, Trevor W",11,2,9,7,1,1,0,0
"Sarto, Marcos V M",4,3,1,1,0,0,0,0
"Schwalbert, Raissa",21,5,16,8,0,0,0,0
"Sharda, Vaishali",18,15,3,4,2,2,0,0
"Shiva, Sunitha",11,2,9,5,0,0,0,0
"Siliveru, Kaliramesh",76,55,21,5,3,3,0,0
"Stack, James P",32,26,6,3,4,4,0,0
"Stamm, Michael",11,4,7,8,0,0,0,0
"Tian, Bin",20,2,18,13,0,0,0,0
"Tiwari, Vijay K",32,3,29,9,0,0,0,0
"Toomajian, Christopher",9,7,2,3,1,1,0,0
"Trick, Harold N",46,10,36,22,0,0,0,0
"Veach, Allison M",12,11,1,1,0,0,0,0
"Wang, Xu",27,11,16,7,0,0,0,0
"Wong, Brett J",2,2,0,0,0,0,0,0
"Wu, Qingyu",10,1,9,7,0,0,0,0
"Xu, XiaoTing",4,0,4,5,0,0,0,0
