Corresponding Authors,Pubs Num
"Yuan, Ling",34
"Baskin, Carol C",22
"Kawashima, Tomokazu",13
"Nagy, Peter D",13
"Pattanaik, Sitakanta",13
"Van Sanford, David Anthony",13
"Kachroo, Pradeep",12
"Smalle, Jan A",12
"Zhou, Xuguo",10
"Chappell, Joe",9
"Thorson, Jon S",9
"Dinkins, Randy D",8
"Kachroo, Aardra",8
"Perry, Sharyn E",8
"Shaaban, Khaled A",8
"Hunt, Arthur G",7
"Yang, Shengming",7
"Zhu, Hongyan",7
"DeBolt, Seth",6
"Bradley, Carl A",5
"Downie, Allan Bruce",5
"Lopez, Carlos Marcelino Rodriguez",5
"McNear, David H",5
"Egli, Dennis B",4
"Geneve, Robert L",4
"Haramoto, Erin R",4
"Hildebrand, David",4
"Rieske, Lynne K",4
"Salmeron, Montserrat",4
"Yang, Jian",4
"Archbold, Douglas D",3
"Brzozowski, Lauren J",3
"Moe, Luke A",3
"Shaddox, Travis W",3
"Wang, Hongxia",3
"Abbott, Albert G",2
"Barrett, Michael",2
"Bennett, Rick",2
"Krupa, James J",2
"Liu, Yongliang",2
"Marks, Rose A",2
"McGrail, Rebecca K",2
"MihaylovaKroumova, Antoaneta B",2
"Ohnishi, Yukinosuke",2
"Pan, Huipeng",2
"Potter, Daniel A",2
"Saleem, Muhammad",2
"Schendel, Rachel R",2
"Slaughter, Lindsey C",2
"Tang, Guiliang",2
"Unrine, Jason M",2
"Van Lanen, Steven G",2
"Zou, Congming",2
