,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Yuan, Ling",93,39,54,6,0,0,0,0
"Baskin, Carol C",195,194,1,1,0,0,0,0
"Kawashima, Tomokazu",28,19,9,7,1,1,0,0
"Nagy, Peter D",57,57,0,0,2,2,0,0
"Pattanaik, Sitakanta",35,0,35,4,0,0,0,0
"Van Sanford, David Anthony",46,37,9,5,0,0,0,0
"Kachroo, Pradeep",38,6,32,4,1,1,0,0
"Smalle, Jan A",24,24,0,0,3,3,0,0
"Zhou, Xuguo",174,144,30,4,1,1,0,0
"Chappell, Joe",21,21,0,0,1,1,0,0
"Thorson, Jon S",92,34,58,2,0,0,0,0
"Dinkins, Randy D",24,9,15,7,0,0,0,0
"Kachroo, Aardra",33,6,27,2,0,0,0,0
"Perry, Sharyn E",12,9,3,5,0,0,0,0
"Shaaban, Khaled A",46,6,40,2,0,0,0,0
"Hunt, Arthur G",28,18,10,7,0,0,0,0
"Yang, Shengming",16,9,7,2,0,0,0,0
"Zhu, Hongyan",18,7,11,2,1,1,0,0
"DeBolt, Seth",44,36,8,6,0,0,0,0
"Bradley, Carl A",87,84,3,1,0,0,0,0
"Downie, Allan Bruce",25,20,5,6,1,1,0,0
"Lopez, Carlos Marcelino Rodriguez",17,15,2,3,0,0,0,0
"McNear, David H",25,16,9,4,2,2,0,0
"Egli, Dennis B",10,10,0,0,0,0,0,0
"Geneve, Robert L",20,16,4,6,0,0,0,0
"Haramoto, Erin R",19,16,3,2,2,2,0,0
"Hildebrand, David",23,16,7,6,0,0,0,0
"Rieske, Lynne K",36,35,1,1,0,0,0,0
"Salmeron, Montserrat",19,14,5,3,0,0,0,0
"Yang, Jian",53,53,0,0,1,1,0,0
"Archbold, Douglas D",12,11,1,1,1,1,0,0
"Brzozowski, Lauren J",3,1,2,1,0,0,0,0
"Moe, Luke A",22,19,3,3,1,1,0,0
"Shaddox, Travis W",5,5,0,0,0,0,0,0
"Wang, Hongxia",15,2,13,3,0,0,0,0
"Abbott, Albert G",15,12,3,1,2,2,0,0
"Barrett, Michael",13,10,3,2,0,0,0,0
"Bennett, Rick",3,3,0,0,1,1,0,0
"Krupa, James J",12,12,0,0,0,0,0,0
"Liu, Yongliang",19,2,17,4,0,0,0,0
"Marks, Rose A",7,7,0,0,0,0,0,0
"McGrail, Rebecca K",9,3,6,3,0,0,0,0
"MihaylovaKroumova, Antoaneta B",3,3,0,0,0,0,0,0
"Ohnishi, Yukinosuke",2,0,2,1,0,0,0,0
"Pan, Huipeng",27,2,25,2,0,0,0,0
"Potter, Daniel A",22,22,0,0,0,0,0,0
"Saleem, Muhammad",15,13,2,2,0,0,0,0
"Schendel, Rachel R",17,16,1,1,1,1,0,0
"Slaughter, Lindsey C",6,4,2,1,0,0,0,0
"Tang, Guiliang",3,3,0,0,0,0,0,0
"Unrine, Jason M",88,83,5,3,1,1,0,0
"Van Lanen, Steven G",41,17,24,2,0,0,0,0
"Zou, Congming",5,5,0,0,0,0,0,0
