Corresponding Authors,Pubs Num
"Moroney, James V",15
"Bricker, Terry M",8
"Dassanayake, Maheshi",8
"Wilson, Blake E",7
"Smith, Aaron P",6
"Baisakh, Niranjan",5
"Famoso, Adam N",5
"Vinyard, David J",5
"Lagomarsino, Laura P",4
"Larkin, John C",4
"SantamariaAguilar, Daniel",4
"Ham, Jong Hyun",3
"Kato, Naohiro",3
"Kimbeng, Collins A",3
"Miller, Donnie K",3
"Pontif, Michael",3
"Tubana, Brenda S",3
"Crossa, Jose",2
"FritscheNeto, Roberto",2
"Glassmire, Andrea E",2
"Hollier, Clayton A",2
"Lynn, Austin M",2
"Oard, James H",2
"Rietl, Anthony J",2
"SantiagoRosario, Luis Y",2
"South, Paul F",2
"Villordon, Arthur Q",2
"Wang, Tuo",2
"Webster, Eric P",2
