,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Moroney, James V",26,22,4,2,0,0,0,0
"Bricker, Terry M",19,18,1,1,1,1,0,0
"Dassanayake, Maheshi",47,34,13,7,6,3,3,2
"Wilson, Blake E",29,25,4,4,4,4,0,0
"Smith, Aaron P",16,10,6,4,3,1,2,2
"Baisakh, Niranjan",15,3,12,7,1,1,0,0
"Famoso, Adam N",18,9,9,7,2,2,0,0
"Vinyard, David J",22,18,4,3,3,3,0,0
"Lagomarsino, Laura P",24,19,5,1,3,3,0,0
"Larkin, John C",15,8,7,3,3,0,3,3
"SantamariaAguilar, Daniel",18,13,5,1,0,0,0,0
"Ham, Jong Hyun",9,7,2,2,2,2,0,0
"Kato, Naohiro",19,15,4,3,1,0,1,1
"Kimbeng, Collins A",20,10,10,4,0,0,0,0
"Miller, Donnie K",11,11,0,0,2,2,0,0
"Pontif, Michael",7,0,7,3,0,0,0,0
"Tubana, Brenda S",13,12,1,1,2,2,0,0
"Crossa, Jose",14,6,8,2,0,0,0,0
"FritscheNeto, Roberto",16,5,11,3,0,0,0,0
"Glassmire, Andrea E",4,4,0,0,0,0,0,0
"Hollier, Clayton A",7,7,0,0,0,0,0,0
"Lynn, Austin M",4,4,0,0,0,0,0,0
"Oard, James H",5,2,3,3,0,0,0,0
"Rietl, Anthony J",3,3,0,0,0,0,0,0
"SantiagoRosario, Luis Y",13,12,1,1,0,0,0,0
"South, Paul F",6,6,0,0,1,1,0,0
"Villordon, Arthur Q",8,6,2,2,0,0,0,0
"Wang, Tuo",31,31,0,0,6,6,0,0
"Webster, Eric P",6,3,3,2,0,0,0,0
