Corresponding Authors,Pubs Num
"Nguyen, Henry T",58
"Mittler, Ron",43
"Meyers, Blake C",33
"Stacey, Gary",33
"Birchler, James A",26
"Fritschi, Felix B",22
"Yang, Bing",19
"Braun, David M",17
"Krishnan, Hari B",15
"Bilyeu, Kristin D",13
"Lall, Namrita",13
"Zhang, Shuqun",13
"Bradley, Kevin W",12
"Slotkin, R Keith",11
"Angelovici, Ruthie",10
"Oliver, Melvin J",10
"Thelen, Jay J",10
"Ferrieri, Richard A",9
"Mitchum, Melissa Goellner",9
"Chen, Pengyin",8
"Gassmann, Walter",8
"Koo, Abraham J",8
"Scaboo, Andrew M",8
"Walker, John C",8
"Guo, Ya",7
"MendozaCozatl, David G",7
"Washburn, Jacob D",7
"Zhang, Zhanyuan J",7
"Zhou, Jianfeng",7
"Heese, Antje",6
"McSteen, Paula",6
"Patharkar, Osric Rahul",6
"Pires, J Chris",6
"Gillman, Jason D",5
"Schenck, Craig A",5
"Best, Norman B",4
"FlintGarcia, Sherry A",4
"Hibbard, Bruce E",4
"Joshi, Trupti",4
"Matthes, Michaela S",4
"McClure, Bruce",4
"Shelby, Kent S",4
"Stacey, Minviluz G",4
"Sumner, Lloyd W",4
"Vuong, Tri D",4
"Xu, Dong",4
"Appel, Heidi M",3
"Bish, Mandy D",3
"Emerich, David W",3
"Fritsche, Kevin L",3
"Huynh, Man P",3
"Kim, KiSeung",3
"Lin, Feng",3
"Mabry, Makenzie E",3
"Park, SoYon",3
"Peck, Scott C",3
"Pereira, Adriano E",3
"Schoelz, James E",3
"Su, Jianbin",3
"Thomas, Shawn K",3
"Whalen, Derek M",3
"Xiong, Xi",3
"Zandalinas, Sara I",3
"Amezquita, Erik J",2
"Barros, Jaime",2
"Beamer, Lesa J",2
"Beissinger, Timothy M",2
"Boyer, John S",2
"Chen, Mingjie",2
"Cho, SungHwan",2
"Cocroft, Reginald B",2
"Das, Debatosh",2
"Dowd, Tyler G",2
"Hong, Jong Chan",2
"Kallenbach, Robert L",2
"Kazic, Toni",2
"Kremer, Robert J",2
"Lei, Zhentian",2
"Libault, Marc",2
"Liscum, Emmanuel",2
"Motavalli, Peter P",2
"Revord, Ronald S",2
"Shannon, J Grover",2
"Sharp, Robert E",2
"Shergill, Lovreet S",2
"Swain, Durga Madhab",2
"Voothuluru, Priyamvada",2
"Ye, Heng",2
