,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Nguyen, Henry T",210,72,138,17,7,7,0,0
"Mittler, Ron",112,48,64,12,9,4,5,5
"Meyers, Blake C",123,108,15,10,0,0,0,0
"Stacey, Gary",117,61,56,22,8,6,2,3
"Birchler, James A",124,112,12,8,5,4,1,1
"Fritschi, Felix B",130,94,36,19,8,5,3,6
"Yang, Bing",63,54,9,10,7,6,1,1
"Braun, David M",38,31,7,9,3,3,0,0
"Krishnan, Hari B",68,56,12,7,0,0,0,0
"Bilyeu, Kristin D",41,18,23,15,0,0,0,0
"Lall, Namrita",94,93,1,2,0,0,0,0
"Zhang, Shuqun",34,28,6,2,1,1,0,0
"Bradley, Kevin W",53,27,26,5,1,1,0,0
"Slotkin, R Keith",29,26,3,1,0,0,0,0
"Angelovici, Ruthie",43,26,17,12,3,2,1,1
"Oliver, Melvin J",40,26,14,13,2,1,1,4
"Thelen, Jay J",58,35,23,8,4,2,2,4
"Ferrieri, Richard A",24,18,6,4,1,1,0,0
"Mitchum, Melissa Goellner",54,27,27,13,2,2,0,0
"Chen, Pengyin",93,39,54,10,0,0,0,0
"Gassmann, Walter",35,15,20,16,5,4,1,1
"Koo, Abraham J",24,15,9,10,3,2,1,2
"Scaboo, Andrew M",40,4,36,15,0,0,0,0
"Walker, John C",15,4,11,5,0,0,0,0
"Guo, Ya",51,51,0,0,0,0,0,0
"MendozaCozatl, David G",33,21,12,12,0,0,0,0
"Washburn, Jacob D",31,11,20,14,1,1,0,0
"Zhang, Zhanyuan J",25,17,8,12,0,0,0,0
"Zhou, Jianfeng",48,26,22,10,4,4,0,0
"Heese, Antje",14,11,3,1,3,1,2,1
"McSteen, Paula",21,7,14,6,2,2,0,0
"Patharkar, Osric Rahul",8,1,7,2,0,0,0,0
"Pires, J Chris",76,48,28,11,0,0,0,0
"Gillman, Jason D",34,7,27,16,0,0,0,0
"Schenck, Craig A",14,8,6,6,1,1,0,0
"Best, Norman B",20,13,7,3,1,1,0,0
"FlintGarcia, Sherry A",50,36,14,8,0,0,0,0
"Hibbard, Bruce E",66,30,36,8,0,0,0,0
"Joshi, Trupti",145,56,89,30,6,3,3,5
"Matthes, Michaela S",11,1,10,5,0,0,0,0
"McClure, Bruce",12,12,0,0,0,0,0,0
"Shelby, Kent S",31,8,23,4,0,0,0,0
"Stacey, Minviluz G",13,1,12,10,0,0,0,0
"Sumner, Lloyd W",57,22,35,7,3,3,0,0
"Vuong, Tri D",62,1,61,11,0,0,0,0
"Xu, Dong",292,220,72,18,5,3,2,3
"Appel, Heidi M",15,6,9,5,1,0,1,1
"Bish, Mandy D",30,6,24,5,2,2,0,0
"Emerich, David W",6,4,2,1,1,1,0,0
"Fritsche, Kevin L",34,34,0,0,0,0,0,0
"Huynh, Man P",24,0,24,5,1,1,0,0
"Kim, KiSeung",3,2,1,2,0,0,0,0
"Lin, Feng",9,5,4,4,0,0,0,0
"Mabry, Makenzie E",17,3,14,7,0,0,0,0
"Park, SoYon",10,4,6,6,0,0,0,0
"Peck, Scott C",26,15,11,10,7,2,5,8
"Pereira, Adriano E",25,4,21,5,0,0,0,0
"Schoelz, James E",21,20,1,3,1,1,0,0
"Su, Jianbin",16,1,15,5,0,0,0,0
"Thomas, Shawn K",8,2,6,7,0,0,0,0
"Whalen, Derek M",3,0,3,3,0,0,0,0
"Xiong, Xi",19,15,4,1,2,2,0,0
"Zandalinas, Sara I",47,0,47,6,0,0,0,0
"Amezquita, Erik J",4,1,3,3,0,0,0,0
"Barros, Jaime",6,2,4,4,0,0,0,0
"Beamer, Lesa J",28,23,5,1,1,1,0,0
"Beissinger, Timothy M",17,8,9,6,0,0,0,0
"Boyer, John S",4,3,1,2,1,1,0,0
"Chen, Mingjie",7,2,5,1,0,0,0,0
"Cho, SungHwan",13,2,11,6,0,0,0,0
"Cocroft, Reginald B",19,12,7,2,0,0,0,0
"Das, Debatosh",8,8,0,0,0,0,0,0
"Dowd, Tyler G",3,0,3,3,0,0,0,0
"Hong, Jong Chan",21,17,4,3,0,0,0,0
"Kallenbach, Robert L",52,51,1,1,2,2,0,0
"Kazic, Toni",10,10,0,0,0,0,0,0
"Kremer, Robert J",26,22,4,1,0,0,0,0
"Lei, Zhentian",44,10,34,8,0,0,0,0
"Libault, Marc",17,9,8,13,3,2,1,2
"Liscum, Emmanuel",9,4,5,2,0,0,0,0
"Motavalli, Peter P",20,20,0,0,0,0,0,0
"Revord, Ronald S",15,15,0,0,2,2,0,0
"Shannon, J Grover",64,3,61,13,0,0,0,0
"Sharp, Robert E",23,8,15,7,2,1,1,4
"Shergill, Lovreet S",10,0,10,3,0,0,0,0
"Swain, Durga Madhab",2,2,0,0,0,0,0,0
"Voothuluru, Priyamvada",5,0,5,5,1,1,0,0
"Ye, Heng",36,1,35,6,0,0,0,0
