,"Zhang, YongJiang","Hao, Jianjun J","AzevedoSchmidt, Lauren","Dibble, Alison C","Drummond, Francis A","Tasnim, Rafa","MacKenzie, Caitlin McDonough","Wason, Jay W","Meireles, Jose Eduardo","de los Reyes, Benildo G"
"Zhang, YongJiang",0.0,1.0,0.0,0.0,4.0,8.0,0.0,3.0,1.0,0.0
"Hao, Jianjun J",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AzevedoSchmidt, Lauren",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dibble, Alison C",0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
"Drummond, Francis A",4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
"Tasnim, Rafa",8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"MacKenzie, Caitlin McDonough",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
"Wason, Jay W",3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Meireles, Jose Eduardo",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"de los Reyes, Benildo G",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
