,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Zhang, YongJiang",63,47,16,5,0,0,0,0
"Hao, Jianjun J",86,85,1,1,0,0,0,0
"AzevedoSchmidt, Lauren",5,5,0,0,0,0,0,0
"Dibble, Alison C",9,4,5,1,0,0,0,0
"Drummond, Francis A",71,62,9,3,0,0,0,0
"MacKenzie, Caitlin McDonough",17,16,1,1,1,0,1,1
"Meireles, Jose Eduardo",10,9,1,1,2,1,1,1
"Tasnim, Rafa",8,0,8,2,0,0,0,0
"Wason, Jay W",25,21,4,2,0,0,0,0
"de los Reyes, Benildo G",8,8,0,0,0,0,0,0
