Corresponding Authors,Pubs Num
"Qi, Yiping",60
"Liu, Zhongchi",27
"Xiao, Shunyuan",13
"Chang, Caren",12
"Zhu, Jianhua",12
"Rawat, Nidhi",11
"Feijo, Jose A",8
"Murphy, Angus S",8
"Singh, Shardendu K",8
"Labandeira, Conrad C",7
"Farcuh, Macarena",6
"Tiwari, Vijay K",6
"Culver, James N",5
"Micallef, Shirley A",5
"Peer, Wendy Ann",5
"Coleman, Gary D",4
"Simon, Anne E",4
"Swett, Cassandra L",4
"Sze, Heven",4
"Dively, Galen P",3
"Hu, Mengjun",3
"Leslie, Alan W",3
"Michard, Erwan",3
"Pan, Changtian",3
"Yu, Liangli",3
"Yurchak, Veronica L",3
"Avanesyan, Alina",2
"Delwiche, Charles F",2
"Everts, Kathryne L",2
"Fritz, Megan L",2
"Gruner, Daniel S",2
"Kim, Joonyup",2
"Mateu, Martina Gonzalez",2
"Snell, William J",2
"Stewart, Alyssa B",2
"Swenson, Nathan G",2
"Tayengwa, Reuben",2
"Venugopal, P Dilip",2
"Wolniak, Stephen M",2
