,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Qi, Yiping",123,89,34,7,15,13,2,3
"Liu, Zhongchi",77,77,0,0,6,5,1,1
"Xiao, Shunyuan",46,42,4,3,8,7,1,1
"Chang, Caren",34,26,8,4,5,3,2,2
"Zhu, Jianhua",21,21,0,0,0,0,0,0
"Rawat, Nidhi",36,11,25,5,5,4,1,2
"Feijo, Jose A",41,28,13,2,4,3,1,1
"Murphy, Angus S",31,17,14,6,4,3,1,1
"Singh, Shardendu K",8,8,0,0,0,0,0,0
"Labandeira, Conrad C",86,86,0,0,0,0,0,0
"Farcuh, Macarena",16,15,1,2,3,3,0,0
"Tiwari, Vijay K",39,15,24,4,4,3,1,2
"Culver, James N",27,24,3,1,6,6,0,0
"Micallef, Shirley A",72,67,5,1,5,5,0,0
"Peer, Wendy Ann",17,6,11,3,3,2,1,1
"Coleman, Gary D",17,6,11,6,8,8,0,0
"Simon, Anne E",42,42,0,0,8,8,0,0
"Swett, Cassandra L",11,10,1,1,0,0,0,0
"Sze, Heven",7,7,0,0,0,0,0,0
"Dively, Galen P",40,30,10,4,0,0,0,0
"Hu, Mengjun",30,28,2,2,2,2,0,0
"Leslie, Alan W",20,14,6,2,0,0,0,0
"Michard, Erwan",19,6,13,2,0,0,0,0
"Pan, Changtian",23,1,22,2,0,0,0,0
"Yu, Liangli",133,133,0,0,0,0,0,0
"Yurchak, Veronica L",6,0,6,3,0,0,0,0
"Avanesyan, Alina",10,10,0,0,0,0,0,0
"Delwiche, Charles F",31,26,5,2,2,2,0,0
"Everts, Kathryne L",13,8,5,1,1,1,0,0
"Fritz, Megan L",20,20,0,0,6,6,0,0
"Gruner, Daniel S",40,40,0,0,2,2,0,0
"Kim, Joonyup",4,1,3,1,0,0,0,0
"Mateu, Martina Gonzalez",2,2,0,0,0,0,0,0
"Snell, William J",12,12,0,0,0,0,0,0
"Stewart, Alyssa B",6,6,0,0,0,0,0,0
"Swenson, Nathan G",75,75,0,0,7,7,0,0
"Tayengwa, Reuben",9,4,5,2,1,1,0,0
"Venugopal, P Dilip",13,7,6,1,0,0,0,0
"Wolniak, Stephen M",4,3,1,1,0,0,0,0
