Corresponding Authors,Pubs Num
"Barker, Allen V",25
"Dhankher, Om Parkash",21
"Hashemi, Masoud",18
"Ashraf, Mohammad Arif",15
"Xing, Baoshan",15
"Pirbalouti, Abdollah Ghasemi",12
"Bartlett, Madelaine Elisabeth",11
"Cheung, Alice Y",11
"Rui, Yukui",10
"Vierling, Elizabeth",10
"Caicedo, Ana L",9
"Ma, LiJun",9
"Adler, Lynn S",8
"Baskin, Tobias I",7
"Hazen, Samuel P",7
"Yadav, Arpita",6
"Ebdon, J Scott",5
"Facette, Michelle R",5
"Shetty, Kalidas",5
"Walker, Elsbeth L",5
"Wick, Robert L",5
"McClements, David Julian",4
"Wang, Dong",4
"Aguirre, Luis A",3
"Barnett, Jacob R",3
"Goodell, Barry",3
"Jung, Geunhwa",3
"Randhir, Timothy O",3
"Sibeko, Lindiwe",3
"Stinson, Kristina A",3
"Buonaiuto, D M",2
"Ghantous, Katherine M",2
"He, Lili",2
"Hepler, Peter K",2
"Keiser, Ashley D",2
"Kim, Minsoo",2
"Mafu, Sibongile",2
"Nan, Qiong",2
"PalmerYoung, Evan C",2
"Patterson, Erin L",2
"Pinero, Jaime C",2
"Rashidzade, Maryam",2
"Schneider, Sallie S",2
"Soares, Andre",2
"Tjiurutue, Muvari Connie",2
"Uppala, Leela Saisree",2
"Wu, HenMing",2
"Xiao, Hang",2
