,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Barker, Allen V",36,15,21,3,0,0,0,0
"Dhankher, Om Parkash",105,77,28,6,2,2,0,0
"Hashemi, Masoud",84,52,32,6,3,3,0,0
"Ashraf, Mohammad Arif",25,19,6,4,0,0,0,0
"Xing, Baoshan",753,677,76,9,0,0,0,0
"Pirbalouti, Abdollah Ghasemi",22,20,2,1,0,0,0,0
"Bartlett, Madelaine Elisabeth",33,27,6,1,5,5,0,0
"Cheung, Alice Y",42,16,26,4,4,4,0,0
"Rui, Yukui",27,5,22,2,0,0,0,0
"Vierling, Elizabeth",32,24,8,2,4,4,0,0
"Caicedo, Ana L",40,34,6,4,1,1,0,0
"Ma, LiJun",46,41,5,4,0,0,0,0
"Adler, Lynn S",74,51,23,3,6,6,0,0
"Baskin, Tobias I",24,23,1,1,2,2,0,0
"Hazen, Samuel P",20,17,3,2,3,3,0,0
"Yadav, Arpita",6,5,1,1,0,0,0,0
"Ebdon, J Scott",12,12,0,0,0,0,0,0
"Facette, Michelle R",9,4,5,2,2,2,0,0
"Shetty, Kalidas",12,12,0,0,0,0,0,0
"Walker, Elsbeth L",9,9,0,0,3,3,0,0
"Wick, Robert L",16,11,5,2,0,0,0,0
"McClements, David Julian",1176,1084,92,3,5,5,0,0
"Wang, Dong",50,47,3,4,1,1,0,0
"Aguirre, Luis A",6,1,5,1,0,0,0,0
"Barnett, Jacob R",4,1,3,2,0,0,0,0
"Goodell, Barry",29,29,0,0,2,2,0,0
"Jung, Geunhwa",26,21,5,7,0,0,0,0
"Randhir, Timothy O",70,70,0,0,2,2,0,0
"Sibeko, Lindiwe",29,29,0,0,1,1,0,0
"Stinson, Kristina A",23,23,0,0,1,1,0,0
"Buonaiuto, D M",7,7,0,0,0,0,0,0
"Ghantous, Katherine M",4,4,0,0,0,0,0,0
"He, Lili",137,99,38,5,5,5,0,0
"Hepler, Peter K",9,8,1,1,0,0,0,0
"Keiser, Ashley D",13,10,3,1,4,4,0,0
"Kim, Minsoo",9,0,9,3,0,0,0,0
"Mafu, Sibongile",7,6,1,1,2,2,0,0
"Nan, Qiong",4,1,3,2,0,0,0,0
"PalmerYoung, Evan C",21,5,16,2,0,0,0,0
"Patterson, Erin L",6,0,6,1,0,0,0,0
"Pinero, Jaime C",28,28,0,0,0,0,0,0
"Rashidzade, Maryam",4,0,4,4,0,0,0,0
"Schneider, Sallie S",39,39,0,0,0,0,0,0
"Soares, Andre",2,1,1,1,0,0,0,0
"Tjiurutue, Muvari Connie",4,1,3,2,0,0,0,0
"Uppala, Leela Saisree",6,6,0,0,0,0,0,0
"Wu, HenMing",24,0,24,2,0,0,0,0
"Xiao, Hang",424,336,88,3,9,9,0,0
