Corresponding Authors,Pubs Num
"Sharkey, Thomas D",38
"Kelly, James D",29
"Brandizzi, Federica",28
"Song, Guoqing",25
"Buell, Carol Robin",24
"Benning, Christoph",22
"He, Sheng Yang",21
"Shiu, ShinHan",20
"Chitwood, Daniel H",18
"Edger, Patrick P",18
"Jiang, Jiming",18
"Kerfeld, Cheryl A",18
"Runkle, Erik S",18
"Day, Brad",17
"Last, Robert L",17
"Walker, Berkley James",17
"Howe, Gregg A",16
"Kramer, David M",16
"VanBuren, Robert",16
"Hu, Jianping",15
"Rouached, Hatem",15
"Walker, and Berkley J",15
"Wang, Dechun",15
"Cichy, Karen A",14
"Douches, David S",14
"Hamberger, Bjorn R",14
"Grumet, Rebecca",13
"Montgomery, Beronda L",13
"Lopez, Roberto G",12
"Sundin, George W",12
"Grotewold, Erich",11
"Mostofa, Mohammad Golam",10
"Takahashi, Hideki",10
"Einhorn, Todd C",9
"Hausbeck, Mary K",9
"Lundquist, Peter Knut",9
"Chilvers, Martin I",8
"DellaPenna, Dean",8
"Fryday, Alan M",8
"Han, KyungHwan",8
"Marks, Rose A",8
"Merewitz, Emily",8
"Farre, Eva M",7
"Jiang, Ning",7
"Olson, Eric L",7
"Osteryoung, Katherine W",7
"Sabbatini, Paolo",7
"ShacharHill, Yair",7
"HoyosVillegas, Valerio",6
"Iezzoni, Amy F",6
"Kerwin, Rachel E",6
"Miles, Timothy David",6
"Niederhuth, Chad E",6
"Patterson, Eric L",6
"Raju, Sunil Kumar Kenchanmane",6
"Sprague, Christy L",6
"Thomashow, Michael F",6
"de los Campos, Gustavo",6
"Ding, ShiYou",5
"Ducat, Daniel C",5
"Friesen, Maren L",5
"Hancock, James F",5
"HoffmannBenning, Susanne",5
"Hollender, Courtney A",5
"Hsu, Polly Yingshan",5
"Saha, Debalina",5
"Trail, Frances",5
"Bao, Yan",4
"Bonito, Gregory",4
"Haus, Miranda J",4
"Kravchenko, Alexandra N",4
"Lindell, Catherine A",4
"Lowry, David B",4
"Nair, Muraleedharan G",4
"Ohlrogge, John B",4
"Pan, Vincent S",4
"Quintanilla, Marisol",4
"Rhee, Seung Yon",4
"Skirycz, Aleksandra",4
"Wang, Peipei",4
"Wani, Shabir H",4
"Warner, Ryan M",4
"Zettlemoyer, Meredith A",4
"van Nocker, Steve",4
"Chaudhari, Sushila",3
"Conner, Jeffrey K",3
"Devkota, Pratima",3
"Gilbert, Kadeem J",3
"Graham, Kelsey K",3
"LopezCruz, Marco A",3
"Santiago, James P",3
"Szendrei, Zsofia",3
"Vermaas, Josh V",3
"Aung, Kyaw",2
"Barry, Cornelius S",2
"Benucci, Gian Maria Niccolo",2
"Bird, George W",2
"BriscoMcCann, Elizabeth I",2
"Brock, Jordan R",2
"Brudvig, Lars A",2
"Cheng, Yu Ti",2
"Childs, Kevin L",2
"Christie, Kyle",2
"DelBem, LuizEduardo",2
"EspinozaCorral, Roberto",2
"Fisher, Nicholas",2
"Glassmire, Andrea E",2
"Harlan, Blair R",2
"Hauri, Kayleigh C",2
"Hodge, David B",2
"Hoh, Donghee",2
"Holste, Ellen K",2
"Im, Jong Hee",2
"IzadiDarbandi, Ali",2
"Jiang, Yanjuan",2
"Josephs, Emily B",2
"Kaiser, Natalie R",2
"Keegstra, Kenneth",2
"Kitavi, Mercy",2
"Ko, Dae Kwan",2
"Lau, Jennifer A",2
"Leisner, Courtney P",2
"Li, Zhaojian",2
"Lin, Feng",2
"Liu, Jun",2
"LoPresti, Eric F",2
"Loescher, Wayne",2
"Lucas, Maik",2
"Ma, Wei",2
"McGrath, J Mitchell",2
"MedinaMeza, Ilce G",2
"Moore, Bethany M",2
"Munch, Elizabeth",2
"Nadakuduti, Satya Swathi",2
"Nejadhashemi, A Pouyan",2
"Oakley, Christopher G",2
"Pham, Kasey K",2
"Pollard, Mike",2
"Qi, ZhaoMing",2
"Rea, Anne C",2
"Reinhold, Dawn",2
"Richardson, Lynn GL",2
"Scharnagl, Klara",2
"Schilmiller, Anthony L",2
"Schmiege, Stephanie C",2
"Schnell, Danny J",2
"Schwarz, Eliezer M",2
"Shade, Ashley",2
"Singh, Maninder P",2
"Smercina, Darian N",2
"Smith, Marielle N",2
"Soltani, Ali",2
"Stata, Matt",2
"Steinke, Kurt",2
"Thelen, Kurt D",2
"Turley, Nash E",2
"VanWallendael, Acer",2
"Weber, Marjorie Gail",2
"Wetzel, William C",2
"Wilkerson, Curtis Gene",2
"Willbur, Jaime F",2
"Willick, Ian R",2
"Wilson, Julianna K",2
"Wood, T J",2
"Wu, Felicia",2
"Ying, Sheng",2
"Yoshida, Yamato",2
"Zarka, Kelly A",2
"Zhao, Yi",2
