,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Sharkey, Thomas D",95,51,44,21,2,2,0,0
"Kelly, James D",68,33,35,11,2,2,0,0
"Brandizzi, Federica",94,50,44,25,8,7,1,1
"Song, Guoqing",37,30,7,11,0,0,0,0
"Buell, Carol Robin",124,50,74,23,8,4,4,5
"Benning, Christoph",64,38,26,13,8,8,0,0
"He, Sheng Yang",46,24,22,11,0,0,0,0
"Shiu, ShinHan",66,32,34,19,0,0,0,0
"Chitwood, Daniel H",50,30,20,16,3,0,3,3
"Edger, Patrick P",98,61,37,18,7,3,4,5
"Jiang, Jiming",75,48,27,12,3,2,1,2
"Kerfeld, Cheryl A",134,100,34,9,8,7,1,1
"Runkle, Erik S",49,43,6,2,2,2,0,0
"Day, Brad",46,34,12,6,0,0,0,0
"Last, Robert L",51,27,24,12,5,1,4,3
"Walker, Berkley James",4,4,0,0,0,0,0,0
"Howe, Gregg A",39,21,18,11,2,2,0,0
"Kramer, David M",83,39,44,20,4,4,0,0
"VanBuren, Robert",63,21,42,22,4,3,1,1
"Hu, Jianping",46,35,11,8,1,1,0,0
"Rouached, Hatem",40,32,8,5,2,1,1,1
"Walker, and Berkley J",50,24,26,17,3,3,0,0
"Wang, Dechun",59,38,21,6,0,0,0,0
"Cichy, Karen A",89,62,27,7,1,0,1,2
"Douches, David S",85,43,42,15,7,7,0,0
"Hamberger, Bjorn R",35,19,16,12,2,1,1,1
"Grumet, Rebecca",33,28,5,7,4,4,0,0
"Montgomery, Beronda L",53,41,12,8,3,2,1,1
"Lopez, Roberto G",33,25,8,4,3,3,0,0
"Sundin, George W",82,77,5,6,5,5,0,0
"Grotewold, Erich",56,47,9,12,8,7,1,2
"Mostofa, Mohammad Golam",25,19,6,1,0,0,0,0
"Takahashi, Hideki",24,24,0,0,1,1,0,0
"Einhorn, Todd C",16,15,1,1,1,1,0,0
"Hausbeck, Mary K",64,46,18,8,2,2,0,0
"Lundquist, Peter Knut",29,13,16,10,4,4,0,0
"Chilvers, Martin I",154,105,49,20,2,2,0,0
"DellaPenna, Dean",20,9,11,4,1,0,1,1
"Fryday, Alan M",27,26,1,2,0,0,0,0
"Han, KyungHwan",20,10,10,1,0,0,0,0
"Marks, Rose A",16,7,9,3,0,0,0,0
"Merewitz, Emily",25,24,1,1,2,2,0,0
"Farre, Eva M",19,5,14,8,2,1,1,1
"Jiang, Ning",33,19,14,10,1,0,1,1
