Corresponding Authors,Pubs Num
"Anderson, James A",34
"Bernardo, Rex",32
"Springer, Nathan M",28
"Voytas, Daniel F",21
"Muehlbauer, Gary J",19
"Stupar, Robert M",19
"Lorenz, Aaron Joel",18
"Sadok, Walid",18
"Smith, Kevin P",16
"Steffenson, Brian J",16
"CavenderBares, Jeannine",14
"Bajgain, Prabin",13
"Hirsch, Candice N",12
"Rouse, Matthew N",12
"Carter, Clay J",11
"Kennedy, Peter G",10
"Sadowsky, Michael J",9
"Anderson, Neil O",8
"Chen, Changbin",8
"Ni, Min",8
"Jaradat, Abdullah A",7
"Khan, Mohamed F R",7
"Kimball, Jennifer A",7
"Ward, John M",7
"Chen, Senyu",6
"Koch, Robert L",6
"Luby, James J",6
"Miao, Yuxin",6
"Savage, Jessica A",6
"Burghardt, Liana T",5
"Coulter, Jeffrey A",5
"Curtin, Shaun J",5
"Gray, William M",5
"Hegeman, Adrian D",5
"Heineck, Garett C",5
"Moeller, David A",5
"Pagliari, Paulo Humberto",5
"Shannon, Laura M",5
"Stanton, Daniel E",5
"Zhang, Feng",5
"Glazebrook, Jane",4
"Greenham, Kathleen",4
"Howard, Nicholas P",4
"Katagiri, Fumiaki",4
"Samac, Deborah A",4
"Schilling, Jonathan S",4
"Wells, M Scott",4
"Young, Nevin D",4
"Alexander, Jonathan R",3
"Andow, David A",3
"BreuillinSessoms, Florence",3
"Clark, Matthew D",3
"David, Aaron S",3
"Feng, Xue",3
"Fernandez, Christopher W",3
"Grossenbacher, Dena L",3
"Grossman, Jake J",3
"Grossman, Julie M",3
"Hamala, Tuomas",3
"Hirsch, Cory D",3
"Jin, Yue",3
"Jungers, Jacob M",3
"Kistler, Harold Corby",3
"Malvick, Dean K",3
"McCormack, M Luke",3
"Meireles, Jose Eduardo",3
"Petrella, Dominic P",3
"Potkay, Aaron",3
"Powers, Jennifer S",3
"Reich, Peter B",3
"Ribeiro, Arthur Vieira",3
"Salomon, Christine E",3
"Schuster, Michael J",3
"Shurson, G C",3
"Tiffin, Peter",3
"Watkins, Eric",3
"Weiblen, George D",3
"Wells, Samantha",3
"Wiering, Nicholas P",3
"Wilkening, Jean V",3
"Yang, Ce",3
"Yang, Fei",3
"Adhikari, Anil",2
"Ahmad, Ilyas",2
"Anilkumar, C",2
"Bradeen, James M",2
"Bratsch, Sara A",2
"Brault, Charlotte",2
"Burkness, Eric C",2
"Cohen, Jerry D",2
"Curzon, Miranda T",2
"Denison, R Ford",2
"DillMacky, Ruth",2
"DukowicSchulze, Stefanie",2
"Edae, Erena A",2
"Ekar, Jill M",2
"Essarioui, Adil",2
"Figueroa, Melania",2
"Garcia y Garcia, Axel",2
"Gardner, Gary",2
"Garvin, David F",2
"Heins, Bradley J",2
"Henning, Jeremiah A",2
"Hu, Bo",2
"Kaproth, Matthew A",2
"Katovich, Elizabeth J",2
"Khokhani, Devanshi",2
"Kothari, Shan",2
"Kuang, Rui",2
"Kumar, Jitesh",2
"Lofgren, Lotus A",2
"Lu, Yaojie",2
"Maillard, Francois",2
"Marks, M David",2
"May, Georgiana",2
"Meyer, Mary Hockenberry",2
"Michaud, Talia J",2
"MondragonBotero, Ariadna",2
"MoralesBriones, Diego F",2
"Naeve, Seth L",2
"Olivera, Pablo D",2
"Olszewski, Neil E",2
"Qiu, Yinjie",2
"Rajtar, Nickolas N",2
"RamirezValiente, Jose A",2
"Reinders, Anke",2
"Rice, Karen E",2
"Rogers, Mary A",2
"Sapes, Gerard",2
"Saxhaug, Katrina Freund",2
"See, Craig R",2
"Shier, W Thomas",2
"Singh, Lovepreet",2
"Smanski, Michael J",2
"Smith, Alan G",2
"Srivastava, Ashish",2
"Tillmann, Molly",2
"Tilman, David",2
"Treiber, Erin L",2
"Winter, Mark",2
"Xu, Zhanyou",2
"Yang, Ya",2
"Zaret, Max M",2
