,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Anderson, James A",100,33,67,21,3,3,0,0
"Bernardo, Rex",41,38,3,4,3,3,0,0
"Springer, Nathan M",112,58,54,17,4,3,1,1
"Voytas, Daniel F",85,70,15,11,4,4,0,0
"Muehlbauer, Gary J",71,33,38,16,2,2,0,0
"Stupar, Robert M",66,32,34,19,2,2,0,0
"Lorenz, Aaron Joel",69,33,36,18,4,4,0,0
"Sadok, Walid",39,24,15,12,2,2,0,0
"Smith, Kevin P",83,54,29,10,3,3,0,0
"Steffenson, Brian J",102,49,53,13,4,4,0,0
"CavenderBares, Jeannine",166,101,65,18,0,0,0,0
"Bajgain, Prabin",41,4,37,9,0,0,0,0
"Hirsch, Candice N",89,38,51,12,4,3,1,1
"Rouse, Matthew N",86,32,54,11,0,0,0,0
"Carter, Clay J",20,13,7,4,3,2,1,1
"Kennedy, Peter G",91,29,62,15,9,8,1,1
"Sadowsky, Michael J",218,197,21,10,4,2,2,2
"Anderson, Neil O",36,28,8,4,3,3,0,0
"Chen, Changbin",20,4,16,6,1,1,0,0
"Ni, Min",9,7,2,1,2,2,0,0
"Jaradat, Abdullah A",14,14,0,0,0,0,0,0
"Khan, Mohamed F R",25,25,0,0,0,0,0,0
"Kimball, Jennifer A",12,9,3,4,3,3,0,0
"Ward, John M",20,6,14,1,2,2,0,0
"Chen, Senyu",35,31,4,5,3,3,0,0
"Koch, Robert L",86,54,32,4,4,4,0,0
"Luby, James J",36,18,18,5,0,0,0,0
"Miao, Yuxin",58,57,1,2,3,3,0,0
"Savage, Jessica A",15,11,4,2,0,0,0,0
"Burghardt, Liana T",20,5,15,13,2,0,2,2
"Coulter, Jeffrey A",126,108,18,9,0,0,0,0
"Curtin, Shaun J",28,14,14,8,0,0,0,0
"Gray, William M",19,15,4,4,2,2,0,0
"Hegeman, Adrian D",39,12,27,14,2,0,2,2
"Heineck, Garett C",12,0,12,8,0,0,0,0
"Moeller, David A",32,27,5,2,3,3,0,0
"Pagliari, Paulo Humberto",48,44,4,3,2,2,0,0
"Shannon, Laura M",26,23,3,3,3,3,0,0
"Stanton, Daniel E",30,29,1,1,2,2,0,0
"Zhang, Feng",34,19,15,5,2,2,0,0
"Glazebrook, Jane",16,5,11,3,1,0,1,1
"Greenham, Kathleen",15,12,3,3,2,2,0,0
"Howard, Nicholas P",14,5,9,2,0,0,0,0
