Corresponding Authors,Pubs Num
"Reddy, Kambham Raja",36
"Klink, Vincent P",18
"Barickman, T Casey",17
"Bheemanahalli, Raju",17
"Li, Ling",12
"Bond, Jason A",11
"Folk, Ryan A",11
"Li, Tongyin",10
"Tseng, Te Ming",10
"Reynolds, Daniel B",8
"Wang, Ying",8
"Bi, Guihong",7
"Meyers, Stephen L",7
"Dodds, Darrin M",5
"Chang, Sam K C",4
"Ferguson, J Connor",4
"K, Raja Reddy",4
"Kaur, Gurpreet",4
"Li, Jiaxu",4
"Lu, ShiEn",4
"Peng, Zhaohua",4
"Popescu, George V",4
"Popescu, Sorina C",4
"Bararpour, Taghi",3
"Byrd, John Dukes",3
"Crow, Whitney D",3
"Dong, Hongxu",3
"Gore, J",3
"Lawrence, Benjamin H",3
"Posadas, Benedict C",3
"QuintanaAshwell, Nicolas",3
"Shafqat, Waqar",3
"Shanmugam, Shankar Ganapathi",3
"Siniscalchi, Carolina M",3
"de Avila, Luis Antonio",3
"Billman, Eric D",2
"Bowman, Hunter D",2
"Catchot, Angus L",2
"Dhillon, Jagmandeep",2
"Harvey, Lorin M",2
"LazaroLobo, Adrian",2
"McCoy, Justin",2
"McCurdy, James D",2
"Orlowski, John M",2
"Peterson, Daniel G",2
"Sah, Saroj Kumar",2
"Shan, Xueyan",2
"Singh, Gurbir",2
"TeMing, Paul Tseng",2
"TomasoPeterson, Maria",2
"Turnage, Gray",2
"Wang, Jiaxin",2
