,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Reddy, Kambham Raja",119,57,62,13,2,2,0,0
"Klink, Vincent P",27,25,2,4,1,1,0,0
"Barickman, T Casey",34,15,19,10,0,0,0,0
"Bheemanahalli, Raju",72,21,51,8,0,0,0,0
"Li, Ling",30,30,0,0,1,1,0,0
"Bond, Jason A",68,27,41,14,0,0,0,0
"Folk, Ryan A",50,40,10,1,3,3,0,0
"Li, Tongyin",24,1,23,3,2,2,0,0
"Tseng, Te Ming",41,31,10,10,0,0,0,0
"Reynolds, Daniel B",37,11,26,10,0,0,0,0
"Wang, Ying",33,33,0,0,1,1,0,0
"Bi, Guihong",34,9,25,4,0,0,0,0
"Meyers, Stephen L",24,18,6,5,2,2,0,0
"Dodds, Darrin M",50,12,38,11,3,3,0,0
"Chang, Sam K C",53,49,4,3,0,0,0,0
"Ferguson, J Connor",11,7,4,5,0,0,0,0
"K, Raja Reddy",6,6,0,0,0,0,0,0
"Kaur, Gurpreet",41,2,39,8,0,0,0,0
"Li, Jiaxu",11,2,9,5,1,1,0,0
"Lu, ShiEn",28,24,4,2,0,0,0,0
"Peng, Zhaohua",19,17,2,2,2,2,0,0
"Popescu, George V",22,5,17,7,4,2,2,1
"Popescu, Sorina C",20,5,15,4,4,2,2,1
"Bararpour, Taghi",24,9,15,9,0,0,0,0
"Byrd, John Dukes",8,6,2,1,0,0,0,0
"Crow, Whitney D",126,66,60,4,0,0,0,0
"Dong, Hongxu",9,6,3,1,1,1,0,0
"Gore, J",38,30,8,1,1,1,0,0
"Lawrence, Benjamin H",13,0,13,4,0,0,0,0
"Posadas, Benedict C",11,11,0,0,2,2,0,0
"QuintanaAshwell, Nicolas",8,1,7,3,0,0,0,0
"Shafqat, Waqar",12,11,1,1,0,0,0,0
"Shanmugam, Shankar Ganapathi",15,12,3,2,0,0,0,0
"Siniscalchi, Carolina M",23,13,10,1,1,1,0,0
"de Avila, Luis Antonio",13,12,1,1,0,0,0,0
"Billman, Eric D",3,3,0,0,0,0,0,0
"Bowman, Hunter D",6,0,6,4,0,0,0,0
"Catchot, Angus L",83,20,63,6,0,0,0,0
"Dhillon, Jagmandeep",26,7,19,7,1,1,0,0
"Harvey, Lorin M",16,13,3,2,1,1,0,0
"LazaroLobo, Adrian",14,13,1,1,0,0,0,0
"McCoy, Justin",3,0,3,6,1,1,0,0
"McCurdy, James D",42,31,11,5,2,2,0,0
"Orlowski, John M",24,12,12,4,0,0,0,0
"Peterson, Daniel G",62,48,14,9,3,3,0,0
"Sah, Saroj Kumar",11,3,8,4,0,0,0,0
"Shan, Xueyan",9,8,1,1,0,0,0,0
"Singh, Gurbir",43,11,32,9,0,0,0,0
"TeMing, Paul Tseng",3,3,0,0,0,0,0,0
"TomasoPeterson, Maria",23,18,5,5,0,0,0,0
"Turnage, Gray",31,28,3,2,0,0,0,0
"Wang, Jiaxin",6,6,0,0,0,0,0,0
