Corresponding Authors,Pubs Num
"Talbert, Luther E",19
"Bryant, Donald A",14
"Giroux, Michael J",14
"Budak, Hikmet",11
"Jha, Prashant",11
"Huang, Li",9
"Bruckner, P L",8
"Quinn, Mark T",8
"Chen, Chengci",6
"Fischer, Andreas M",6
"Lu, Chaofu",6
"Mendu, Venugopal",6
"Burkle, Laura A",5
"Giroux, Mike",5
"Lachowiec, Jennifer",5
"Mangold, Jane M",4
"Burrows, Mary E",3
"Cook, Jason P",3
"Jankauski, Mark",3
"Reddy, Gadi V P",3
"Weaver, David K",3
"Weeden, Norman F",3
"Adhikari, Subodh",2
"Ahmed, Selena",2
"Briar, Shabeg Singh",2
"Chorak, Gregory M",2
"Cripps, Cathy L",2
"Dyer, William E",2
"Ehlert, Krista A",2
"Flenniken, Michelle L",2
"Jensen, Joseph",2
"Jha, Gaurav",2
"Malone, Shealyn C",2
"Martin, John M",2
"Menalled, Fabian D",2
"Mohammed, Yesuf Assen",2
"Rew, Lisa J",2
"Seipel, Tim",2
"Smithers, Brian V",2
"Thum, Ryan A",2
"Ulrich, Danielle E M",2
"Yeoman, Carl J",2
