,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Talbert, Luther E",32,16,16,4,1,1,0,0
"Bryant, Donald A",80,80,0,0,0,0,0,0
"Giroux, Michael J",27,1,26,4,12,12,0,0
"Budak, Hikmet",33,28,5,2,1,1,0,0
"Jha, Prashant",31,30,1,1,0,0,0,0
"Huang, Li",21,16,5,4,2,2,0,0
"Bruckner, P L",8,2,6,1,0,0,0,0
"Quinn, Mark T",88,88,0,0,1,1,0,0
"Chen, Chengci",48,29,19,6,4,4,0,0
"Fischer, Andreas M",10,6,4,2,3,3,0,0
"Lu, Chaofu",23,20,3,2,4,4,0,0
"Mendu, Venugopal",15,13,2,3,0,0,0,0
"Burkle, Laura A",61,56,5,5,2,2,0,0
"Giroux, Mike",8,5,3,4,0,0,0,0
"Lachowiec, Jennifer",23,12,11,9,6,6,0,0
"Mangold, Jane M",29,11,18,8,1,1,0,0
"Burrows, Mary E",26,22,4,4,5,5,0,0
"Cook, Jason P",36,11,25,10,1,1,0,0
"Jankauski, Mark",24,24,0,0,3,3,0,0
"Reddy, Gadi V P",80,66,14,5,3,3,0,0
"Weaver, David K",55,26,29,12,4,4,0,0
"Weeden, Norman F",11,11,0,0,0,0,0,0
"Adhikari, Subodh",10,1,9,5,0,0,0,0
"Ahmed, Selena",81,79,2,3,2,2,0,0
"Briar, Shabeg Singh",9,0,9,4,0,0,0,0
"Chorak, Gregory M",8,1,7,2,0,0,0,0
"Cripps, Cathy L",15,15,0,0,1,1,0,0
"Dyer, William E",4,2,2,2,3,3,0,0
"Ehlert, Krista A",2,0,2,2,0,0,0,0
"Flenniken, Michelle L",32,31,1,1,8,8,0,0
"Jensen, Joseph",3,0,3,2,0,0,0,0
"Jha, Gaurav",7,7,0,0,0,0,0,0
"Malone, Shealyn C",5,2,3,2,0,0,0,0
"Martin, John M",32,0,32,7,1,1,0,0
"Menalled, Fabian D",50,17,33,11,4,4,0,0
"Mohammed, Yesuf Assen",15,1,14,1,0,0,0,0
"Rew, Lisa J",41,18,23,4,1,1,0,0
"Seipel, Tim",33,8,25,7,0,0,0,0
"Smithers, Brian V",6,5,1,1,0,0,0,0
"Thum, Ryan A",19,12,7,2,2,2,0,0
"Ulrich, Danielle E M",13,10,3,3,2,2,0,0
"Yeoman, Carl J",63,59,4,3,4,4,0,0
