Corresponding Authors,Pubs Num
"Jhala, Amit J",53
"Schnable, James C",45
"Walia, Harkamal",26
"Cahoon, Edgar B",23
"Louis, Joe",22
"Schachtman, Daniel P",15
"Yu, Bin",15
"Baenziger, P Stephen",14
"Mower, Jeffrey P",13
"Holding, David R",12
"Libault, Marc",12
"Roston, Rebecca L",12
"Sarath, Gautam",10
"Sattler, Scott E",10
"Zeng, Lirong",10
"Cerutti, Heriberto",8
"Clemente, Tom Elmo",8
"Song, Xiaoming",8
"Tatineni, Satyanarayana",8
"Wilson, Richard A",8
"Zhang, Chi",8
"GarciaRuiz, Hernan",7
"Knezevic, Stevan Z",7
"Santra, Dipak K",7
"Wegulo, Stephen N",7
"Choudhury, Sruti Das",6
"Christensen, Alan C",6
"Everhart, Sydney E",6
"Ge, Yufeng",6
"Glowacka, Katarzyna",6
"Graybosch, Robert A",6
"Koppelman, Stef J",6
"Lawrence, Nevin C",6
"Mackenzie, Sally A",6
"Mukherjee, Ananya",6
"Shi, Yeyin",6
"Yin, Yanbin",6
"Amundsen, Keenan",5
"Avramova, Zoya",5
"Cai, Xiwen",5
"Elbasyoni, Ibrahim S",5
"FunnellHarris, Deanna L",5
"Gitelson, Anatoly A",5
"Guretzky, John A",5
"Jarquin, Diego",5
"Kruger, Greg R",5
"Lorenz, Aaron J",5
"Sallam, Ahmed",5
"Waters, Brian M",5
"Yang, Jinliang",5
"Campbell, Malachy T",4
"Dweikat, Ismail M",4
"Edme, Serge",4
"Hyten, David L",4
"Meinke, Lance J",4
"Reinders, Jordan D",4
"Russo, Sabrina E",4
"Saha, Rajib",4
"Schlegel, Vicki L",4
"Xu, Changmou",4
"Adesemoye, Anthony",3
"Beegum, Sahila",3
"Clarke, Jennifer L",3
"Creech, Cody F",3
"Francis, Charles A",3
"Grassini, Patricio",3
"HallenAdams, Heather E",3
"Kreuser, William C",3
"Mourad, Amira M I",3
"Obata, Toshihiro",3
"Quach, Truyen Ngoc",3
"Staswick, Paul",3
"Weeks, Donald P",3
"Ahmad, Mushtaq",2
"Alfano, James R",2
"Alvarez, Sophie",2
"Anuo, Christopher O",2
"Bai, Geng",2
"DiRusso, Concetta C",2
"Easterly, Amanda C",2
"Ferguson, Jason Connor",2
"Furlan, Ana Laura",2
"Gamon, John A",2
"Grzybowski, Marcin W",2
"Guo, Ming",2
"Guttieri, Mary J",2
"HengMoss, Tiffany",2
"Howard, Reka",2
"Hussain, Waseem",2
"Jin, Virginia L",2
"Kononoff, PJ",2
"Li, Huang",2
"MunozArriola, Francisco",2
"NguyRobertson, Anthony L",2
"Obear, Glen R",2
"Oliveira, Maxwel C",2
"Panday, Dinesh",2
"Paparozzi, Ellen T",2
"Polli, Estefania Gomiero",2
"Rose, Devin J",2
"Shaver, T M",2
"Specht, James E",2
"Stewart, Zachary P",2
"Velez, Ana Maria",2
"Vijayan, Jithesh",2
"Wangila, David S",2
"Werle, Rodrigo",2
"Wortman, Sam E",2
"Yu, Hongfeng",2
