,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Jhala, Amit J",144,82,62,13,2,2,0,0
"Schnable, James C",176,98,78,30,8,7,1,2
"Walia, Harkamal",73,18,55,18,6,2,4,3
"Cahoon, Edgar B",108,86,22,15,8,6,2,2
"Louis, Joe",56,30,26,8,4,4,0,0
"Schachtman, Daniel P",47,29,18,12,4,3,1,1
"Yu, Bin",45,21,24,15,1,0,1,1
"Baenziger, P Stephen",91,24,67,21,0,0,0,0
"Mower, Jeffrey P",45,37,8,14,1,1,0,0
"Holding, David R",25,8,17,10,3,3,0,0
"Libault, Marc",29,27,2,4,5,5,0,0
"Roston, Rebecca L",40,24,16,10,5,4,1,2
"Sarath, Gautam",57,5,52,16,0,0,0,0
"Sattler, Scott E",52,4,48,14,0,0,0,0
"Zeng, Lirong",17,16,1,2,1,1,0,0
"Cerutti, Heriberto",19,12,7,6,4,4,0,0
"Clemente, Tom Elmo",33,5,28,20,0,0,0,0
"Song, Xiaoming",11,11,0,0,0,0,0,0
"Tatineni, Satyanarayana",42,26,16,7,0,0,0,0
"Wilson, Richard A",31,29,2,2,5,5,0,0
"Zhang, Chi",117,52,65,31,3,1,2,3
"GarciaRuiz, Hernan",25,25,0,0,0,0,0,0
"Knezevic, Stevan Z",68,22,46,10,0,0,0,0
"Santra, Dipak K",34,18,16,8,0,0,0,0
"Wegulo, Stephen N",33,11,22,13,0,0,0,0
"Choudhury, Sruti Das",26,21,5,5,0,0,0,0
"Christensen, Alan C",16,16,0,0,1,1,0,0
"Everhart, Sydney E",38,35,3,2,0,0,0,0
"Ge, Yufeng",126,61,65,19,5,4,1,2
"Glowacka, Katarzyna",27,20,7,5,1,1,0,0
"Graybosch, Robert A",44,23,21,14,0,0,0,0
"Koppelman, Stef J",39,39,0,0,0,0,0,0
"Lawrence, Nevin C",32,8,24,8,1,1,0,0
"Mackenzie, Sally A",18,17,1,1,0,0,0,0
"Mukherjee, Ananya",7,7,0,0,0,0,0,0
"Shi, Yeyin",58,29,29,13,3,3,0,0
"Yin, Yanbin",59,57,2,2,1,1,0,0
"Amundsen, Keenan",25,10,15,11,1,1,0,0
"Avramova, Zoya",10,9,1,2,0,0,0,0
"Cai, Xiwen",14,12,2,2,0,0,0,0
"Elbasyoni, Ibrahim S",11,7,4,5,0,0,0,0
"FunnellHarris, Deanna L",26,1,25,7,0,0,0,0
"Gitelson, Anatoly A",33,25,8,2,0,0,0,0
"Guretzky, John A",18,17,1,1,3,3,0,0
"Jarquin, Diego",57,20,37,15,0,0,0,0
"Kruger, Greg R",103,63,40,18,0,0,0,0
"Lorenz, Aaron J",35,10,25,18,0,0,0,0
"Sallam, Ahmed",26,4,22,6,0,0,0,0
