,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Cushman, John C",69,43,26,4,2,1,1,1
"Wallace, Ian S",30,21,9,5,2,1,1,1
"Harper, Jeffrey F",23,14,9,5,5,4,1,1
"BarriosMasias, Felipe H",23,19,4,2,0,0,0,0
"Cramer, Grant R",23,21,2,1,0,0,0,0
"Kosma, Dylan K",24,17,7,4,3,2,1,1
"Biondi, Franco",47,31,16,1,5,4,1,1
"Choi, WonGyu",14,7,7,4,0,0,0,0
"Naznin, Tahera",7,7,0,0,0,0,0,0
"Ziaco, Emanuele",22,6,16,1,1,0,1,1
"Borokini, Israel T",9,9,0,0,0,0,0,0
"Dyer, Lee A",77,51,26,3,6,6,0,0
"Fruet, APB",4,4,0,0,0,0,0,0
"Harrison, Joshua G",23,18,5,3,1,1,0,0
"Mizell, Gabriella M",4,4,0,0,0,0,0,0
"Morra, Brian",5,5,0,0,0,0,0,0
"Richards, Lora A",33,7,26,3,0,0,0,0
"Yim, Won Cheol",37,12,25,4,3,1,2,2
