Corresponding Authors,Pubs Num
"Zhang, Jinfa",68
"Cramer, Christopher S",10
"Djaman, Koffi",8
"Lozada, Dennis Nicuh",8
"Sanogo, Soum",8
"Schutte, Brian J",7
"Darapuneni, Murali K",6
"Randall, Jennifer J",5
"SenguptaGopalan, Champa",5
"Ghimire, Rajan",4
"Grover, Kulbhushan K",4
"Pratt, Richard C",4
"Puppala, Naveen",4
"Ray, Ian M",4
"Bosland, Paul W",3
"Creamer, Rebecca",3
"Idowu, Omololu John",3
"Indriolo, Emily",3
"Joukhadar, Israel",3
"Lauriault, Leonard M",3
"Leinauer, Bernd",3
"Yao, Shengrui",3
"Angadi, Sangamesh V",2
"Beck, Leslie L",2
"Ferrenberg, Scott",2
"Kankarla, Vanaja",2
"Lehnhoff, Erik A",2
"Parmodh, Sharma",2
"RomeroOlivares, Adriana L",2
"Zhu, Yi",2
