,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Zhang, Jinfa",123,81,42,4,4,4,0,0
"Cramer, Christopher S",15,14,1,1,0,0,0,0
"Djaman, Koffi",48,34,14,7,0,0,0,0
"Lozada, Dennis Nicuh",22,12,10,4,2,2,0,0
"Sanogo, Soum",38,12,26,15,2,2,0,0
"Schutte, Brian J",46,19,27,13,1,1,0,0
"Darapuneni, Murali K",51,15,36,12,1,1,0,0
"Randall, Jennifer J",35,33,2,3,3,3,0,0
"SenguptaGopalan, Champa",5,5,0,0,0,0,0,0
"Ghimire, Rajan",97,79,18,7,1,1,0,0
"Grover, Kulbhushan K",19,8,11,7,0,0,0,0
"Pratt, Richard C",16,13,3,3,2,2,0,0
"Puppala, Naveen",40,35,5,6,0,0,0,0
"Ray, Ian M",8,8,0,0,1,1,0,0
"Bosland, Paul W",40,33,7,2,1,1,0,0
"Creamer, Rebecca",31,27,4,3,1,1,0,0
"Idowu, Omololu John",38,12,26,11,1,1,0,0
"Indriolo, Emily",3,3,0,0,1,1,0,0
"Joukhadar, Israel",10,10,0,0,0,0,0,0
"Lauriault, Leonard M",40,12,28,10,0,0,0,0
"Leinauer, Bernd",27,24,3,1,1,1,0,0
"Yao, Shengrui",14,13,1,1,0,0,0,0
"Angadi, Sangamesh V",33,6,27,8,0,0,0,0
"Beck, Leslie L",21,7,14,8,0,0,0,0
"Ferrenberg, Scott",29,27,2,1,1,1,0,0
"Kankarla, Vanaja",2,0,2,1,0,0,0,0
"Lehnhoff, Erik A",36,18,18,6,2,2,0,0
"Parmodh, Sharma",2,2,0,0,0,0,0,0
"RomeroOlivares, Adriana L",18,15,3,2,0,0,0,0
"Zhu, Yi",31,0,31,2,0,0,0,0
