Corresponding Authors,Pubs Num
"Sinclair, Thomas R",65
"Xie, DeYu",36
"BalintKurti, Peter J",27
"Iorizzo, Massimo",20
"Lewis, Ramsey S",18
"Chaudhari, Sushila",17
"Stepanova, Anna N",16
"Garcia, Kevin",15
"Holland, James B",15
"Panthee, Dilip R",15
"MillaLewis, Susana R",14
"Kuraparthy, Vasu",13
"Cardoso, Amanda A",11
"Leon, Ramon G",11
"Xiang, QiuYun J",11
"Chiang, Vincent L",9
"Liu, Wusheng",9
"Long, Terri A",9
"Mian, M A Rouf",9
"Castillo, Miguel S",8
"Cowger, Christina",8
"Doherty, Colleen J",8
"Hernandez, Ricardo",8
"HulseKemp, Amanda M",8
"Reisig, Dominic D",8
"Sederoff, Heike W",8
"Sozzani, Rossangela",8
"Adhikari, Tika B",7
"Ahmad, Iftikhar",7
"Alonso, Jose M",7
"Cahoon, Charles W",7
"Fallen, Benjamin D",7
"Huseth, Anders S",7
"Li, Xuefeng",7
"Lila, Mary Ann",7
"QuesadaOcampo, Lina M",7
"Ristaino, Jean Beagle",7
"Yencho, George Craig",7
"Dean, Ralph A",6
"Franks, Robert G",6
"Haigler, Candace H",6
"Hsieh, TzungFu",6
"Hu, Shuijin",6
"Locke, Anna M",6
"Suchoff, David H",6
"Wehner, Todd C",6
"Dewey, Ralph E",5
"Dole, John M",5
"Hawkes, Christine V",5
"Lindsey, Jonathan S",5
"Meadows, Inga M",5
"Qu, Rongda",5
"Sederoff, Ronald R",5
"Strable, Josh",5
"Taliercio, Earl",5
"Wang, Jack P",5
"Wei, Qingshan",5
"Williams, Cranos M",5
"Winn, Zachary James",5
"Yu, Xingwang",5
"Ashrafi, Hamid",4
"Everman, Wesley J",4
"Ferruzzi, Mario G",4
"Grunden, Amy M",4
"HanleyBowdoin, Linda",4
"Jeffries, Matthew D",4
"Jones, Zachary G",4
"Jordan, David L",4
"Livingston, David P",4
"Moore, Levi D",4
"Ojiambo, Peter S",4
"PerkinsVeazie, Penelope",4
"Sims, Kira C",4
"Tisdale, Ripley H",4
"Vann, Rachel A",4
"Whipker, Brian E",4
"AscencioIbanez, Jose Trinidad",3
"Basinger, Nicholas T",3
"BrownGuedira, Gina",3
"Burkey, Kent",3
"Burrack, Hannah J",3
"Cheng, Jay J",3
"Dunne, Jeffrey C",3
"Heiling, Jacob M",3
"Hoffmann, Mark",3
"Hoffmann, William A",3
"Howell, Andrew W",3
"Isik, Fikret",3
"Jackson, Brian E",3
"Kleiner, Manuel",3
"Komarnytsky, Slavko",3
"Krings, Alexander",3
"Lin, Jixiang",3
"Moparthi, Swarnalatha",3
"Perera, Imara Y",3
"RojasPierce, Marcela",3
"Rotenberg, Dorith",3
"Shi, Wei",3
"Wear, Emily E",3
"Whitfield, Anna E",3
"Xu, Guozhou",3
"Bandillo, Nonoy",2
"Beets, Jens P",2
"Bittner, Richard J",2
"Bradshaw, Michael",2
"Braswell, Lewis R",2
"Caldwell, Jane M",2
"Chen, Hsuan",2
"Clouse, Steven D",2
"Cubeta, Marc A",2
"D'Ambrosio, Damon A",2
"DaSilva, Cristiane Jovelina",2
"Dean, Brock A",2
"Dorman, Seth J",2
"Duin, Izabela Moura",2
"Gannon, Travis W",2
"Gouveia, Beatriz Tome",2
"Havlin, John L",2
"Henry, Josh B",2
"Huber, Brandon M",2
"Ippolito, Stephen J",2
"Israel, Daniel W",2
"Jones, Eric A L",2
"Kim, SaetByul",2
"Koehler, Alyssa M",2
"Kon, Thomas M",2
"Kulesza, Stephanie",2
"Larsen, Joshua",2
"Marchin, Renee M",2
"McKnight, Alayne M",2
"McPhie, Douglas",2
"Meyers, Stephen L",2
"Mila, Asimina L",2
"Moore, Virginia Mae",2
"Opperman, Charles H",2
"Pal, Gaurav",2
"Payne, Gary A",2
"Perlmutter, Gary B",2
"Petersen, Stine",2
"Pezzini, Daniela T",2
"Phillippy, Brian Q",2
"RellanAlvarez, Ruben",2
"Robertson, Dominique",2
"Schardong, Igor Sulzbacher",2
"Sit, Tim L",2
"Smith, Stephen C",2
"Stalker, H Thomas",2
"Taniguchi, Masahiko",2
"Truong, VanDen",2
"Wagner, Maggie R",2
"Wang, GuanFeng",2
"Whetten, Ross W",2
"Whitehill, Justin G A",2
"Williamson, John D",2
"Worthington, Margaret",2
"Yang, Qin",2
"da Silva Pereira, Guilherme",2
"de Sanctis, Jose HS",2
"ilip, R Panthee",2
